method,n_real,rows,acc_mean,acc_std,macro_f1_mean,macro_f1_std,f1_sharp_mean,f1_sharp_std,f1_worn_mean,f1_worn_std,f1_severe_mean,f1_severe_std
llm,2,5,0.5856,0.0671,0.5619,0.0832,0.6952,0.0512,0.3002,0.1740,0.6903,0.0459
llm,5,5,0.5690,0.0422,0.5560,0.0444,0.7078,0.0358,0.3750,0.0717,0.5854,0.0781
llm,10,5,0.5877,0.0446,0.5754,0.0479,0.7369,0.0235,0.3623,0.0781,0.6270,0.1031
noise_aug,2,5,0.5471,0.0349,0.5275,0.0576,0.6138,0.1022,0.3282,0.1714,0.6405,0.0465
noise_aug,5,5,0.5054,0.0687,0.4834,0.0711,0.6966,0.0706,0.3253,0.1428,0.4284,0.1774
noise_aug,10,5,0.5497,0.0967,0.5373,0.1107,0.7382,0.0409,0.3663,0.1867,0.5075,0.2030
random_open_loop,2,5,0.5626,0.0659,0.5416,0.0916,0.5436,0.1836,0.3997,0.2425,0.6816,0.0454
random_open_loop,5,5,0.5925,0.0397,0.5805,0.0423,0.6450,0.1026,0.5024,0.1334,0.5940,0.1424
random_open_loop,10,5,0.6118,0.0183,0.5925,0.0171,0.7228,0.0238,0.5152,0.0932,0.5397,0.1367
real_only,2,5,0.4519,0.1090,0.3734,0.1247,0.3745,0.3355,0.1649,0.2785,0.5808,0.1320
real_only,5,5,0.4155,0.1257,0.3651,0.1243,0.4810,0.2766,0.2356,0.1443,0.3788,0.2872
real_only,10,5,0.4706,0.0820,0.4434,0.0737,0.5482,0.1910,0.3997,0.1315,0.3822,0.2176
rule,2,5,0.5775,0.0513,0.5530,0.0621,0.6897,0.0458,0.2841,0.1281,0.6853,0.0312
rule,5,5,0.5770,0.0499,0.5669,0.0546,0.7077,0.0369,0.3873,0.0872,0.6057,0.0836
rule,10,5,0.5866,0.0447,0.5743,0.0471,0.7354,0.0241,0.3625,0.0753,0.6251,0.1041
