method,class,channel,psd_w1,band_l1
llm,sharp,smcAC,0.299703,0.007529
llm,sharp,smcDC,2.140630,0.080684
llm,sharp,vib_table,5.363988,0.543210
llm,sharp,vib_spindle,8.803294,0.751714
llm,sharp,AE_table,3.852894,0.254632
llm,sharp,AE_spindle,7.035303,0.202857
llm,worn,smcAC,1.119651,0.015417
llm,worn,smcDC,6.032436,0.530861
llm,worn,vib_table,13.009550,0.534462
llm,worn,vib_spindle,14.135135,0.639289
llm,worn,AE_table,3.692339,0.183622
llm,worn,AE_spindle,5.967749,0.180668
llm,severe,smcAC,0.865478,0.015858
llm,severe,smcDC,3.290591,0.229695
llm,severe,vib_table,7.208052,0.447679
llm,severe,vib_spindle,8.201353,0.572196
llm,severe,AE_table,4.747262,0.278292
llm,severe,AE_spindle,3.347968,0.148794
rule,sharp,smcAC,0.383812,0.003979
rule,sharp,smcDC,2.262015,0.100783
rule,sharp,vib_table,7.093093,0.702828
rule,sharp,vib_spindle,9.412829,0.771655
rule,sharp,AE_table,4.509958,0.280562
rule,sharp,AE_spindle,3.416588,0.349006
rule,worn,smcAC,1.102351,0.031504
rule,worn,smcDC,3.957975,0.377801
rule,worn,vib_table,8.437706,0.364760
rule,worn,vib_spindle,10.985939,0.621413
rule,worn,AE_table,6.364925,0.261126
rule,worn,AE_spindle,5.105786,0.137306
rule,severe,smcAC,1.028013,0.018727
rule,severe,smcDC,5.711190,0.474252
rule,severe,vib_table,4.798596,0.348277
rule,severe,vib_spindle,9.616650,0.582593
rule,severe,AE_table,7.098231,0.352638
rule,severe,AE_spindle,2.760235,0.187661
random_open_loop,sharp,smcAC,2.921840,0.096802
random_open_loop,sharp,smcDC,4.866231,0.376592
random_open_loop,sharp,vib_table,1.518477,0.120666
random_open_loop,sharp,vib_spindle,8.225332,0.596045
random_open_loop,sharp,AE_table,3.582544,0.161266
random_open_loop,sharp,AE_spindle,0.823662,0.037606
random_open_loop,worn,smcAC,3.650126,0.104444
random_open_loop,worn,smcDC,7.505994,0.380485
random_open_loop,worn,vib_table,14.834896,0.589580
random_open_loop,worn,vib_spindle,10.320110,0.677416
random_open_loop,worn,AE_table,9.528974,0.382801
random_open_loop,worn,AE_spindle,4.769225,0.303437
random_open_loop,severe,smcAC,3.020972,0.097400
random_open_loop,severe,smcDC,7.227950,0.378448
random_open_loop,severe,vib_table,8.340154,0.366981
random_open_loop,severe,vib_spindle,9.488580,0.562710
random_open_loop,severe,AE_table,7.806906,0.439481
random_open_loop,severe,AE_spindle,4.443831,0.365894
noise_aug,sharp,smcAC,0.302695,0.009396
noise_aug,sharp,smcDC,18.783532,0.536917
noise_aug,sharp,vib_table,4.021045,0.177548
noise_aug,sharp,vib_spindle,5.900303,0.337353
noise_aug,sharp,AE_table,1.318092,0.131645
noise_aug,sharp,AE_spindle,0.858543,0.056007
noise_aug,worn,smcAC,0.972154,0.014326
noise_aug,worn,smcDC,11.230906,0.339772
noise_aug,worn,vib_table,3.548213,0.304821
noise_aug,worn,vib_spindle,1.061182,0.080307
noise_aug,worn,AE_table,9.099746,0.346649
noise_aug,worn,AE_spindle,8.424143,0.282043
noise_aug,severe,smcAC,0.123245,0.001641
noise_aug,severe,smcDC,10.523206,0.258316
noise_aug,severe,vib_table,2.204396,0.187197
noise_aug,severe,vib_spindle,2.397715,0.160924
noise_aug,severe,AE_table,4.043328,0.207667
noise_aug,severe,AE_spindle,1.865380,0.125286
