method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
llm,sharp,ch0_band0_frac,0.0094587127,0.012972873,0.0035141607,0.532203,0.371526,0.314706
llm,sharp,ch0_band1_frac,0.97426122,0.96992006,-0.0043411595,-0.469642,-0.004456,0.349020
llm,sharp,ch0_band2_frac,0.0051635296,0.0058021658,0.00063863623,0.116469,0.123682,0.300000
llm,sharp,ch0_band3_frac,0.0035149843,0.0043794244,0.00086444012,0.929385,0.245930,0.427451
llm,sharp,ch0_band4_frac,0.0034139219,0.0027747338,-0.00063918805,-0.561875,-0.187230,0.353922
llm,sharp,ch0_band5_frac,0.0035732116,0.0034755148,-9.769672e-05,-0.090514,-0.027341,0.409804
llm,sharp,ch0_crest,2.0371173,2.0819194,0.044802114,0.272819,0.021993,0.379412
llm,sharp,ch0_kurtosis,1.6314928,1.620644,-0.010848883,-0.179400,-0.006650,0.515686
llm,sharp,ch0_rms,1.094638,1.0947678,0.00012979874,0.000317,0.000119,0.084314
llm,sharp,ch0_skewness,-0.015809661,-0.0016465265,0.014163135,0.737512,0.895853,0.266667
llm,sharp,ch0_tooth_rms_cv,0.4208966,0.41183414,-0.0090624592,-0.344946,-0.021531,0.482353
llm,sharp,ch0_tpf_amp_ratio,0.0038090365,0.0033251737,-0.00048386274,-0.342011,-0.127030,0.572549
llm,sharp,ch1_band0_frac,0.79873941,0.84579965,0.04706024,0.217544,0.058918,0.287255
llm,sharp,ch1_band1_frac,0.084574874,0.059578055,-0.024996819,-0.240537,-0.295558,0.362745
llm,sharp,ch1_band2_frac,0.092882792,0.092956652,7.386027e-05,0.001262,0.000795,0.215686
llm,sharp,ch1_band3_frac,0.00022422419,0.0014500216,0.0012257975,6.945419,5.466839,0.931373
llm,sharp,ch1_band4_frac,0.00012508713,0.00060100814,0.00047592101,3.044644,3.804716,0.937255
llm,sharp,ch1_band5_frac,9.4011587e-05,0.00030849767,0.00021448608,1.738181,2.281486,0.255882
llm,sharp,ch1_crest,1.0581414,1.0590951,0.000953697,0.031585,0.000901,0.583333
llm,sharp,ch1_kurtosis,2.210076,1.9422519,-0.26782402,-0.780534,-0.121183,0.517647
llm,sharp,ch1_rms,4.2847664,4.2771839,-0.0075825284,-0.004541,-0.001770,0.060784
llm,sharp,ch1_skewness,-0.021740965,-0.011272187,0.010468778,0.061341,0.481523,0.722549
llm,sharp,ch1_tooth_rms_cv,0.02585174,0.028938806,0.003087066,0.272181,0.119414,0.280392
llm,sharp,ch1_tpf_amp_ratio,0.00088323457,0.0016714586,0.000788224,1.400335,0.892429,0.849020
llm,sharp,ch2_band0_frac,0.0093511957,0.0078616419,-0.0014895538,-0.113829,-0.159290,0.770588
llm,sharp,ch2_band1_frac,0.20806202,0.19196794,-0.016094075,-0.068662,-0.077352,0.143137
llm,sharp,ch2_band2_frac,0.20609336,0.46055162,0.25445826,0.887355,1.234675,0.074510
llm,sharp,ch2_band3_frac,0.17112238,0.22290278,0.051780403,0.504165,0.302593,0.207843
llm,sharp,ch2_band4_frac,0.1214044,0.1117848,-0.0096195996,-0.090379,-0.079236,0.226471
llm,sharp,ch2_band5_frac,0.011331321,0.005561954,-0.0057693671,-0.703946,-0.509152,0.853922
llm,sharp,ch2_crest,1.4802864,1.4493859,-0.030900547,-0.119207,-0.020875,0.368627
llm,sharp,ch2_kurtosis,2.6754214,2.8811973,0.20577589,0.207235,0.076913,0.943137
llm,sharp,ch2_rms,0.94335809,0.93797583,-0.0053822592,-0.015622,-0.005705,0.092157
llm,sharp,ch2_skewness,-0.19896918,-0.63901857,-0.44004939,-0.752143,-2.211646,0.152941
llm,sharp,ch2_tooth_rms_cv,0.16432203,0.17313286,0.0088108259,0.074646,0.053619,0.078431
llm,sharp,ch2_tpf_amp_ratio,0.099447236,0.10944159,0.0099943578,0.189114,0.100499,0.290196
llm,sharp,ch3_band0_frac,0.28610928,0.33610582,0.049996539,0.243976,0.174746,0.176471
llm,sharp,ch3_band1_frac,0.16448148,0.13067793,-0.033803552,-0.432020,-0.205516,0.345098
llm,sharp,ch3_band2_frac,0.16178827,0.25201311,0.090224839,1.415239,0.557672,0.218627
llm,sharp,ch3_band3_frac,0.13910493,0.091956164,-0.047148764,-0.886088,-0.338944,0.258824
llm,sharp,ch3_band4_frac,0.088849227,0.092193752,0.0033445256,0.121819,0.037643,0.588235
llm,sharp,ch3_band5_frac,0.098445368,0.081077765,-0.017367603,-0.377042,-0.176419,0.396078
llm,sharp,ch3_crest,1.1776664,1.1734979,-0.0041684439,-0.078481,-0.003540,0.754902
llm,sharp,ch3_kurtosis,3.8497455,3.4413278,-0.40841775,-0.461507,-0.106090,0.901961
llm,sharp,ch3_rms,0.30210757,0.30192083,-0.00018674132,-0.009734,-0.000618,0.168627
llm,sharp,ch3_skewness,0.66597055,0.49638803,-0.16958252,-0.466703,-0.254640,0.527451
llm,sharp,ch3_tooth_rms_cv,0.035598482,0.035450076,-0.00014840586,-0.021771,-0.004169,0.682353
llm,sharp,ch3_tpf_amp_ratio,0.032344303,0.060092646,0.027748344,2.141887,0.857905,0.289216
