method,class,channel,band,real_frac,method_frac,delta
llm,sharp,smcAC,0-8,0.010713,0.013148,0.002435
llm,sharp,smcAC,8-20,0.972054,0.965712,-0.006343
llm,sharp,smcAC,20-40,0.007453,0.008839,0.001386
llm,sharp,smcAC,40-70,0.003466,0.004157,0.000691
llm,sharp,smcAC,70-100,0.003211,0.003891,0.000680
llm,sharp,smcAC,100-125,0.003103,0.004253,0.001150
llm,sharp,smcDC,0-8,0.841144,0.785477,-0.055667
llm,sharp,smcDC,8-20,0.071300,0.105004,0.033705
llm,sharp,smcDC,20-40,0.056334,0.107227,0.050893
llm,sharp,smcDC,40-70,0.025449,0.001164,-0.024285
llm,sharp,smcDC,70-100,0.005436,0.000704,-0.004732
llm,sharp,smcDC,100-125,0.000338,0.000424,0.000086
llm,sharp,vib_table,0-8,0.027573,0.007780,-0.019793
llm,sharp,vib_table,8-20,0.414325,0.270485,-0.143840
llm,sharp,vib_table,20-40,0.253753,0.431370,0.177617
llm,sharp,vib_table,40-70,0.128963,0.131589,0.002626
llm,sharp,vib_table,70-100,0.165860,0.146615,-0.019246
llm,sharp,vib_table,100-125,0.009526,0.012161,0.002635
llm,sharp,vib_spindle,0-8,0.106931,0.447681,0.340750
llm,sharp,vib_spindle,8-20,0.299465,0.096694,-0.202771
llm,sharp,vib_spindle,20-40,0.143018,0.196626,0.053608
llm,sharp,vib_spindle,40-70,0.236568,0.116507,-0.120061
llm,sharp,vib_spindle,70-100,0.156027,0.061177,-0.094850
llm,sharp,vib_spindle,100-125,0.057991,0.081315,0.023324
llm,sharp,AE_table,0-8,0.066627,0.039281,-0.027346
llm,sharp,AE_table,8-20,0.356623,0.453537,0.096913
llm,sharp,AE_table,20-40,0.223879,0.191760,-0.032118
llm,sharp,AE_table,40-70,0.139254,0.189223,0.049969
llm,sharp,AE_table,70-100,0.166297,0.069685,-0.096612
llm,sharp,AE_table,100-125,0.047321,0.056514,0.009194
llm,sharp,AE_spindle,0-8,0.041541,0.026167,-0.015374
