method,feature,real_sharp,real_worn,real_severe,method_sharp,method_worn,method_severe,spearman_to_real_order
llm,total_rms,1.8646022,2.7796699,3.3177083,1.8410041,2.7893632,3.352705,1.000000
llm,high_band_frac,0.011751773,0.007603618,0.0076498361,0.01377703,0.0085859038,0.01063625,1.000000
llm,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.0036991886,0.0037079369,0.0033634832,0.500000
llm,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.0021603289,0.0023055731,0.0024064361,-0.500000
llm,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.097855697,0.1471606,0.11718575,0.500000
llm,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.025642979,0.02279613,0.0288153,-1.000000
llm,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.027178577,0.10452743,0.10638241,1.000000
llm,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.043074632,0.081835705,0.11627962,1.000000
llm,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.0011035378,0.0010603252,0.00075073403,1.000000
llm,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.0017855847,0.0015777711,0.0010072785,1.000000
rule,total_rms,1.8646022,2.7796699,3.3177083,1.8463268,2.767723,3.3059429,1.000000
rule,high_band_frac,0.011751773,0.007603618,0.0076498361,0.011639155,0.0086248169,0.0083484436,0.500000
rule,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.0042043848,0.0031219564,0.0029021061,1.000000
rule,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.0011134374,0.0023266542,0.0022773387,-1.000000
rule,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.066570309,0.11239402,0.13613021,1.000000
rule,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.038020415,0.031729868,0.024591815,0.500000
rule,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.055565402,0.11076764,0.13070448,1.000000
rule,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.035856302,0.10382577,0.0881758,0.500000
rule,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.001116361,0.0010793545,0.00076103418,1.000000
rule,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.0017828715,0.00160864,0.0010118699,1.000000
random_open_loop,total_rms,1.8646022,2.7796699,3.3177083,1.4566374,2.5411818,5.5503646,1.000000
random_open_loop,high_band_frac,0.011751773,0.007603618,0.0076498361,0.04302789,0.039507602,0.031305843,0.500000
random_open_loop,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.012452945,0.010988317,0.011171961,0.500000
random_open_loop,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.011026789,0.010533949,0.01079716,1.000000
random_open_loop,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.09114101,0.057356028,0.085392164,-0.500000
random_open_loop,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.028853445,0.03472072,0.026086393,1.000000
random_open_loop,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.054476261,0.074579023,0.093787969,1.000000
random_open_loop,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.053884728,0.062516179,0.1013116,1.000000
random_open_loop,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.006078112,0.017258068,0.0055206925,0.500000
random_open_loop,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.013107606,0.010971391,0.0040778024,1.000000
noise_aug,total_rms,1.8646022,2.7796699,3.3177083,1.9596955,4.1247786,2.9672817,0.500000
noise_aug,high_band_frac,0.011751773,0.007603618,0.0076498361,0.013323842,0.0077056086,0.0084178063,1.000000
noise_aug,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.0041374688,0.002547613,0.0034833256,0.500000
noise_aug,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.020029872,0.026897283,0.023130608,-1.000000
noise_aug,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.091805614,0.084010294,0.1055035,0.500000
noise_aug,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.035324364,0.032935217,0.02833506,0.500000
noise_aug,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.065473607,0.072031404,0.14197735,1.000000
noise_aug,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.062930674,0.082841608,0.13422667,1.000000
noise_aug,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.0010829713,0.00060689311,0.00085467706,0.500000
noise_aug,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.0015061782,0.00082760037,0.0011284563,0.500000
