method,class,channel,band,real_frac,method_frac,delta
llm,sharp,smcAC,0-8,0.010713,0.010208,-0.000505
llm,sharp,smcAC,8-20,0.972054,0.967076,-0.004978
llm,sharp,smcAC,20-40,0.007453,0.009036,0.001583
llm,sharp,smcAC,40-70,0.003466,0.005369,0.001903
llm,sharp,smcAC,70-100,0.003211,0.003942,0.000731
llm,sharp,smcAC,100-125,0.003103,0.004369,0.001266
llm,sharp,smcDC,0-8,0.841144,0.853135,0.011991
llm,sharp,smcDC,8-20,0.071300,0.051721,-0.019579
llm,sharp,smcDC,20-40,0.056334,0.092840,0.036506
llm,sharp,smcDC,40-70,0.025449,0.001255,-0.024194
llm,sharp,smcDC,70-100,0.005436,0.000653,-0.004782
llm,sharp,smcDC,100-125,0.000338,0.000395,0.000057
llm,sharp,vib_table,0-8,0.027573,0.005971,-0.021602
llm,sharp,vib_table,8-20,0.414325,0.185305,-0.229019
llm,sharp,vib_table,20-40,0.253753,0.545715,0.291962
llm,sharp,vib_table,40-70,0.128963,0.155104,0.026141
llm,sharp,vib_table,70-100,0.165860,0.099657,-0.066203
llm,sharp,vib_table,100-125,0.009526,0.008248,-0.001278
llm,sharp,vib_spindle,0-8,0.106931,0.228628,0.121697
llm,sharp,vib_spindle,8-20,0.299465,0.118446,-0.181019
llm,sharp,vib_spindle,20-40,0.143018,0.324207,0.181189
llm,sharp,vib_spindle,40-70,0.236568,0.158503,-0.078064
llm,sharp,vib_spindle,70-100,0.156027,0.063218,-0.092809
llm,sharp,vib_spindle,100-125,0.057991,0.106999,0.049008
llm,sharp,AE_table,0-8,0.066627,0.038029,-0.028598
llm,sharp,AE_table,8-20,0.356623,0.232238,-0.124386
llm,sharp,AE_table,20-40,0.223879,0.333817,0.109938
llm,sharp,AE_table,40-70,0.139254,0.200440,0.061186
llm,sharp,AE_table,70-100,0.166297,0.082640,-0.083657
llm,sharp,AE_table,100-125,0.047321,0.112837,0.065517
llm,sharp,AE_spindle,0-8,0.041541,0.024096,-0.017445
llm,sharp,AE_spindle,8-20,0.373351,0.191380,-0.181972
llm,sharp,AE_spindle,20-40,0.325461,0.480742,0.155282
llm,sharp,AE_spindle,40-70,0.131478,0.156972,0.025495
llm,sharp,AE_spindle,70-100,0.085430,0.057917,-0.027513
llm,sharp,AE_spindle,100-125,0.042739,0.088893,0.046154
llm,worn,smcAC,0-8,0.004151,0.014112,0.009962
llm,worn,smcAC,8-20,0.985060,0.960370,-0.024690
llm,worn,smcAC,20-40,0.003068,0.015648,0.012581
llm,worn,smcAC,40-70,0.002552,0.003196,0.000645
llm,worn,smcAC,70-100,0.002816,0.003462,0.000646
llm,worn,smcAC,100-125,0.002354,0.003212,0.000857
llm,worn,smcDC,0-8,0.927060,0.462916,-0.464144
