method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
llm,sharp,ch0_band0_frac,0.0094587127,0.010508035,0.001049322,0.158915,0.110937,0.433333
llm,sharp,ch0_band1_frac,0.97426122,0.96648022,-0.0077809981,-0.841777,-0.007987,0.342081
llm,sharp,ch0_band2_frac,0.0051635296,0.0092525151,0.0040889855,0.745714,0.791897,0.143137
llm,sharp,ch0_band3_frac,0.0035149843,0.0055490821,0.0020340979,2.186918,0.578693,0.200000
llm,sharp,ch0_band4_frac,0.0034139219,0.0038709763,0.00045705442,0.401772,0.133880,0.322474
llm,sharp,ch0_band5_frac,0.0035732116,0.0044863328,0.0009131212,0.845987,0.255546,0.354902
llm,sharp,ch0_crest,2.0371173,1.9394701,-0.097647254,-0.594615,-0.047934,0.339668
llm,sharp,ch0_kurtosis,1.6314928,1.5931002,-0.038392656,-0.634870,-0.023532,0.466667
llm,sharp,ch0_rms,1.094638,1.0094567,-0.085181306,-0.207869,-0.077817,0.086275
llm,sharp,ch0_skewness,-0.015809661,-0.0032833385,0.012526323,0.652279,0.792321,0.274510
llm,sharp,ch0_tooth_rms_cv,0.4208966,0.41413732,-0.0067592794,-0.257280,-0.016059,0.334238
llm,sharp,ch0_tpf_amp_ratio,0.0038090365,0.0054138634,0.0016048269,1.134348,0.421321,0.318100
llm,sharp,ch1_band0_frac,0.79873941,0.85487993,0.056140527,0.259520,0.070286,0.139216
llm,sharp,ch1_band1_frac,0.084574874,0.049431593,-0.035143281,-0.338174,-0.415529,0.192157
llm,sharp,ch1_band2_frac,0.092882792,0.093420513,0.00053772102,0.009188,0.005789,0.182353
llm,sharp,ch1_band3_frac,0.00022422419,0.0013643341,0.0011401099,6.459910,5.084687,0.931373
llm,sharp,ch1_band4_frac,0.00012508713,0.00076693406,0.00064184693,4.106133,5.131199,0.937255
llm,sharp,ch1_band5_frac,9.4011587e-05,0.00037919037,0.00028517879,2.311070,3.033443,0.217647
llm,sharp,ch1_crest,1.0581414,1.0604751,0.0023336107,0.077286,0.002205,0.576772
llm,sharp,ch1_kurtosis,2.210076,2.3811837,0.17110772,0.498668,0.077422,0.431373
llm,sharp,ch1_rms,4.2847664,4.2769688,-0.0077975485,-0.004669,-0.001820,0.060784
llm,sharp,ch1_skewness,-0.021740965,-0.087756947,-0.066015982,-0.386814,-3.036479,0.282353
llm,sharp,ch1_tooth_rms_cv,0.02585174,0.027300919,0.0014491782,0.127772,0.056057,0.280392
llm,sharp,ch1_tpf_amp_ratio,0.00088323457,0.0020777097,0.0011944751,2.122069,1.352387,0.741327
llm,sharp,ch2_band0_frac,0.0093511957,0.0056990927,-0.003652103,-0.279086,-0.390549,0.770588
llm,sharp,ch2_band1_frac,0.20806202,0.18131171,-0.026750306,-0.114125,-0.128569,0.164706
llm,sharp,ch2_band2_frac,0.20609336,0.5526099,0.34651654,1.208384,1.681357,0.119608
llm,sharp,ch2_band3_frac,0.17112238,0.14107541,-0.030046962,-0.292555,-0.175588,0.192157
llm,sharp,ch2_band4_frac,0.1214044,0.10452271,-0.016881687,-0.158609,-0.139053,0.207843
llm,sharp,ch2_band5_frac,0.011331321,0.0095967337,-0.0017345874,-0.211645,-0.153079,0.603922
llm,sharp,ch2_crest,1.4802864,1.3633351,-0.11695127,-0.451170,-0.079006,0.286275
llm,sharp,ch2_kurtosis,2.6754214,2.1417981,-0.53362329,-0.537406,-0.199454,0.943137
llm,sharp,ch2_rms,0.94335809,0.93541839,-0.0079396997,-0.023045,-0.008416,0.092157
llm,sharp,ch2_skewness,-0.19896918,-0.52682034,-0.32785116,-0.560371,-1.647748,0.401961
