method,class,channel,band,real_frac,method_frac,delta
llm,sharp,smcAC,0-8,0.010713,0.013941,0.003228
llm,sharp,smcAC,8-20,0.972054,0.965240,-0.006814
llm,sharp,smcAC,20-40,0.007453,0.008552,0.001099
llm,sharp,smcAC,40-70,0.003466,0.004258,0.000792
llm,sharp,smcAC,70-100,0.003211,0.003848,0.000637
llm,sharp,smcAC,100-125,0.003103,0.004162,0.001059
llm,sharp,smcDC,0-8,0.841144,0.836910,-0.004234
llm,sharp,smcDC,8-20,0.071300,0.076113,0.004814
llm,sharp,smcDC,20-40,0.056334,0.083953,0.027619
llm,sharp,smcDC,40-70,0.025449,0.001672,-0.023777
llm,sharp,smcDC,70-100,0.005436,0.000816,-0.004619
llm,sharp,smcDC,100-125,0.000338,0.000535,0.000197
llm,sharp,vib_table,0-8,0.027573,0.013385,-0.014188
llm,sharp,vib_table,8-20,0.414325,0.274825,-0.139500
llm,sharp,vib_table,20-40,0.253753,0.322477,0.068724
llm,sharp,vib_table,40-70,0.128963,0.215063,0.086100
llm,sharp,vib_table,70-100,0.165860,0.159782,-0.006079
llm,sharp,vib_table,100-125,0.009526,0.014468,0.004942
llm,sharp,vib_spindle,0-8,0.106931,0.312211,0.205280
llm,sharp,vib_spindle,8-20,0.299465,0.159110,-0.140355
llm,sharp,vib_spindle,20-40,0.143018,0.193209,0.050191
llm,sharp,vib_spindle,40-70,0.236568,0.146135,-0.090433
llm,sharp,vib_spindle,70-100,0.156027,0.084994,-0.071033
llm,sharp,vib_spindle,100-125,0.057991,0.104340,0.046349
llm,sharp,AE_table,0-8,0.066627,0.049914,-0.016713
llm,sharp,AE_table,8-20,0.356623,0.328268,-0.028356
llm,sharp,AE_table,20-40,0.223879,0.270909,0.047031
llm,sharp,AE_table,40-70,0.139254,0.178324,0.039070
llm,sharp,AE_table,70-100,0.166297,0.098476,-0.067821
llm,sharp,AE_table,100-125,0.047321,0.074109,0.026788
llm,sharp,AE_spindle,0-8,0.041541,0.033689,-0.007853
llm,sharp,AE_spindle,8-20,0.373351,0.249526,-0.123826
llm,sharp,AE_spindle,20-40,0.325461,0.445407,0.119946
llm,sharp,AE_spindle,40-70,0.131478,0.135972,0.004494
llm,sharp,AE_spindle,70-100,0.085430,0.080846,-0.004584
llm,sharp,AE_spindle,100-125,0.042739,0.054561,0.011822
llm,worn,smcAC,0-8,0.004151,0.010457,0.006307
llm,worn,smcAC,8-20,0.985060,0.973056,-0.012003
llm,worn,smcAC,20-40,0.003068,0.007065,0.003997
llm,worn,smcAC,40-70,0.002552,0.003131,0.000579
llm,worn,smcAC,70-100,0.002816,0.003086,0.000270
llm,worn,smcAC,100-125,0.002354,0.003205,0.000851
llm,worn,smcDC,0-8,0.927060,0.823901,-0.103159
llm,worn,smcDC,8-20,0.025119,0.070349,0.045230
llm,worn,smcDC,20-40,0.040522,0.101301,0.060778
llm,worn,smcDC,40-70,0.006290,0.002564,-0.003725
llm,worn,smcDC,70-100,0.000814,0.001148,0.000334
llm,worn,smcDC,100-125,0.000195,0.000736,0.000542
llm,worn,vib_table,0-8,0.052770,0.020911,-0.031858
llm,worn,vib_table,8-20,0.214616,0.223230,0.008613
llm,worn,vib_table,20-40,0.287798,0.377012,0.089214
llm,worn,vib_table,40-70,0.114899,0.121135,0.006236
llm,worn,vib_table,70-100,0.317423,0.242698,-0.074725
llm,worn,vib_table,100-125,0.012494,0.015015,0.002520
llm,worn,vib_spindle,0-8,0.110530,0.349913,0.239384
llm,worn,vib_spindle,8-20,0.229694,0.179255,-0.050438
llm,worn,vib_spindle,20-40,0.225050,0.175810,-0.049241
llm,worn,vib_spindle,40-70,0.220972,0.110069,-0.110904
llm,worn,vib_spindle,70-100,0.147118,0.094151,-0.052967
llm,worn,vib_spindle,100-125,0.066637,0.090802,0.024166
llm,worn,AE_table,0-8,0.105419,0.093277,-0.012143
llm,worn,AE_table,8-20,0.194408,0.229395,0.034986
llm,worn,AE_table,20-40,0.184379,0.211098,0.026719
llm,worn,AE_table,40-70,0.123423,0.147929,0.024506
llm,worn,AE_table,70-100,0.354388,0.272181,-0.082207
llm,worn,AE_table,100-125,0.037983,0.046120,0.008138
llm,worn,AE_spindle,0-8,0.164121,0.121415,-0.042706
llm,worn,AE_spindle,8-20,0.209481,0.229266,0.019785
llm,worn,AE_spindle,20-40,0.213533,0.219855,0.006322
llm,worn,AE_spindle,40-70,0.117671,0.148471,0.030801
llm,worn,AE_spindle,70-100,0.260681,0.237010,-0.023671
llm,worn,AE_spindle,100-125,0.034514,0.043983,0.009469
llm,severe,smcAC,0-8,0.003696,0.007857,0.004160
llm,severe,smcAC,8-20,0.986361,0.977701,-0.008660
llm,severe,smcAC,20-40,0.002536,0.004559,0.002023
llm,severe,smcAC,40-70,0.002280,0.003188,0.000908
llm,severe,smcAC,70-100,0.002821,0.003823,0.001002
llm,severe,smcAC,100-125,0.002305,0.002872,0.000567
llm,severe,smcDC,0-8,0.909220,0.824908,-0.084313
llm,severe,smcDC,8-20,0.026629,0.039531,0.012902
llm,severe,smcDC,20-40,0.063954,0.131693,0.067739
llm,severe,smcDC,40-70,0.000137,0.002361,0.002224
llm,severe,smcDC,70-100,0.000038,0.000932,0.000894
llm,severe,smcDC,100-125,0.000022,0.000576,0.000554
llm,severe,vib_table,0-8,0.047298,0.024637,-0.022661
llm,severe,vib_table,8-20,0.309386,0.156268,-0.153118
llm,severe,vib_table,20-40,0.216909,0.315917,0.099008
llm,severe,vib_table,40-70,0.125918,0.182209,0.056291
llm,severe,vib_table,70-100,0.287301,0.300128,0.012827
llm,severe,vib_table,100-125,0.013189,0.020841,0.007652
llm,severe,vib_spindle,0-8,0.210732,0.443996,0.233264
llm,severe,vib_spindle,8-20,0.200274,0.140163,-0.060111
llm,severe,vib_spindle,20-40,0.204689,0.126644,-0.078044
llm,severe,vib_spindle,40-70,0.178395,0.112828,-0.065567
llm,severe,vib_spindle,70-100,0.134462,0.081449,-0.053012
llm,severe,vib_spindle,100-125,0.071450,0.094920,0.023470
llm,severe,AE_table,0-8,0.124164,0.120913,-0.003251
llm,severe,AE_table,8-20,0.171550,0.177317,0.005767
llm,severe,AE_table,20-40,0.145076,0.184626,0.039550
llm,severe,AE_table,40-70,0.101338,0.153640,0.052303
llm,severe,AE_table,70-100,0.426352,0.317725,-0.108627
llm,severe,AE_table,100-125,0.031521,0.045779,0.014258
llm,severe,AE_spindle,0-8,0.234738,0.182761,-0.051977
llm,severe,AE_spindle,8-20,0.150976,0.129015,-0.021961
llm,severe,AE_spindle,20-40,0.150509,0.188818,0.038309
llm,severe,AE_spindle,40-70,0.099786,0.131895,0.032109
llm,severe,AE_spindle,70-100,0.334079,0.321983,-0.012097
llm,severe,AE_spindle,100-125,0.029911,0.045529,0.015618
rule,sharp,smcAC,0-8,0.010713,0.010632,-0.000081
rule,sharp,smcAC,8-20,0.972054,0.970677,-0.001377
rule,sharp,smcAC,20-40,0.007453,0.006923,-0.000531
rule,sharp,smcAC,40-70,0.003466,0.003968,0.000502
rule,sharp,smcAC,70-100,0.003211,0.003743,0.000533
rule,sharp,smcAC,100-125,0.003103,0.004058,0.000955
rule,sharp,smcDC,0-8,0.841144,0.817574,-0.023570
rule,sharp,smcDC,8-20,0.071300,0.079886,0.008586
rule,sharp,smcDC,20-40,0.056334,0.097672,0.041338
rule,sharp,smcDC,40-70,0.025449,0.002759,-0.022690
rule,sharp,smcDC,70-100,0.005436,0.001304,-0.004132
rule,sharp,smcDC,100-125,0.000338,0.000805,0.000467
rule,sharp,vib_table,0-8,0.027573,0.006720,-0.020853
rule,sharp,vib_table,8-20,0.414325,0.172819,-0.241506
rule,sharp,vib_table,20-40,0.253753,0.548336,0.294583
rule,sharp,vib_table,40-70,0.128963,0.185733,0.056770
rule,sharp,vib_table,70-100,0.165860,0.076806,-0.089055
rule,sharp,vib_table,100-125,0.009526,0.009587,0.000061
rule,sharp,vib_spindle,0-8,0.106931,0.381589,0.274657
rule,sharp,vib_spindle,8-20,0.299465,0.113868,-0.185597
rule,sharp,vib_spindle,20-40,0.143018,0.232414,0.089395
rule,sharp,vib_spindle,40-70,0.236568,0.121677,-0.114891
rule,sharp,vib_spindle,70-100,0.156027,0.070688,-0.085339
rule,sharp,vib_spindle,100-125,0.057991,0.079765,0.021774
rule,sharp,AE_table,0-8,0.066627,0.039689,-0.026938
rule,sharp,AE_table,8-20,0.356623,0.311214,-0.045410
rule,sharp,AE_table,20-40,0.223879,0.285828,0.061950
