method,class,channel,psd_w1,band_l1
llm,sharp,smcAC,0.415686,0.013628
llm,sharp,smcDC,1.984060,0.065261
llm,sharp,vib_table,4.779972,0.319533
llm,sharp,vib_spindle,6.542564,0.603641
llm,sharp,AE_table,4.413709,0.225779
llm,sharp,AE_spindle,4.246251,0.272524
llm,worn,smcAC,1.147591,0.024007
llm,worn,smcDC,2.472386,0.213769
llm,worn,vib_table,4.691761,0.213168
llm,worn,vib_spindle,9.279300,0.527099
llm,worn,AE_table,4.083575,0.188699
llm,worn,AE_spindle,2.208076,0.132754
llm,severe,smcAC,0.957957,0.017320
llm,severe,smcDC,2.476526,0.168625
llm,severe,vib_table,5.838728,0.351557
llm,severe,vib_spindle,8.303890,0.513469
llm,severe,AE_table,4.339356,0.223756
llm,severe,AE_spindle,3.978209,0.172070
rule,sharp,smcAC,0.383812,0.003979
rule,sharp,smcDC,2.262015,0.100783
rule,sharp,vib_table,7.093093,0.702828
rule,sharp,vib_spindle,9.412829,0.771655
rule,sharp,AE_table,4.509958,0.280562
rule,sharp,AE_spindle,3.416588,0.349006
rule,worn,smcAC,1.102351,0.031504
rule,worn,smcDC,3.957975,0.377801
rule,worn,vib_table,8.437706,0.364760
rule,worn,vib_spindle,10.985939,0.621413
rule,worn,AE_table,6.364925,0.261126
rule,worn,AE_spindle,5.105786,0.137306
rule,severe,smcAC,1.028013,0.018727
rule,severe,smcDC,5.711190,0.474252
rule,severe,vib_table,4.798596,0.348277
rule,severe,vib_spindle,9.616650,0.582593
rule,severe,AE_table,7.098231,0.352638
rule,severe,AE_spindle,2.760235,0.187661
random_open_loop,sharp,smcAC,2.758447,0.083776
random_open_loop,sharp,smcDC,5.186355,0.401844
random_open_loop,sharp,vib_table,2.090583,0.154105
random_open_loop,sharp,vib_spindle,8.454653,0.570525
random_open_loop,sharp,AE_table,2.570891,0.131525
random_open_loop,sharp,AE_spindle,1.259297,0.080102
random_open_loop,worn,smcAC,3.520590,0.105242
random_open_loop,worn,smcDC,7.158519,0.344490
random_open_loop,worn,vib_table,14.577591,0.573918
random_open_loop,worn,vib_spindle,10.835191,0.683736
random_open_loop,worn,AE_table,9.155407,0.380772
random_open_loop,worn,AE_spindle,4.340359,0.271456
random_open_loop,severe,smcAC,3.286048,0.101861
random_open_loop,severe,smcDC,6.940780,0.359265
random_open_loop,severe,vib_table,8.159769,0.351415
random_open_loop,severe,vib_spindle,10.318506,0.583036
random_open_loop,severe,AE_table,7.400104,0.425291
random_open_loop,severe,AE_spindle,4.665737,0.387879
noise_aug,sharp,smcAC,0.302695,0.009396
noise_aug,sharp,smcDC,18.783532,0.536917
noise_aug,sharp,vib_table,4.021045,0.177548
noise_aug,sharp,vib_spindle,5.900303,0.337353
noise_aug,sharp,AE_table,1.318092,0.131645
noise_aug,sharp,AE_spindle,0.858543,0.056007
noise_aug,worn,smcAC,0.972154,0.014326
noise_aug,worn,smcDC,11.230906,0.339772
noise_aug,worn,vib_table,3.548213,0.304821
noise_aug,worn,vib_spindle,1.061182,0.080307
noise_aug,worn,AE_table,9.099746,0.346649
noise_aug,worn,AE_spindle,8.424143,0.282043
noise_aug,severe,smcAC,0.123245,0.001641
noise_aug,severe,smcDC,10.523206,0.258316
noise_aug,severe,vib_table,2.204396,0.187197
noise_aug,severe,vib_spindle,2.397715,0.160924
noise_aug,severe,AE_table,4.043328,0.207667
noise_aug,severe,AE_spindle,1.865380,0.125286
