method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
llm,sharp,ch0_band0_frac,0.0094587127,0.013402423,0.0039437105,0.597256,0.416939,0.378431
llm,sharp,ch0_band1_frac,0.97426122,0.96523663,-0.0090245929,-0.976313,-0.009263,0.194118
llm,sharp,ch0_band2_frac,0.0051635296,0.008088185,0.0029246554,0.533374,0.566406,0.254902
llm,sharp,ch0_band3_frac,0.0035149843,0.0044333316,0.00091834732,0.987342,0.261266,0.452941
llm,sharp,ch0_band4_frac,0.0034139219,0.0039272632,0.0005133413,0.451250,0.150367,0.359804
llm,sharp,ch0_band5_frac,0.0035732116,0.0041161484,0.00054293687,0.503019,0.151946,0.273529
llm,sharp,ch0_crest,2.0371173,1.9615866,-0.075530689,-0.459938,-0.037077,0.282353
llm,sharp,ch0_kurtosis,1.6314928,1.6098515,-0.021641353,-0.357867,-0.013265,0.595098
llm,sharp,ch0_rms,1.094638,1.0094567,-0.085181306,-0.207869,-0.077817,0.086275
llm,sharp,ch0_skewness,-0.015809661,-0.0160602,-0.00025053914,-0.013046,-0.015847,0.481373
llm,sharp,ch0_tooth_rms_cv,0.4208966,0.42069381,-0.00020278454,-0.007719,-0.000482,0.441176
llm,sharp,ch0_tpf_amp_ratio,0.0038090365,0.0044047384,0.00059570188,0.421063,0.156392,0.525490
llm,sharp,ch1_band0_frac,0.79873941,0.83737134,0.038631932,0.178583,0.048366,0.178431
llm,sharp,ch1_band1_frac,0.084574874,0.076213807,-0.0083610667,-0.080456,-0.098860,0.182353
llm,sharp,ch1_band2_frac,0.092882792,0.083488926,-0.0093938661,-0.160516,-0.101137,0.182353
llm,sharp,ch1_band3_frac,0.00022422419,0.0017932094,0.0015689852,8.889936,6.997395,0.931373
llm,sharp,ch1_band4_frac,0.00012508713,0.00090578323,0.0007806961,4.994403,6.241218,0.937255
llm,sharp,ch1_band5_frac,9.4011587e-05,0.00059679583,0.00050278424,4.074530,5.348109,0.205882
llm,sharp,ch1_crest,1.0581414,1.0596435,0.0015020673,0.049746,0.001420,0.625490
llm,sharp,ch1_kurtosis,2.210076,2.2596979,0.049621941,0.144616,0.022453,0.581373
llm,sharp,ch1_rms,4.2847664,4.2769001,-0.0078662571,-0.004710,-0.001836,0.060784
llm,sharp,ch1_skewness,-0.021740965,-0.14223607,-0.12049511,-0.706028,-5.542307,0.282353
llm,sharp,ch1_tooth_rms_cv,0.02585174,0.026741594,0.00088985402,0.078457,0.034421,0.280392
llm,sharp,ch1_tpf_amp_ratio,0.00088323457,0.002300302,0.0014170674,2.517520,1.604407,0.399020
