method,class,channel,band,real_frac,method_frac,delta
llm,sharp,smcAC,0-8,0.010713,0.012883,0.002170
llm,sharp,smcAC,8-20,0.972054,0.968612,-0.003442
llm,sharp,smcAC,20-40,0.007453,0.006689,-0.000764
llm,sharp,smcAC,40-70,0.003466,0.004066,0.000600
llm,sharp,smcAC,70-100,0.003211,0.003654,0.000443
llm,sharp,smcAC,100-125,0.003103,0.004096,0.000993
llm,sharp,smcDC,0-8,0.841144,0.828642,-0.012502
llm,sharp,smcDC,8-20,0.071300,0.077074,0.005774
llm,sharp,smcDC,20-40,0.056334,0.091350,0.035016
llm,sharp,smcDC,40-70,0.025449,0.001598,-0.023851
llm,sharp,smcDC,70-100,0.005436,0.000818,-0.004618
llm,sharp,smcDC,100-125,0.000338,0.000518,0.000181
llm,sharp,vib_table,0-8,0.027573,0.012546,-0.015027
llm,sharp,vib_table,8-20,0.414325,0.261095,-0.153230
llm,sharp,vib_table,20-40,0.253753,0.341725,0.087972
llm,sharp,vib_table,40-70,0.128963,0.232051,0.103088
llm,sharp,vib_table,70-100,0.165860,0.136976,-0.028884
llm,sharp,vib_table,100-125,0.009526,0.015608,0.006081
llm,sharp,vib_spindle,0-8,0.106931,0.298090,0.191159
llm,sharp,vib_spindle,8-20,0.299465,0.157538,-0.141927
llm,sharp,vib_spindle,20-40,0.143018,0.198595,0.055577
llm,sharp,vib_spindle,40-70,0.236568,0.151308,-0.085260
llm,sharp,vib_spindle,70-100,0.156027,0.088146,-0.067881
llm,sharp,vib_spindle,100-125,0.057991,0.106324,0.048333
llm,sharp,AE_table,0-8,0.066627,0.056551,-0.010076
llm,sharp,AE_table,8-20,0.356623,0.303180,-0.053443
llm,sharp,AE_table,20-40,0.223879,0.288614,0.064736
llm,sharp,AE_table,40-70,0.139254,0.174342,0.035088
llm,sharp,AE_table,70-100,0.166297,0.098618,-0.067680
llm,sharp,AE_table,100-125,0.047321,0.078695,0.031374
llm,sharp,AE_spindle,0-8,0.041541,0.035215,-0.006326
llm,sharp,AE_spindle,8-20,0.373351,0.230666,-0.142686
llm,sharp,AE_spindle,20-40,0.325461,0.445323,0.119862
llm,sharp,AE_spindle,40-70,0.131478,0.148369,0.016891
llm,sharp,AE_spindle,70-100,0.085430,0.077506,-0.007923
llm,sharp,AE_spindle,100-125,0.042739,0.062921,0.020182
llm,worn,smcAC,0-8,0.004151,0.009748,0.005598
llm,worn,smcAC,8-20,0.985060,0.974568,-0.010492
llm,worn,smcAC,20-40,0.003068,0.006151,0.003083
llm,worn,smcAC,40-70,0.002552,0.003265,0.000714
llm,worn,smcAC,70-100,0.002816,0.003185,0.000369
llm,worn,smcAC,100-125,0.002354,0.003083,0.000729
llm,worn,smcDC,0-8,0.927060,0.859921,-0.067140
llm,worn,smcDC,8-20,0.025119,0.052577,0.027458
llm,worn,smcDC,20-40,0.040522,0.083886,0.043364
llm,worn,smcDC,40-70,0.006290,0.002090,-0.004200
llm,worn,smcDC,70-100,0.000814,0.000937,0.000123
llm,worn,smcDC,100-125,0.000195,0.000589,0.000394
llm,worn,vib_table,0-8,0.052770,0.019825,-0.032945
llm,worn,vib_table,8-20,0.214616,0.224366,0.009750
llm,worn,vib_table,20-40,0.287798,0.390357,0.102559
llm,worn,vib_table,40-70,0.114899,0.116299,0.001400
llm,worn,vib_table,70-100,0.317423,0.234804,-0.082619
llm,worn,vib_table,100-125,0.012494,0.014349,0.001855
llm,worn,vib_spindle,0-8,0.110530,0.345734,0.235205
llm,worn,vib_spindle,8-20,0.229694,0.174410,-0.055284
llm,worn,vib_spindle,20-40,0.225050,0.181856,-0.043194
llm,worn,vib_spindle,40-70,0.220972,0.112532,-0.108441
llm,worn,vib_spindle,70-100,0.147118,0.093569,-0.053548
llm,worn,vib_spindle,100-125,0.066637,0.091899,0.025262
llm,worn,AE_table,0-8,0.105419,0.103648,-0.001771
llm,worn,AE_table,8-20,0.194408,0.221757,0.027349
llm,worn,AE_table,20-40,0.184379,0.224820,0.040441
llm,worn,AE_table,40-70,0.123423,0.149791,0.026368
llm,worn,AE_table,70-100,0.354388,0.253887,-0.100501
llm,worn,AE_table,100-125,0.037983,0.046097,0.008114
llm,worn,AE_spindle,0-8,0.164121,0.122774,-0.041347
llm,worn,AE_spindle,8-20,0.209481,0.197199,-0.012282
llm,worn,AE_spindle,20-40,0.213533,0.244875,0.031342
llm,worn,AE_spindle,40-70,0.117671,0.150854,0.033184
llm,worn,AE_spindle,70-100,0.260681,0.237289,-0.023392
llm,worn,AE_spindle,100-125,0.034514,0.047008,0.012495
llm,severe,smcAC,0-8,0.003696,0.006435,0.002739
llm,severe,smcAC,8-20,0.986361,0.980982,-0.005378
llm,severe,smcAC,20-40,0.002536,0.003785,0.001249
llm,severe,smcAC,40-70,0.002280,0.003007,0.000727
llm,severe,smcAC,70-100,0.002821,0.003636,0.000815
llm,severe,smcAC,100-125,0.002305,0.002154,-0.000151
llm,severe,smcDC,0-8,0.909220,0.822636,-0.086585
llm,severe,smcDC,8-20,0.026629,0.034638,0.008009
llm,severe,smcDC,20-40,0.063954,0.138701,0.074748
llm,severe,smcDC,40-70,0.000137,0.002423,0.002286
llm,severe,smcDC,70-100,0.000038,0.001010,0.000972
llm,severe,smcDC,100-125,0.000022,0.000592,0.000570
llm,severe,vib_table,0-8,0.047298,0.032617,-0.014680
llm,severe,vib_table,8-20,0.309386,0.120277,-0.189109
llm,severe,vib_table,20-40,0.216909,0.303163,0.086254
llm,severe,vib_table,40-70,0.125918,0.218978,0.093061
llm,severe,vib_table,70-100,0.287301,0.301512,0.014211
llm,severe,vib_table,100-125,0.013189,0.023453,0.010264
llm,severe,vib_spindle,0-8,0.210732,0.460800,0.250068
llm,severe,vib_spindle,8-20,0.200274,0.140641,-0.059632
llm,severe,vib_spindle,20-40,0.204689,0.116828,-0.087861
llm,severe,vib_spindle,40-70,0.178395,0.105758,-0.072637
llm,severe,vib_spindle,70-100,0.134462,0.083293,-0.051169
llm,severe,vib_spindle,100-125,0.071450,0.092681,0.021231
llm,severe,AE_table,0-8,0.124164,0.119064,-0.005100
llm,severe,AE_table,8-20,0.171550,0.182868,0.011318
llm,severe,AE_table,20-40,0.145076,0.196260,0.051184
llm,severe,AE_table,40-70,0.101338,0.134312,0.032974
llm,severe,AE_table,70-100,0.426352,0.323241,-0.103111
llm,severe,AE_table,100-125,0.031521,0.044255,0.012734
llm,severe,AE_spindle,0-8,0.234738,0.185606,-0.049133
llm,severe,AE_spindle,8-20,0.150976,0.142249,-0.008727
llm,severe,AE_spindle,20-40,0.150509,0.184022,0.033513
llm,severe,AE_spindle,40-70,0.099786,0.133626,0.033840
llm,severe,AE_spindle,70-100,0.334079,0.307548,-0.026531
llm,severe,AE_spindle,100-125,0.029911,0.046949,0.017038
rule,sharp,smcAC,0-8,0.010713,0.010632,-0.000081
rule,sharp,smcAC,8-20,0.972054,0.970677,-0.001377
rule,sharp,smcAC,20-40,0.007453,0.006923,-0.000531
rule,sharp,smcAC,40-70,0.003466,0.003968,0.000502
rule,sharp,smcAC,70-100,0.003211,0.003743,0.000533
rule,sharp,smcAC,100-125,0.003103,0.004058,0.000955
rule,sharp,smcDC,0-8,0.841144,0.817574,-0.023570
rule,sharp,smcDC,8-20,0.071300,0.079886,0.008586
rule,sharp,smcDC,20-40,0.056334,0.097672,0.041338
rule,sharp,smcDC,40-70,0.025449,0.002759,-0.022690
rule,sharp,smcDC,70-100,0.005436,0.001304,-0.004132
rule,sharp,smcDC,100-125,0.000338,0.000805,0.000467
rule,sharp,vib_table,0-8,0.027573,0.006720,-0.020853
rule,sharp,vib_table,8-20,0.414325,0.172819,-0.241506
rule,sharp,vib_table,20-40,0.253753,0.548336,0.294583
rule,sharp,vib_table,40-70,0.128963,0.185733,0.056770
rule,sharp,vib_table,70-100,0.165860,0.076806,-0.089055
rule,sharp,vib_table,100-125,0.009526,0.009587,0.000061
rule,sharp,vib_spindle,0-8,0.106931,0.381589,0.274657
rule,sharp,vib_spindle,8-20,0.299465,0.113868,-0.185597
rule,sharp,vib_spindle,20-40,0.143018,0.232414,0.089395
rule,sharp,vib_spindle,40-70,0.236568,0.121677,-0.114891
rule,sharp,vib_spindle,70-100,0.156027,0.070688,-0.085339
rule,sharp,vib_spindle,100-125,0.057991,0.079765,0.021774
rule,sharp,AE_table,0-8,0.066627,0.039689,-0.026938
rule,sharp,AE_table,8-20,0.356623,0.311214,-0.045410
rule,sharp,AE_table,20-40,0.223879,0.285828,0.061950
rule,sharp,AE_table,40-70,0.139254,0.180545,0.041292
rule,sharp,AE_table,70-100,0.166297,0.098364,-0.067933
rule,sharp,AE_table,100-125,0.047321,0.084360,0.037039
rule,sharp,AE_spindle,0-8,0.041541,0.031504,-0.010037
rule,sharp,AE_spindle,8-20,0.373351,0.237371,-0.135980
rule,sharp,AE_spindle,20-40,0.325461,0.459162,0.133701
rule,sharp,AE_spindle,40-70,0.131478,0.169660,0.038182
rule,sharp,AE_spindle,70-100,0.085430,0.056943,-0.028486
rule,sharp,AE_spindle,100-125,0.042739,0.045360,0.002621
rule,worn,smcAC,0-8,0.004151,0.013338,0.009188
rule,worn,smcAC,8-20,0.985060,0.969308,-0.015752
rule,worn,smcAC,20-40,0.003068,0.007623,0.004555
rule,worn,smcAC,40-70,0.002552,0.003092,0.000540
