method,feature,real_sharp,real_worn,real_severe,method_sharp,method_worn,method_severe,spearman_to_real_order
llm,total_rms,1.8646022,2.7796699,3.3177083,1.8408805,2.7893632,3.346078,1.000000
llm,high_band_frac,0.011751773,0.007603618,0.0076498361,0.013837671,0.008734436,0.0082212559,0.500000
llm,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.0048077131,0.0034055358,0.0026508366,1.000000
llm,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.0022867346,0.0025128541,0.0029944484,-0.500000
llm,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.10153525,0.13252431,0.16795567,1.000000
llm,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.036888558,0.042540563,0.027032072,1.000000
llm,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.046396263,0.11805918,0.14336193,1.000000
llm,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.037710713,0.11803039,0.10988038,0.500000
llm,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.0011037532,0.0010588789,0.00075082161,1.000000
llm,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.0017859334,0.0015764548,0.0010090367,1.000000
rule,total_rms,1.8646022,2.7796699,3.3177083,1.8500265,2.7879812,3.3059429,1.000000
rule,high_band_frac,0.011751773,0.007603618,0.0076498361,0.011246867,0.0084994509,0.0084267321,0.500000
rule,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.0042272413,0.0035574263,0.002823261,1.000000
rule,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.0020101602,0.0021652233,0.0021186062,-1.000000
rule,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.066626435,0.10877052,0.14574033,1.000000
rule,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.036033056,0.034000159,0.02945013,0.500000
rule,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.048018944,0.10857628,0.12504479,1.000000
rule,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.040967775,0.095690255,0.096775456,1.000000
rule,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.001114928,0.0010593832,0.00075874248,1.000000
rule,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.0017908628,0.0015758717,0.0010117553,1.000000
random_open_loop,total_rms,1.8646022,2.7796699,3.3177083,1.6959985,3.6855857,3.6000956,0.500000
random_open_loop,high_band_frac,0.011751773,0.007603618,0.0076498361,0.035936039,0.034839674,0.031439915,0.500000
random_open_loop,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.012055912,0.010966088,0.01093974,1.000000
random_open_loop,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.010754071,0.010317139,0.010804993,0.500000
random_open_loop,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.090225595,0.066047458,0.080377421,-0.500000
random_open_loop,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.037381553,0.033363298,0.026721846,0.500000
random_open_loop,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.063990043,0.061992221,0.11000592,0.500000
random_open_loop,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.047480609,0.062591819,0.094290294,1.000000
random_open_loop,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.0083936045,0.0013878368,0.0055206925,0.500000
random_open_loop,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.021153301,0.0088957356,0.00042047522,1.000000
noise_aug,total_rms,1.8646022,2.7796699,3.3177083,1.5286653,2.3013286,3.0567785,1.000000
noise_aug,high_band_frac,0.011751773,0.007603618,0.0076498361,0.018254283,0.010456312,0.0087541601,0.500000
noise_aug,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.004300769,0.0036690056,0.0027039945,1.000000
noise_aug,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.018114052,0.016998952,0.036944112,0.500000
noise_aug,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.10559405,0.09925849,0.11984244,0.500000
noise_aug,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.029617939,0.032212449,0.024456567,1.000000
noise_aug,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.064359168,0.092534136,0.130253,1.000000
noise_aug,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.061261103,0.056569986,0.076956676,0.500000
noise_aug,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.001406088,0.0010073468,0.00089578679,1.000000
noise_aug,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.0029233777,0.0020545013,0.0010041293,1.000000
