method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
llm,sharp,ch0_band0_frac,0.0094587127,0.013498614,0.0040399014,0.611824,0.427109,0.455882
llm,sharp,ch0_band1_frac,0.97426122,0.96796786,-0.0062933626,-0.680839,-0.006460,0.415686
llm,sharp,ch0_band2_frac,0.0051635296,0.0063695446,0.001206015,0.219943,0.233564,0.406863
llm,sharp,ch0_band3_frac,0.0035149843,0.0041224585,0.00060747427,0.653113,0.172824,0.573529
llm,sharp,ch0_band4_frac,0.0034139219,0.0037376653,0.0003237434,0.284585,0.094830,0.372549
llm,sharp,ch0_band5_frac,0.0035732116,0.0041492744,0.00057606285,0.533710,0.161217,0.344118
llm,sharp,ch0_crest,2.0371173,1.9412015,-0.09591584,-0.584071,-0.047084,0.310784
llm,sharp,ch0_kurtosis,1.6314928,1.605787,-0.025705846,-0.425078,-0.015756,0.516667
llm,sharp,ch0_rms,1.094638,1.0094567,-0.085181305,-0.207869,-0.077817,0.086275
llm,sharp,ch0_skewness,-0.015809661,-0.0088629107,0.0069467506,0.361736,0.439399,0.377451
llm,sharp,ch0_tooth_rms_cv,0.4208966,0.41812284,-0.002773757,-0.105578,-0.006590,0.517647
llm,sharp,ch0_tpf_amp_ratio,0.0038090365,0.0048077131,0.00099867664,0.705900,0.262186,0.511765
llm,sharp,ch1_band0_frac,0.79873941,0.83027054,0.031531132,0.145758,0.039476,0.305882
llm,sharp,ch1_band1_frac,0.084574874,0.079830311,-0.0047445622,-0.045656,-0.056099,0.232353
llm,sharp,ch1_band2_frac,0.092882792,0.088304123,-0.0045786695,-0.078237,-0.049295,0.332353
llm,sharp,ch1_band3_frac,0.00022422419,0.0015020076,0.0012777834,7.239974,5.698687,0.931373
llm,sharp,ch1_band4_frac,0.00012508713,0.00078123137,0.00065614424,4.197599,5.245498,0.937255
llm,sharp,ch1_band5_frac,9.4011587e-05,0.00044065554,0.00034664395,2.809179,3.687247,0.158824
llm,sharp,ch1_crest,1.0581414,1.0591134,0.00097191602,0.032188,0.000919,0.483333
llm,sharp,ch1_kurtosis,2.210076,2.3732739,0.16319793,0.475616,0.073843,0.681373
llm,sharp,ch1_rms,4.2847664,4.2769688,-0.0077975563,-0.004669,-0.001820,0.060784
llm,sharp,ch1_skewness,-0.021740965,-0.11074937,-0.089008401,-0.521535,-4.094041,0.606863
llm,sharp,ch1_tooth_rms_cv,0.02585174,0.027281596,0.0014298554,0.126068,0.055310,0.280392
llm,sharp,ch1_tpf_amp_ratio,0.00088323457,0.0022867346,0.0014035,2.493416,1.589046,0.549020
llm,sharp,ch2_band0_frac,0.0093511957,0.013341799,0.0039906037,0.304954,0.426748,0.770588
llm,sharp,ch2_band1_frac,0.20806202,0.26018166,0.052119644,0.222359,0.250501,0.058824
llm,sharp,ch2_band2_frac,0.20609336,0.33988553,0.13379217,0.466564,0.649182,0.027451
llm,sharp,ch2_band3_frac,0.17112238,0.22137922,0.050256839,0.489331,0.293689,0.232353
llm,sharp,ch2_band4_frac,0.1214044,0.15258008,0.031175674,0.292905,0.256792,0.351961
llm,sharp,ch2_band5_frac,0.011331321,0.015558289,0.0042269678,0.515751,0.373034,0.418627
llm,sharp,ch2_crest,1.4802864,1.4212462,-0.059040235,-0.227763,-0.039884,0.554902
llm,sharp,ch2_kurtosis,2.6754214,2.2801974,-0.39522399,-0.398026,-0.147724,0.943137
llm,sharp,ch2_rms,0.94335809,0.9339437,-0.0094143845,-0.027326,-0.009980,0.092157
llm,sharp,ch2_skewness,-0.19896918,-0.52416725,-0.32519807,-0.555836,-1.634414,0.401961
llm,sharp,ch2_tooth_rms_cv,0.16432203,0.16329777,-0.0010242582,-0.008678,-0.006233,0.241176
llm,sharp,ch2_tpf_amp_ratio,0.099447236,0.10153525,0.0020880165,0.039510,0.020996,0.342157
llm,sharp,ch3_band0_frac,0.28610928,0.30214124,0.016031965,0.078234,0.056034,0.272549
llm,sharp,ch3_band1_frac,0.16448148,0.15855968,-0.0059218003,-0.075682,-0.036003,0.356863
llm,sharp,ch3_band2_frac,0.16178827,0.20603987,0.044251606,0.694117,0.273516,0.474510
llm,sharp,ch3_band3_frac,0.13910493,0.14899891,0.0098939794,0.185942,0.071126,0.354902
llm,sharp,ch3_band4_frac,0.088849227,0.087960276,-0.00088895126,-0.032379,-0.010005,0.567647
llm,sharp,ch3_band5_frac,0.098445368,0.10912684,0.010681468,0.231890,0.108501,0.276471
llm,sharp,ch3_crest,1.1776664,1.1596132,-0.018053193,-0.339894,-0.015330,0.754902
llm,sharp,ch3_kurtosis,3.8497455,3.606413,-0.24333259,-0.274963,-0.063207,0.901961
llm,sharp,ch3_rms,0.30210757,0.30187771,-0.00022985382,-0.011982,-0.000761,0.168627
llm,sharp,ch3_skewness,0.66597055,0.55268912,-0.11328143,-0.311759,-0.170100,0.527451
llm,sharp,ch3_tooth_rms_cv,0.035598482,0.031969848,-0.0036286335,-0.532310,-0.101932,0.582353
llm,sharp,ch3_tpf_amp_ratio,0.032344303,0.036888558,0.0045442552,0.350770,0.140496,0.500000
llm,sharp,ch4_band0_frac,0.043292554,0.057143549,0.013850995,0.447303,0.319939,0.342157
llm,sharp,ch4_band1_frac,0.27473686,0.30548273,0.030745866,0.188231,0.111910,0.265686
llm,sharp,ch4_band2_frac,0.24504653,0.29330892,0.048262391,0.386711,0.196952,0.272549
llm,sharp,ch4_band3_frac,0.14874611,0.1746799,0.025933782,0.486396,0.174349,0.389216
llm,sharp,ch4_band4_frac,0.096929198,0.098675926,0.0017467283,0.027282,0.018021,0.283333
llm,sharp,ch4_band5_frac,0.067408092,0.079746692,0.0123386,0.261745,0.183043,0.270588
llm,sharp,ch4_crest,1.4050384,1.3472607,-0.057777712,-0.316788,-0.041122,0.607843
llm,sharp,ch4_kurtosis,3.2329399,3.0302756,-0.20266422,-0.324465,-0.062687,0.943137
llm,sharp,ch4_rms,0.15004914,0.14984227,-0.00020686579,-0.005557,-0.001379,0.062745
llm,sharp,ch4_skewness,0.44215962,0.30023562,-0.141924,-0.417883,-0.320979,0.460784
llm,sharp,ch4_tooth_rms_cv,0.084090059,0.084262822,0.00017276325,0.004247,0.002055,0.337255
llm,sharp,ch4_tpf_amp_ratio,0.060780213,0.046396263,-0.01438395,-0.359545,-0.236655,0.478431
llm,sharp,ch5_band0_frac,0.03111954,0.03699182,0.0058722797,0.216708,0.188701,0.301961
llm,sharp,ch5_band1_frac,0.20696726,0.22887365,0.021906389,0.119928,0.105845,0.154902
llm,sharp,ch5_band2_frac,0.3932928,0.44002756,0.046734755,0.306816,0.118829,0.272549
llm,sharp,ch5_band3_frac,0.13135991,0.15063274,0.019272833,0.408785,0.146718,0.277451
