method,class,channel,band,real_frac,method_frac,delta
llm,sharp,smcAC,0-8,0.010713,0.013636,0.002923
llm,sharp,smcAC,8-20,0.972054,0.966714,-0.005340
llm,sharp,smcAC,20-40,0.007453,0.007563,0.000110
llm,sharp,smcAC,40-70,0.003466,0.004206,0.000740
llm,sharp,smcAC,70-100,0.003211,0.003749,0.000539
llm,sharp,smcAC,100-125,0.003103,0.004131,0.001028
llm,sharp,smcDC,0-8,0.841144,0.775512,-0.065632
llm,sharp,smcDC,8-20,0.071300,0.112967,0.041668
llm,sharp,smcDC,20-40,0.056334,0.107316,0.050982
llm,sharp,smcDC,40-70,0.025449,0.002302,-0.023147
llm,sharp,smcDC,70-100,0.005436,0.001148,-0.004287
llm,sharp,smcDC,100-125,0.000338,0.000753,0.000416
llm,sharp,vib_table,0-8,0.027573,0.017875,-0.009699
llm,sharp,vib_table,8-20,0.414325,0.312380,-0.101945
llm,sharp,vib_table,20-40,0.253753,0.268347,0.014594
llm,sharp,vib_table,40-70,0.128963,0.222889,0.093926
llm,sharp,vib_table,70-100,0.165860,0.157006,-0.008854
llm,sharp,vib_table,100-125,0.009526,0.021503,0.011977
llm,sharp,vib_spindle,0-8,0.106931,0.290793,0.183862
llm,sharp,vib_spindle,8-20,0.299465,0.187139,-0.112326
llm,sharp,vib_spindle,20-40,0.143018,0.174550,0.031532
llm,sharp,vib_spindle,40-70,0.236568,0.146448,-0.090120
llm,sharp,vib_spindle,70-100,0.156027,0.093976,-0.062051
llm,sharp,vib_spindle,100-125,0.057991,0.107093,0.049103
llm,sharp,AE_table,0-8,0.066627,0.051057,-0.015570
llm,sharp,AE_table,8-20,0.356623,0.304200,-0.052423
llm,sharp,AE_table,20-40,0.223879,0.285083,0.061204
llm,sharp,AE_table,40-70,0.139254,0.168227,0.028974
llm,sharp,AE_table,70-100,0.166297,0.104136,-0.062161
llm,sharp,AE_table,100-125,0.047321,0.087296,0.039976
llm,sharp,AE_spindle,0-8,0.041541,0.034311,-0.007230
llm,sharp,AE_spindle,8-20,0.373351,0.236742,-0.136610
llm,sharp,AE_spindle,20-40,0.325461,0.431601,0.106141
llm,sharp,AE_spindle,40-70,0.131478,0.142587,0.011110
llm,sharp,AE_spindle,70-100,0.085430,0.082923,-0.002507
llm,sharp,AE_spindle,100-125,0.042739,0.071835,0.029096
llm,worn,smcAC,0-8,0.004151,0.008896,0.004746
llm,worn,smcAC,8-20,0.985060,0.974771,-0.010289
llm,worn,smcAC,20-40,0.003068,0.006008,0.002941
llm,worn,smcAC,40-70,0.002552,0.003683,0.001132
llm,worn,smcAC,70-100,0.002816,0.003415,0.000599
llm,worn,smcAC,100-125,0.002354,0.003225,0.000871
llm,worn,smcDC,0-8,0.927060,0.867116,-0.059945
llm,worn,smcDC,8-20,0.025119,0.049901,0.024782
llm,worn,smcDC,20-40,0.040522,0.076246,0.035724
llm,worn,smcDC,40-70,0.006290,0.004293,-0.001997
llm,worn,smcDC,70-100,0.000814,0.001510,0.000696
llm,worn,smcDC,100-125,0.000195,0.000934,0.000739
llm,worn,vib_table,0-8,0.052770,0.028050,-0.024720
llm,worn,vib_table,8-20,0.214616,0.214569,-0.000047
