method,feature,real_sharp,real_worn,real_severe,method_sharp,method_worn,method_severe,spearman_to_real_order
llm,total_rms,1.8646022,2.7796699,3.3177083,1.8410041,2.7893784,3.3416736,1.000000
llm,high_band_frac,0.011751773,0.007603618,0.0076498361,0.014592477,0.0089667269,0.0087037573,0.500000
llm,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.0041379147,0.0038654813,0.0032567816,1.000000
llm,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.0022241288,0.0026271183,0.0019906452,-0.500000
llm,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.10689661,0.13532915,0.14995381,1.000000
llm,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.028212014,0.039256054,0.029852568,0.500000
llm,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.054177431,0.11288754,0.14079249,1.000000
llm,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.04396712,0.10390739,0.11569273,1.000000
llm,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.0011035378,0.0010561967,0.00075186971,1.000000
llm,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.0017855847,0.0015734211,0.0010109461,1.000000
rule,total_rms,1.8646022,2.7796699,3.3177083,1.8487545,2.7733053,3.3157316,1.000000
rule,high_band_frac,0.011751773,0.007603618,0.0076498361,0.011547928,0.0087895193,0.0075622605,0.500000
rule,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.0040395028,0.0032329327,0.002695895,1.000000
rule,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.0020455278,0.00225506,0.0020167509,-0.500000
rule,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.07534079,0.11185646,0.1410563,1.000000
rule,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.035263196,0.030276949,0.025106466,0.500000
rule,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.048726848,0.11441149,0.12604147,1.000000
rule,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.040880466,0.097739791,0.099990984,1.000000
rule,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.0011120691,0.001056365,0.00075739183,1.000000
rule,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.0017865014,0.0015796154,0.0010204258,1.000000
random_open_loop,total_rms,1.8646022,2.7796699,3.3177083,1.6959985,3.9170729,3.530006,0.500000
random_open_loop,high_band_frac,0.011751773,0.007603618,0.0076498361,0.036797662,0.035598369,0.031300326,0.500000
random_open_loop,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.012068324,0.011103989,0.01093974,1.000000
random_open_loop,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.010976623,0.010331983,0.010664514,1.000000
random_open_loop,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.096847309,0.057426419,0.080377421,-0.500000
random_open_loop,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.035341264,0.033374443,0.026604435,0.500000
random_open_loop,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.055052461,0.062457885,0.10899101,1.000000
random_open_loop,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.04991961,0.062211437,0.096809976,1.000000
random_open_loop,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.0083936045,0.001753304,0.0055710113,0.500000
random_open_loop,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.012255597,0.0088957356,0.0041974235,1.000000
noise_aug,total_rms,1.8646022,2.7796699,3.3177083,1.9227059,2.6780118,3.0522408,1.000000
noise_aug,high_band_frac,0.011751773,0.007603618,0.0076498361,0.016596828,0.0080689208,0.009262716,1.000000
noise_aug,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.0044583233,0.003386527,0.002935488,1.000000
noise_aug,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.021686652,0.025764349,0.026602027,-0.500000
noise_aug,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.10744689,0.075647497,0.11751458,0.500000
noise_aug,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.030718345,0.028491125,0.024473258,0.500000
noise_aug,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.051610623,0.10228498,0.13177882,1.000000
noise_aug,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.060068278,0.090031769,0.13647953,1.000000
noise_aug,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.0010556004,0.00096111288,0.0006276942,1.000000
noise_aug,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.0019071119,0.0016378927,0.00098815887,1.000000
