method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
llm,sharp,ch0_band0_frac,0.0094587127,0.013551515,0.0040928019,0.619835,0.432702,0.513725
llm,sharp,ch0_band1_frac,0.97426122,0.96738297,-0.0068782538,-0.744114,-0.007060,0.434804
llm,sharp,ch0_band2_frac,0.0051635296,0.0073721105,0.0022085809,0.402782,0.427727,0.348529
llm,sharp,ch0_band3_frac,0.0035149843,0.0042260691,0.00071108486,0.764508,0.202301,0.515196
llm,sharp,ch0_band4_frac,0.0034139219,0.0037173105,0.00030338857,0.266692,0.088868,0.542647
llm,sharp,ch0_band5_frac,0.0035732116,0.0039436214,0.00037040982,0.343177,0.103663,0.503431
llm,sharp,ch0_crest,2.0371173,2.0432309,0.0061135683,0.037228,0.003001,0.606373
llm,sharp,ch0_kurtosis,1.6314928,1.6227764,-0.0087164471,-0.144137,-0.005343,0.577451
llm,sharp,ch0_rms,1.094638,1.0094567,-0.085181306,-0.207869,-0.077817,0.086275
llm,sharp,ch0_skewness,-0.015809661,-0.025570088,-0.0097604271,-0.508251,-0.617371,0.607353
llm,sharp,ch0_tooth_rms_cv,0.4208966,0.42784411,0.0069475109,0.264445,0.016506,0.568137
llm,sharp,ch0_tpf_amp_ratio,0.0038090365,0.0041379147,0.00032887826,0.232463,0.086342,0.735784
llm,sharp,ch1_band0_frac,0.79873941,0.82518712,0.026447712,0.122259,0.033112,0.379902
llm,sharp,ch1_band1_frac,0.084574874,0.083385024,-0.0011898496,-0.011450,-0.014069,0.414706
llm,sharp,ch1_band2_frac,0.092882792,0.088799847,-0.0040829448,-0.069766,-0.043958,0.350000
llm,sharp,ch1_band3_frac,0.00022422419,0.0021498152,0.0019255911,10.910479,8.587794,0.931373
llm,sharp,ch1_band4_frac,0.00012508713,0.0010585102,0.00093342307,5.971454,7.462183,0.937255
llm,sharp,ch1_band5_frac,9.4011587e-05,0.00065420554,0.00056019395,4.539774,5.958776,0.150000
llm,sharp,ch1_crest,1.0581414,1.0589282,0.00078675256,0.026056,0.000744,0.721078
llm,sharp,ch1_kurtosis,2.210076,2.1846432,-0.025432776,-0.074120,-0.011508,0.912255
llm,sharp,ch1_rms,4.2847664,4.2769688,-0.0077975518,-0.004669,-0.001820,0.060784
llm,sharp,ch1_skewness,-0.021740965,-0.0021949969,0.019545968,0.114528,0.899039,0.837745
llm,sharp,ch1_tooth_rms_cv,0.02585174,0.027251726,0.0013999852,0.123434,0.054154,0.280392
llm,sharp,ch1_tpf_amp_ratio,0.00088323457,0.0022241288,0.0013408942,2.382193,1.518163,0.549020
llm,sharp,ch2_band0_frac,0.0093511957,0.015225437,0.005874241,0.448897,0.628181,0.872549
llm,sharp,ch2_band1_frac,0.20806202,0.27098538,0.062923362,0.268451,0.302426,0.325000
llm,sharp,ch2_band2_frac,0.20609336,0.27972756,0.073634206,0.256780,0.357286,0.222059
llm,sharp,ch2_band3_frac,0.17112238,0.22587916,0.054756779,0.533145,0.319986,0.322059
llm,sharp,ch2_band4_frac,0.1214044,0.15356077,0.032156364,0.302119,0.264870,0.279412
llm,sharp,ch2_band5_frac,0.011331321,0.014803236,0.003471915,0.423624,0.306400,0.594118
llm,sharp,ch2_crest,1.4802864,1.5291982,0.048911752,0.188690,0.033042,0.762745
llm,sharp,ch2_kurtosis,2.6754214,2.5987745,-0.076646923,-0.077190,-0.028649,0.881373
llm,sharp,ch2_rms,0.94335809,0.93541839,-0.0079396986,-0.023045,-0.008416,0.092157
llm,sharp,ch2_skewness,-0.19896918,-0.14766519,0.05130399,0.087690,0.257849,0.692647
