method,class,corr_fro_delta,energy_frac_l1,real_energy_json,method_energy_json
llm,sharp,0.490034,0.026343,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.05010901004332282,0.8992802115305383,0.0430279145393471,0.004480981047796567,0.001104096939090983,0.0017867078846576677]"
llm,worn,0.361926,0.012274,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.06509886435115037,0.9162709505812534,0.014335033246457497,0.001819049779329692,0.0010579579563173985,0.001575834924399547]"
llm,severe,0.533438,0.014360,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.07123842013620105,0.9169714187655039,0.008926242013182442,0.0011004385674086,0.000753041317458895,0.0010114411691241622]"
rule,sharp,0.426968,0.009612,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.059627454889763634,0.8900506367751525,0.04272037824463977,0.004469306761410547,0.001112069063186769,0.00178650139496337]"
rule,worn,0.237845,0.012435,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.059874768528688956,0.9214401151602163,0.01416383409034903,0.0017987235775162175,0.0010563650073746472,0.0015796153847255703]"
rule,severe,0.266002,0.010574,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.06068700175471574,0.9275377247773589,0.008917877737532574,0.0010991495875941875,0.000757391833441748,0.0010204257698164009]"
random_open_loop,sharp,1.441087,0.560524,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.27289843149558823,0.5740989425427608,0.03079556255789395,0.013308516354453355,0.008393604507316601,0.012255596956664873]"
random_open_loop,worn,1.127447,0.043123,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.06869123791710577,0.8902166413309337,0.007890562082389066,0.002927181973327808,0.0017533039750878671,0.008895735555034466]"
random_open_loop,severe,0.987884,0.095774,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.09736377292803892,0.8705884503688063,0.010774841987022938,0.0011026179092802797,0.0055710112816429345,0.004197423492848655]"
noise_aug,sharp,0.132583,0.009473,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.05834328805862655,0.8919066284766546,0.04033194885940248,0.0046993648589774475,0.0010556003762403278,0.0019071118511865767]"
noise_aug,worn,0.179606,0.008096,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.06057647266577185,0.9078501418205429,0.015730012880676637,0.0020062921991891463,0.0009611128766120807,0.0016378927087262252]"
noise_aug,severe,0.238990,0.010004,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.06043775172896346,0.9116572343874234,0.00976161908817694,0.0012470586113102204,0.0006276941967849552,0.0009881588744726708]"
