method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
llm,sharp,ch0_band0_frac,0.0094587127,0.011946994,0.0024882816,0.376838,0.263068,0.441667
llm,sharp,ch0_band1_frac,0.97426122,0.96917035,-0.0050908743,-0.550749,-0.005225,0.337255
llm,sharp,ch0_band2_frac,0.0051635296,0.0083058191,0.0031422895,0.573064,0.608555,0.328431
llm,sharp,ch0_band3_frac,0.0035149843,0.0044754624,0.00096047811,1.032638,0.273252,0.434314
llm,sharp,ch0_band4_frac,0.0034139219,0.0037357383,0.00032181645,0.282891,0.094266,0.349510
llm,sharp,ch0_band5_frac,0.0035732116,0.0040115799,0.00043836836,0.406139,0.122682,0.464706
llm,sharp,ch0_crest,2.0371173,1.9632074,-0.073909946,-0.450068,-0.036282,0.245588
llm,sharp,ch0_kurtosis,1.6314928,1.5984096,-0.03308328,-0.547073,-0.020278,0.345098
llm,sharp,ch0_rms,1.094638,1.0094567,-0.085181305,-0.207869,-0.077817,0.170588
llm,sharp,ch0_skewness,-0.015809661,-0.0073932063,0.008416455,0.438267,0.532361,0.217647
llm,sharp,ch0_tooth_rms_cv,0.4208966,0.41587955,-0.005017045,-0.190965,-0.011920,0.380392
llm,sharp,ch0_tpf_amp_ratio,0.0038090365,0.0051352965,0.00132626,0.937447,0.348188,0.341176
llm,sharp,ch1_band0_frac,0.79873941,0.83230109,0.03356168,0.155145,0.042018,0.205882
llm,sharp,ch1_band1_frac,0.084574874,0.073618338,-0.010956536,-0.105432,-0.129548,0.282353
llm,sharp,ch1_band2_frac,0.092882792,0.090746492,-0.0021363004,-0.036504,-0.023000,0.182353
llm,sharp,ch1_band3_frac,0.00022422419,0.0018127207,0.0015884965,9.000488,7.084412,0.931373
llm,sharp,ch1_band4_frac,0.00012508713,0.00086642788,0.00074134075,4.742632,5.926595,0.937255
llm,sharp,ch1_band5_frac,9.4011587e-05,0.00055097834,0.00045696675,3.703228,4.860749,0.054902
llm,sharp,ch1_crest,1.0581414,1.0607892,0.0026477421,0.087689,0.002502,0.542157
llm,sharp,ch1_kurtosis,2.210076,2.4135,0.203424,0.592849,0.092044,0.431373
llm,sharp,ch1_rms,4.2847664,4.2770038,-0.0077626292,-0.004648,-0.001812,0.060784
llm,sharp,ch1_skewness,-0.021740965,-0.10427129,-0.082530329,-0.483578,-3.796075,0.282353
llm,sharp,ch1_tooth_rms_cv,0.02585174,0.027575779,0.0017240381,0.152006,0.066689,0.280392
llm,sharp,ch1_tpf_amp_ratio,0.00088323457,0.0020890015,0.001205767,2.142130,1.365172,0.599020
llm,sharp,ch2_band0_frac,0.0093511957,0.015426738,0.0060755423,0.464280,0.649708,0.770588
llm,sharp,ch2_band1_frac,0.20806202,0.25139354,0.043331518,0.184866,0.208263,0.082353
llm,sharp,ch2_band2_frac,0.20609336,0.34157931,0.13548595,0.472471,0.657401,0.015686
llm,sharp,ch2_band3_frac,0.17112238,0.22461752,0.053495143,0.520861,0.312613,0.111275
llm,sharp,ch2_band4_frac,0.1214044,0.15447102,0.033066621,0.310671,0.272368,0.064706
llm,sharp,ch2_band5_frac,0.011331321,0.01219982,0.00086849904,0.105969,0.076646,0.728922
llm,sharp,ch2_crest,1.4802864,1.3578626,-0.12242377,-0.472282,-0.082703,0.286275
llm,sharp,ch2_kurtosis,2.6754214,2.1751869,-0.5002345,-0.503781,-0.186974,0.943137
llm,sharp,ch2_rms,0.94335809,0.93541839,-0.0079396996,-0.023045,-0.008416,0.092157
llm,sharp,ch2_skewness,-0.19896918,-0.52498508,-0.32601591,-0.557234,-1.638525,0.152941
llm,sharp,ch2_tooth_rms_cv,0.16432203,0.16296871,-0.0013533229,-0.011465,-0.008236,0.241176
llm,sharp,ch2_tpf_amp_ratio,0.099447236,0.11904782,0.019600588,0.370884,0.197095,0.135294
llm,sharp,ch3_band0_frac,0.28610928,0.27471454,-0.011394735,-0.055605,-0.039827,0.131373
llm,sharp,ch3_band1_frac,0.16448148,0.16523172,0.00075024018,0.009588,0.004561,0.190196
llm,sharp,ch3_band2_frac,0.16178827,0.22150388,0.059715613,0.936681,0.369097,0.207353
llm,sharp,ch3_band3_frac,0.13910493,0.15633361,0.017228684,0.323786,0.123854,0.217157
llm,sharp,ch3_band4_frac,0.088849227,0.086223152,-0.0026260747,-0.095651,-0.029557,0.342647
llm,sharp,ch3_band5_frac,0.098445368,0.099346344,0.00090097584,0.019560,0.009152,0.332843
llm,sharp,ch3_crest,1.1776664,1.1535122,-0.024154148,-0.454759,-0.020510,0.754902
llm,sharp,ch3_kurtosis,3.8497455,3.3292797,-0.5204658,-0.588120,-0.135195,0.901961
llm,sharp,ch3_rms,0.30210757,0.30187771,-0.00022985448,-0.011982,-0.000761,0.168627
llm,sharp,ch3_skewness,0.66597055,0.47455756,-0.19141299,-0.526782,-0.287420,0.203922
llm,sharp,ch3_tooth_rms_cv,0.035598482,0.031376254,-0.0042222272,-0.619388,-0.118607,0.582353
llm,sharp,ch3_tpf_amp_ratio,0.032344303,0.035945521,0.0036012183,0.277977,0.111340,0.620588
llm,sharp,ch4_band0_frac,0.043292554,0.057606458,0.014313904,0.462252,0.330632,0.317157
llm,sharp,ch4_band1_frac,0.27473686,0.30386457,0.029127706,0.178325,0.106020,0.214706
llm,sharp,ch4_band2_frac,0.24504653,0.28569979,0.040653255,0.325741,0.165900,0.194118
llm,sharp,ch4_band3_frac,0.14874611,0.17140243,0.022656311,0.424926,0.152315,0.294118
llm,sharp,ch4_band4_frac,0.096929198,0.10236162,0.0054324193,0.084849,0.056045,0.326471
llm,sharp,ch4_band5_frac,0.067408092,0.081311686,0.013903595,0.294944,0.206260,0.196078
llm,sharp,ch4_crest,1.4050384,1.5341846,0.1291462,0.708092,0.091916,0.168627
llm,sharp,ch4_kurtosis,3.2329399,4.200779,0.96783917,1.549506,0.299368,0.515686
llm,sharp,ch4_rms,0.15004914,0.14988118,-0.0001679628,-0.004512,-0.001119,0.062745
llm,sharp,ch4_skewness,0.44215962,0.52519549,0.083035871,0.244492,0.187796,0.243137
llm,sharp,ch4_tooth_rms_cv,0.084090059,0.087044684,0.0029546252,0.072631,0.035136,0.378431
llm,sharp,ch4_tpf_amp_ratio,0.060780213,0.047138243,-0.01364197,-0.340998,-0.224448,0.311765
llm,sharp,ch5_band0_frac,0.03111954,0.036155082,0.005035541,0.185829,0.161813,0.341667
llm,sharp,ch5_band1_frac,0.20696726,0.22724391,0.020276656,0.111006,0.097970,0.133333
llm,sharp,ch5_band2_frac,0.3932928,0.44453742,0.051244611,0.336424,0.130296,0.186275
llm,sharp,ch5_band3_frac,0.13135991,0.14514745,0.013787541,0.292440,0.104960,0.304412
llm,sharp,ch5_band4_frac,0.079568349,0.073850344,-0.0057180043,-0.128052,-0.071863,0.354902
llm,sharp,ch5_band5_frac,0.050727751,0.067387138,0.016659387,0.329661,0.328408,0.105392
llm,sharp,ch5_crest,1.4357989,1.3518245,-0.083974345,-0.513748,-0.058486,0.168627
llm,sharp,ch5_kurtosis,2.9488381,2.5983571,-0.35048095,-0.744678,-0.118854,0.268627
llm,sharp,ch5_rms,0.19132361,0.19064573,-0.00067788056,-0.018500,-0.003543,0.078431
llm,sharp,ch5_skewness,0.38125467,0.08067656,-0.30057811,-1.034791,-0.788392,0.060784
llm,sharp,ch5_tooth_rms_cv,0.10203803,0.097709445,-0.0043285805,-0.085773,-0.042421,0.212255
llm,sharp,ch5_tpf_amp_ratio,0.055496024,0.034372964,-0.02112306,-0.697002,-0.380623,0.151961
llm,sharp,energy_frac_ch0,0.058475151,0.05010901,-0.0083661409,-4.701874,-0.143072,0.084314
llm,sharp,energy_frac_ch1,0.8836246,0.89928021,0.015655616,0.461484,0.017717,0.101961
llm,sharp,energy_frac_ch2,0.04113655,0.043027915,0.0018913643,0.055261,0.045978,0.037255
llm,sharp,energy_frac_ch3,0.0048482995,0.004480981,-0.00036731843,-0.135715,-0.075762,0.143137
llm,sharp,energy_frac_ch4,0.0010649405,0.0011040969,3.9156468e-05,0.088191,0.036769,0.180392
llm,sharp,energy_frac_ch5,0.0018104221,0.0017867079,-2.371424e-05,-0.021002,-0.013099,0.086275
llm,sharp,high_band_frac,0.011751773,0.014420358,0.0026685843,0.472658,0.227079,0.423529
llm,sharp,total_rms,1.8646022,1.8412658,-0.02333637,-0.033910,-0.012515,0.062745
llm,worn,ch0_band0_frac,0.0046332941,0.0098882404,0.0052549464,1.855089,1.134171,0.121107
llm,worn,ch0_band1_frac,0.98208213,0.97346428,-0.0086178501,-1.404751,-0.008775,0.309516
llm,worn,ch0_band2_frac,0.002728005,0.0074065604,0.0046785554,3.078535,1.715010,0.184948
llm,worn,ch0_band3_frac,0.0026568001,0.003370545,0.00071374485,0.599455,0.268648,0.474481
llm,worn,ch0_band4_frac,0.0030907785,0.0033383814,0.00024760286,0.189986,0.080110,0.542388
llm,worn,ch0_band5_frac,0.0031478864,0.0031357305,-1.2155924e-05,-0.008941,-0.003862,0.286073
llm,worn,ch0_crest,1.8972932,1.8009157,-0.096377503,-0.551398,-0.050797,0.327768
llm,worn,ch0_kurtosis,1.5981081,1.5983608,0.00025270907,0.005047,0.000158,0.421194
llm,worn,ch0_rms,1.6641238,1.7510974,0.086973562,0.101110,0.052264,0.091696
llm,worn,ch0_skewness,-0.011776697,-0.002009698,0.0097669987,0.492781,0.829350,0.208391
llm,worn,ch0_tooth_rms_cv,0.39760559,0.3977849,0.0001793106,0.006171,0.000451,0.206661
llm,worn,ch0_tpf_amp_ratio,0.0030529902,0.0034051915,0.00035220126,0.249145,0.115363,0.446367
llm,worn,ch1_band0_frac,0.65669002,0.83640444,0.17971442,0.279558,0.273667,0.167820
llm,worn,ch1_band1_frac,0.022030967,0.063894942,0.041863975,0.503360,1.900233,0.138408
llm,worn,ch1_band2_frac,0.083980745,0.093823648,0.0098429027,0.062895,0.117204,0.179758
llm,worn,ch1_band3_frac,0.00017600102,0.0016798308,0.0015038298,5.603869,8.544438,0.968858
llm,worn,ch1_band4_frac,6.3335488e-05,0.00077947705,0.00071614156,5.114898,11.307113,0.911765
llm,worn,ch1_band5_frac,4.343938e-05,0.00054776034,0.00050432096,5.578615,11.609764,0.053633
llm,worn,ch1_crest,1.0387061,1.0413052,0.0025990992,0.061710,0.002502,0.243945
llm,worn,ch1_kurtosis,2.371822,2.5562188,0.18439678,0.249222,0.077745,0.970588
llm,worn,ch1_rms,6.5480722,6.5375693,-0.01050288,-0.003115,-0.001604,0.036332
llm,worn,ch1_skewness,-0.031065346,-0.026011481,0.0050538654,0.028440,0.162685,0.524048
llm,worn,ch1_tooth_rms_cv,0.017993949,0.018509163,0.00051521427,0.021973,0.028633,0.245675
llm,worn,ch1_tpf_amp_ratio,0.00058047516,0.0027889004,0.0022084253,2.087274,3.804513,0.273183
llm,worn,ch2_band0_frac,0.016298047,0.022320448,0.0060224006,0.314970,0.369517,0.774740
llm,worn,ch2_band1_frac,0.16039355,0.20545578,0.045062238,0.276160,0.280948,0.095156
llm,worn,ch2_band2_frac,0.29373118,0.38350853,0.089777353,0.438908,0.305645,0.045761
llm,worn,ch2_band3_frac,0.10298489,0.14278742,0.03980253,0.562643,0.386489,0.077855
llm,worn,ch2_band4_frac,0.23902639,0.23066482,-0.0083615702,-0.034110,-0.034982,0.048443
llm,worn,ch2_band5_frac,0.013238743,0.01650879,0.0032700467,0.441319,0.247006,0.542215
llm,worn,ch2_crest,1.374628,1.4003845,0.025756504,0.119938,0.018737,0.589965
llm,worn,ch2_kurtosis,2.6675527,2.3097616,-0.35779108,-0.805276,-0.134127,0.269896
llm,worn,ch2_rms,0.82795875,0.81804994,-0.0099088077,-0.027133,-0.011968,0.038062
llm,worn,ch2_skewness,0.018945702,-0.061206998,-0.080152699,-0.189567,-4.230653,0.250865
llm,worn,ch2_tooth_rms_cv,0.11990188,0.12829942,0.0083975374,0.118459,0.070037,0.330450
llm,worn,ch2_tpf_amp_ratio,0.10006333,0.12455284,0.024489517,0.303113,0.244740,0.155709
llm,worn,ch3_band0_frac,0.33678739,0.32792057,-0.0088668228,-0.039609,-0.026328,0.205882
llm,worn,ch3_band1_frac,0.14046564,0.16830995,0.02784431,0.461705,0.198229,0.357785
llm,worn,ch3_band2_frac,0.1506968,0.17144756,0.020750759,0.258165,0.137699,0.209343
llm,worn,ch3_band3_frac,0.10901849,0.12365261,0.014634118,0.365017,0.134235,0.492907
llm,worn,ch3_band4_frac,0.093754223,0.11287572,0.019121498,0.275840,0.203953,0.302768
llm,worn,ch3_band5_frac,0.085251241,0.097203957,0.011952716,0.341191,0.140206,0.352941
llm,worn,ch3_crest,1.1803263,1.2358298,0.055503529,1.038075,0.047024,0.243945
llm,worn,ch3_kurtosis,3.8505793,5.5463559,1.6957766,1.181027,0.440395,0.885813
llm,worn,ch3_rms,0.29155255,0.29140886,-0.0001436877,-0.003335,-0.000493,0.053633
llm,worn,ch3_skewness,0.6679819,0.95023382,0.28225192,0.483511,0.422544,0.204152
llm,worn,ch3_tooth_rms_cv,0.035931304,0.038272504,0.0023412006,0.222933,0.065158,0.564014
llm,worn,ch3_tpf_amp_ratio,0.033182067,0.031173099,-0.0020089677,-0.088431,-0.060544,0.479671
llm,worn,ch4_band0_frac,0.082662115,0.10125561,0.018593493,0.303591,0.224934,0.307958
llm,worn,ch4_band1_frac,0.18353008,0.22516655,0.041636473,0.357219,0.226865,0.194550
llm,worn,ch4_band2_frac,0.19056329,0.24849577,0.05793248,0.587633,0.304007,0.176471
llm,worn,ch4_band3_frac,0.13366667,0.13537552,0.001708849,0.030592,0.012784,0.165917
llm,worn,ch4_band4_frac,0.23987085,0.24530221,0.0054313634,0.042890,0.022643,0.134948
llm,worn,ch4_band5_frac,0.043851473,0.048896831,0.0050453578,0.268812,0.115056,0.459256
llm,worn,ch4_crest,1.4638833,1.6252872,0.16140392,1.252950,0.110257,0.069204
llm,worn,ch4_kurtosis,3.1549548,3.898053,0.74309814,1.501552,0.235534,0.259516
llm,worn,ch4_rms,0.22213867,0.22223613,9.7458586e-05,0.001461,0.000439,0.070934
llm,worn,ch4_skewness,0.45879358,0.78115862,0.32236503,1.371479,0.702636,0.147059
llm,worn,ch4_tooth_rms_cv,0.092819776,0.11674666,0.023926882,0.906195,0.257778,0.168599
llm,worn,ch4_tpf_amp_ratio,0.09969216,0.10474981,0.0050576522,0.077627,0.050733,0.157439
llm,worn,ch5_band0_frac,0.10096725,0.13193257,0.030965312,0.303911,0.306687,0.293945
llm,worn,ch5_band1_frac,0.15848011,0.21850357,0.060023458,0.539244,0.378744,0.198962
llm,worn,ch5_band2_frac,0.20902555,0.24419759,0.03517204,0.230185,0.168267,0.154758
llm,worn,ch5_band3_frac,0.12866466,0.14547573,0.016811065,0.313224,0.130658,0.375087
llm,worn,ch5_band4_frac,0.19493272,0.21371966,0.018786937,0.129468,0.096377,0.223183
llm,worn,ch5_band5_frac,0.038745999,0.047067835,0.0083218359,0.331411,0.214779,0.184170
llm,worn,ch5_crest,1.4391154,1.5053852,0.066269821,0.437805,0.046049,0.180709
llm,worn,ch5_kurtosis,3.0646275,3.4287064,0.36407887,0.763532,0.118800,0.181661
llm,worn,ch5_rms,0.27141423,0.27122881,-0.00018541147,-0.002296,-0.000683,0.036332
llm,worn,ch5_skewness,0.46580583,0.61106141,0.14525558,0.589326,0.311837,0.238754
llm,worn,ch5_tooth_rms_cv,0.096988144,0.11325822,0.016270078,0.498641,0.167753,0.238581
llm,worn,ch5_tpf_amp_ratio,0.083804966,0.091681339,0.0078763721,0.141685,0.093985,0.307785
llm,worn,energy_frac_ch0,0.060060728,0.065098864,0.0050381366,0.629051,0.083884,0.089965
llm,worn,energy_frac_ch1,0.91149112,0.91627095,0.0047798325,0.213107,0.005244,0.152249
llm,worn,energy_frac_ch2,0.01203369,0.014335033,0.0023013429,0.207004,0.191242,0.140138
llm,worn,energy_frac_ch3,0.0018328183,0.0018190498,-1.3768503e-05,-0.009902,-0.007512,0.231834
llm,worn,energy_frac_ch4,0.0010050075,0.001057958,5.2950501e-05,0.142449,0.052687,0.344291
llm,worn,energy_frac_ch5,0.0016637536,0.0015758349,-8.7918655e-05,-0.084203,-0.052844,0.157439
llm,worn,high_band_frac,0.007603618,0.0091675755,0.0015639576,0.444935,0.205686,0.842820
llm,worn,total_rms,2.7796699,2.7893617,0.0096918268,0.006901,0.003487,0.029412
llm,severe,ch0_band0_frac,0.0038062973,0.0063385347,0.0025322374,1.313597,0.665276,0.090909
llm,severe,ch0_band1_frac,0.98379391,0.98050429,-0.0032896161,-0.547904,-0.003344,0.205080
llm,severe,ch0_band2_frac,0.0021466928,0.0044122444,0.0022655516,1.339403,1.055368,0.314037
llm,severe,ch0_band3_frac,0.0025995452,0.0029260854,0.00032654023,0.448320,0.125614,0.331551
llm,severe,ch0_band4_frac,0.0031918333,0.0039399833,0.00074814996,0.679197,0.234395,0.286230
llm,severe,ch0_band5_frac,0.0027958557,0.0019827633,-0.00081309236,-0.755035,-0.290821,0.275401
llm,severe,ch0_crest,1.8477867,1.8655199,0.017733195,0.121678,0.009597,0.385294
llm,severe,ch0_kurtosis,1.5824057,1.5774691,-0.0049365886,-0.122811,-0.003120,0.443850
llm,severe,ch0_rms,1.9865755,2.1847381,0.19816264,0.251101,0.099751,0.045455
llm,severe,ch0_skewness,-0.0095735139,-0.0065503775,0.0030231364,0.141296,0.315781,0.352941
llm,severe,ch0_tooth_rms_cv,0.38562701,0.38039258,-0.0052344269,-0.287610,-0.013574,0.414840
llm,severe,ch0_tpf_amp_ratio,0.0025885676,0.0032702121,0.00068164456,0.655671,0.263329,0.474465
