method,class,corr_fro_delta,energy_frac_l1,real_energy_json,method_energy_json
llm,sharp,0.697987,0.026343,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.05010900987255186,0.8992802115188865,0.043027914472193035,0.00448098106080746,0.0011040969389279095,0.001786707880201903]"
llm,worn,0.492755,0.012113,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.06568030078307019,0.9155281130457436,0.014335033217301944,0.0018190497744107472,0.001057957950638752,0.0015758349177097852]"
llm,severe,0.548363,0.014360,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.07123842035311094,0.9169714189832119,0.008926241991093353,0.0011004018288620196,0.0007530413167595737,0.0010114411647130775]"
rule,sharp,0.474385,0.009921,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.05840908924972196,0.8916751518115237,0.042420926628483235,0.004397977751982102,0.0011149279632634529,0.0017908627938041642]"
rule,worn,0.328822,0.012130,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.06026646149814471,0.9211450868447726,0.014117247547146224,0.001788624311808862,0.0010593831537305583,0.0015758716990304832]"
rule,severe,0.277890,0.010742,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.06096485550671164,0.9273982966018113,0.008928444924952986,0.001110584775776298,0.0007587424806861914,0.0010117552961794256]"
random_open_loop,sharp,1.368738,0.572331,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.2728984312513408,0.5740989420094451,0.054386624374092044,0.013308516349335874,0.008393604470993896,0.021153301225473427]"
random_open_loop,worn,1.102260,0.027792,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.06692945574888916,0.9033113219760184,0.00927633792976333,0.004204018986248621,0.0013878367793631247,0.008895735591948135]"
random_open_loop,severe,0.965299,0.086489,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.09736377261073237,0.8764380908519741,0.006746597638694863,0.0011026179092802797,0.005520692489137612,0.0004204752230348521]"
noise_aug,sharp,0.275311,0.039449,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.05911905274534024,0.9042325603271208,0.02595077928206186,0.006405934031281268,0.001406088015170379,0.002923377747306031]"
noise_aug,worn,0.302352,0.006355,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.05907223957929521,0.9113205144312846,0.01539422781576967,0.0032746573394951345,0.0010073468032598498,0.002054501296911167]"
noise_aug,severe,0.119933,0.008250,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.06558312837982522,0.918753820183378,0.005950231645400955,0.0012635264181353949,0.0008957867862324457,0.001004129326828455]"
