method,n_real,rows,mean_acc,std_acc,mean_macro_f1,std_macro_f1
llm,2,10,0.73194,0.064123,0.58534,0.083073
noise_aug,2,10,0.52186,0.129318,0.45745,0.106939
random_open_loop,2,10,0.46808,0.048362,0.4048,0.064238
real_only,2,10,0.48966,0.167514,0.39645,0.12992
rule,2,10,0.73698,0.063992,0.58903,0.084805
llm,5,10,0.71261,0.056785,0.57491,0.076594
noise_aug,5,10,0.5308,0.059474,0.47386,0.03474
random_open_loop,5,10,0.46332,0.038146,0.39898,0.055161
real_only,5,10,0.47759,0.076885,0.42997,0.053535
rule,5,10,0.70701,0.055196,0.55931,0.069462
llm,10,10,0.72129,0.067187,0.60658,0.07685
noise_aug,10,10,0.62354,0.117157,0.5561,0.092253
random_open_loop,10,10,0.48208,0.063528,0.43354,0.059572
real_only,10,10,0.52633,0.110711,0.46906,0.072245
rule,10,10,0.72353,0.060579,0.6095,0.076645
