unit,class,n_windows,inner_split
case01_run06,degradation,17,train
case01_run07,degradation,17,train
case01_run08,degradation,17,train
case01_run10,degradation,17,train
case01_run13,degradation,17,train
case01_run14,degradation,17,train
case01_run15,degradation,17,train
case01_run17,degradation,17,train
case03_run07,degradation,17,train
case03_run08,degradation,17,train
case03_run09,degradation,17,train
case03_run10,degradation,17,train
case03_run11,degradation,17,train
case03_run12,degradation,17,train
case03_run14,degradation,17,train
case03_run15,degradation,17,train
case03_run16,degradation,17,train
case05_run03,degradation,17,train
case05_run04,degradation,17,train
case05_run05,degradation,17,train
case07_run05,degradation,17,train
case07_run06,degradation,17,train
case07_run07,degradation,17,train
case09_run07,degradation,17,train
case09_run08,degradation,17,train
case10_run05,degradation,17,train
case10_run06,degradation,17,train
case10_run07,degradation,17,train
case10_run09,degradation,17,train
case11_run11,degradation,17,train
case11_run12,degradation,17,train
case11_run15,degradation,17,train
case11_run16,degradation,17,train
case11_run18,degradation,17,train
case11_run20,degradation,17,train
case11_run21,degradation,17,train
case12_run07,degradation,17,train
case12_run11,degradation,17,train
case12_run12,degradation,17,train
case12_run13,degradation,17,train
case12_run14,degradation,17,train
case12_run15,degradation,17,train
case13_run06,degradation,17,train
case13_run07,degradation,17,train
case13_run08,degradation,17,train
case13_run09,degradation,17,train
case13_run10,degradation,17,train
case16_run03,degradation,17,train
case16_run05,degradation,17,train
case16_run06,degradation,17,train
case09_run09,failure,17,train
case10_run10,failure,17,train
case13_run11,failure,17,train
case13_run12,failure,17,train
case13_run13,failure,17,train
case13_run14,failure,17,train
case13_run15,failure,17,train
case01_run01,healthy,17,train
case01_run04,healthy,17,train
case03_run01,healthy,17,train
case03_run02,healthy,17,train
case03_run03,healthy,17,train
case03_run05,healthy,17,train
case05_run01,healthy,17,train
case05_run02,healthy,17,train
case06_run01,healthy,17,train
case07_run01,healthy,17,train
case07_run02,healthy,17,train
case07_run03,healthy,17,train
case09_run02,healthy,17,train
case09_run03,healthy,17,train
case10_run01,healthy,17,train
case10_run02,healthy,17,train
case10_run03,healthy,17,train
case10_run04,healthy,17,train
case11_run01,healthy,17,train
case11_run02,healthy,17,train
case11_run03,healthy,17,train
case11_run04,healthy,17,train
case11_run05,healthy,17,train
case11_run08,healthy,17,train
case11_run09,healthy,17,train
case11_run10,healthy,17,train
case12_run02,healthy,17,train
case12_run03,healthy,17,train
case12_run05,healthy,17,train
case12_run06,healthy,17,train
case01_run09,degradation,17,val
case01_run11,degradation,17,val
case01_run12,degradation,17,val
case07_run04,degradation,17,val
case09_run05,degradation,17,val
case09_run06,degradation,17,val
case10_run08,degradation,17,val
case11_run13,degradation,17,val
case11_run19,degradation,17,val
case11_run22,degradation,17,val
case12_run08,degradation,17,val
case12_run09,degradation,17,val
case05_run06,failure,17,val
case11_run23,failure,17,val
case03_run06,healthy,17,val
case09_run01,healthy,17,val
case09_run04,healthy,17,val
case11_run06,healthy,17,val
case13_run03,healthy,17,val
case13_run04,healthy,17,val
case13_run05,healthy,17,val
