dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.7787,0.6556,"{""healthy"":0.7734375,""degradation"":0.8549618320610687,""failure"":0.3384615384615385}","[[99,1,19],[35,168,1],[3,20,11]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.7899,0.6629,"{""healthy"":0.7903225806451613,""degradation"":0.865,""failure"":0.3333333333333333}","[[98,3,18],[28,173,3],[3,20,11]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.6835,0.4792,"{""healthy"":0.7302631578947368,""degradation"":0.7074468085106383,""failure"":0.0}","[[111,8,0],[71,133,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.6583,0.4615,"{""healthy"":0.7035830618892508,""degradation"":0.6809651474530831,""failure"":0.0}","[[108,11,0],[77,127,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.8151,0.5723,"{""healthy"":0.8708487084870848,""degradation"":0.8459657701711492,""failure"":0.0}","[[118,1,0],[31,173,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",60,0.7367,0.5112,"{""healthy"":0.7428571428571429,""degradation"":0.7908045977011494,""failure"":0.0}","[[91,28,0],[32,172,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",60,0.7339,0.6238,"{""healthy"":0.7224334600760456,""degradation"":0.8201058201058201,""failure"":0.3287671232876712}","[[95,0,24],[46,155,3],[3,19,12]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",60,0.8039,0.7129,"{""healthy"":0.8239700374531835,""degradation"":0.8258706467661692,""failure"":0.4888888888888889}","[[110,9,0],[38,166,0],[0,23,11]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",60,0.6835,0.6108,"{""healthy"":0.7152317880794702,""degradation"":0.7113702623906706,""failure"":0.4057971014492754}","[[108,0,11],[72,122,10],[3,17,14]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",60,0.6359,0.5632,"{""healthy"":0.7331189710610932,""degradation"":0.6097560975609756,""failure"":0.3466666666666667}","[[114,5,0],[76,100,28],[2,19,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.8123,0.6965,"{""healthy"":0.8345864661654135,""degradation"":0.8549618320610687,""failure"":0.4}","[[111,1,7],[33,168,3],[3,20,11]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.7199,0.5078,"{""healthy"":0.7552447552447552,""degradation"":0.7680412371134021,""failure"":0.0}","[[108,5,6],[55,149,0],[4,30,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.6919,0.5891,"{""healthy"":0.6993006993006993,""degradation"":0.7506849315068493,""failure"":0.31746031746031744}","[[100,3,16],[64,137,3],[3,21,10]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.7059,0.4952,"{""healthy"":0.7628205128205128,""degradation"":0.7228260869565217,""failure"":0.0}","[[119,0,0],[71,133,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.7059,0.5212,"{""healthy"":0.7867647058823529,""degradation"":0.7384615384615385,""failure"":0.038461538461538464}","[[107,12,0],[43,144,17],[3,30,1]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.7647,0.6906,"{""healthy"":0.7883211678832117,""degradation"":0.7835051546391752,""failure"":0.5}","[[108,11,0],[47,152,5],[0,21,13]]","[""healthy"",""degradation"",""failure""]"
