dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.6555,0.5384,"{""healthy"":0.6230769230769231,""degradation"":0.7804878048780488,""failure"":0.21176470588235294}","[[81,0,38],[56,144,4],[4,21,9]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.2969,0.3214,"{""healthy"":0.5082872928176796,""degradation"":0.2059800664451827,""failure"":0.25}","[[46,61,12],[16,31,157],[0,5,29]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.5154,0.3973,"{""healthy"":0.4397905759162304,""degradation"":0.6586538461538461,""failure"":0.09345794392523364}","[[42,46,31],[30,137,37],[0,29,5]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.5658,0.5437,"{""healthy"":0.5741324921135647,""degradation"":0.5681818181818182,""failure"":0.4888888888888889}","[[91,28,0],[104,100,0],[3,20,11]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.6667,0.5890,"{""healthy"":0.7785714285714286,""degradation"":0.6590257879656161,""failure"":0.32941176470588235}","[[109,10,0],[52,115,37],[0,20,14]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,2,5,"{""0"":2,""1"":2,""2"":2}",60,0.4034,0.3857,"{""healthy"":0.5638766519823789,""degradation"":0.3798219584569733,""failure"":0.21333333333333335}","[[64,55,0],[40,64,100],[4,14,16]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,2,6,"{""0"":2,""1"":2,""2"":2}",60,0.7059,0.6051,"{""healthy"":0.6966292134831461,""degradation"":0.7978142076502732,""failure"":0.32098765432098764}","[[93,0,26],[50,146,8],[5,16,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,2,7,"{""0"":2,""1"":2,""2"":2}",60,0.4594,0.3208,"{""healthy"":0.4187725631768953,""degradation"":0.5435897435897435,""failure"":0.0}","[[58,61,0],[85,106,13],[15,19,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,2,8,"{""0"":2,""1"":2,""2"":2}",60,0.5126,0.4753,"{""healthy"":0.7440273037542662,""degradation"":0.37410071942446044,""failure"":0.3076923076923077}","[[109,10,0],[65,52,87],[0,12,22]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,2,9,"{""0"":2,""1"":2,""2"":2}",60,0.4370,0.3978,"{""healthy"":0.7166123778501629,""degradation"":0.16101694915254236,""failure"":0.3157894736842105}","[[110,9,0],[75,19,110],[3,4,27]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.5686,0.5181,"{""healthy"":0.8,""degradation"":0.546031746031746,""failure"":0.20833333333333334}","[[102,6,11],[34,86,84],[0,19,15]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.4930,0.4298,"{""healthy"":0.7254237288135593,""degradation"":0.4169611307420495,""failure"":0.14705882352941177}","[[107,0,12],[65,59,80],[4,20,10]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.6246,0.4823,"{""healthy"":0.6719367588932806,""degradation"":0.6852791878172588,""failure"":0.08955223880597014}","[[85,27,7],[46,135,23],[3,28,3]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.5434,0.4592,"{""healthy"":0.6761363636363636,""degradation"":0.4583333333333333,""failure"":0.24324324324324326}","[[119,0,0],[107,66,31],[7,18,9]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.4818,0.4439,"{""healthy"":0.6218487394957983,""degradation"":0.48255813953488375,""failure"":0.22727272727272727}","[[74,42,3],[41,83,80],[4,15,15]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.5378,0.4957,"{""healthy"":0.8067796610169492,""degradation"":0.3726235741444867,""failure"":0.3076923076923077}","[[119,0,0],[57,49,98],[0,10,24]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,noise_aug,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.5518,0.5076,"{""healthy"":0.6984126984126984,""degradation"":0.5889967637540453,""failure"":0.23529411764705882}","[[88,0,31],[43,91,70],[2,14,18]]","[""healthy"",""degradation"",""failure""]"
