dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.4650,0.4373,"{""healthy"":0.6540284360189573,""degradation"":0.4783861671469741,""failure"":0.1794871794871795}","[[69,40,10],[23,83,98],[0,20,14]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.4902,0.4299,"{""healthy"":0.5193370165745856,""degradation"":0.5778894472361809,""failure"":0.1925925925925926}","[[47,61,11],[12,115,77],[3,18,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.4398,0.2728,"{""healthy"":0.016666666666666666,""degradation"":0.5942622950819673,""failure"":0.20754716981132076}","[[1,116,2],[0,145,59],[0,23,11]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.4146,0.3909,"{""healthy"":0.603448275862069,""degradation"":0.41533546325878595,""failure"":0.15384615384615385}","[[70,26,23],[40,65,99],[3,18,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.4062,0.3760,"{""healthy"":0.7153284671532847,""degradation"":0.24427480916030533,""failure"":0.16853932584269662}","[[98,10,11],[54,32,118],[3,16,15]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",60,0.5434,0.3407,"{""healthy"":0.36097560975609755,""degradation"":0.6610526315789473,""failure"":0.0}","[[37,82,0],[47,157,0],[2,32,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",60,0.5126,0.4562,"{""healthy"":0.5901639344262295,""degradation"":0.5873417721518988,""failure"":0.19117647058823528}","[[54,54,11],[10,116,78],[0,21,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",60,0.4650,0.4131,"{""healthy"":0.5081081081081081,""degradation"":0.5326633165829145,""failure"":0.1984732824427481}","[[47,67,5],[19,106,79],[0,21,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",60,0.5238,0.5030,"{""healthy"":0.8181818181818182,""degradation"":0.4407894736842105,""failure"":0.25}","[[99,20,0],[24,67,113],[0,13,21]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",60,0.4202,0.4281,"{""healthy"":0.6635071090047393,""degradation"":0.34527687296416937,""failure"":0.2755102040816326}","[[70,43,6],[22,53,129],[0,7,27]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.4762,0.4201,"{""healthy"":0.5077720207253886,""degradation"":0.5524296675191815,""failure"":0.2}","[[49,59,11],[24,108,72],[1,20,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.4846,0.4282,"{""healthy"":0.5263157894736842,""degradation"":0.5626598465473146,""failure"":0.19548872180451127}","[[50,58,11],[19,110,75],[2,19,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.4678,0.4151,"{""healthy"":0.5106382978723404,""degradation"":0.5463917525773195,""failure"":0.18840579710144928}","[[48,59,12],[19,106,79],[2,19,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.5042,0.4496,"{""healthy"":0.5825242718446602,""degradation"":0.5661375661375662,""failure"":0.2}","[[60,48,11],[25,107,72],[2,19,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.5210,0.4687,"{""healthy"":0.6746987951807228,""degradation"":0.5345345345345346,""failure"":0.19696969696969696}","[[84,24,11],[41,89,74],[5,16,13]]","[""healthy"",""degradation"",""failure""]"
