dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.7759,0.6514,"{""healthy"":0.7686274509803922,""degradation"":0.8571428571428571,""failure"":0.3283582089552239}","[[98,0,21],[35,168,1],[3,20,11]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.7703,0.6435,"{""healthy"":0.7642276422764228,""degradation"":0.8564231738035264,""failure"":0.30985915492957744}","[[94,3,22],[30,170,4],[3,20,11]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.6611,0.4633,"{""healthy"":0.7019867549668874,""degradation"":0.6878306878306878,""failure"":0.0}","[[106,13,0],[74,130,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.6835,0.4788,"{""healthy"":0.722972972972973,""degradation"":0.7135416666666666,""failure"":0.0}","[[107,12,0],[67,137,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.8179,0.5743,"{""healthy"":0.8740740740740741,""degradation"":0.848780487804878,""failure"":0.0}","[[118,1,0],[30,174,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",60,0.7395,0.5135,"{""healthy"":0.7479674796747967,""degradation"":0.7926267281105991,""failure"":0.0}","[[92,27,0],[32,172,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",60,0.7423,0.6302,"{""healthy"":0.7279693486590039,""degradation"":0.8293963254593176,""failure"":0.3333333333333333}","[[95,0,24],[44,158,2],[3,19,12]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",60,0.8375,0.7372,"{""healthy"":0.8627450980392157,""degradation"":0.8599033816425121,""failure"":0.4888888888888889}","[[110,9,0],[26,178,0],[0,23,11]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",60,0.6807,0.6074,"{""healthy"":0.7109634551495017,""degradation"":0.7113702623906706,""failure"":0.4}","[[107,0,12],[72,122,10],[3,17,14]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",60,0.6611,0.5907,"{""healthy"":0.7358490566037735,""degradation"":0.6424242424242425,""failure"":0.3939393939393939}","[[117,2,0],[79,106,19],[3,18,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.8179,0.7040,"{""healthy"":0.8389513108614233,""degradation"":0.8578680203045685,""failure"":0.41509433962264153}","[[112,1,6],[33,169,2],[3,20,11]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.7227,0.5076,"{""healthy"":0.7561837455830389,""degradation"":0.766497461928934,""failure"":0.0}","[[107,9,3],[53,151,0],[4,30,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.6975,0.5092,"{""healthy"":0.7386759581881533,""degradation"":0.7454068241469817,""failure"":0.043478260869565216}","[[106,5,8],[59,142,3],[3,30,1]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.7031,0.4932,"{""healthy"":0.7603833865814696,""degradation"":0.7193460490463215,""failure"":0.0}","[[119,0,0],[72,132,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.7031,0.5192,"{""healthy"":0.7838827838827839,""degradation"":0.7352185089974294,""failure"":0.038461538461538464}","[[107,12,0],[44,143,17],[3,30,1]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.6835,0.5986,"{""healthy"":0.7838827838827839,""degradation"":0.6869806094182825,""failure"":0.325}","[[107,12,0],[47,124,33],[0,21,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.7059,0.6144,"{""healthy"":0.8604651162790697,""degradation"":0.7091412742382271,""failure"":0.2736842105263158}","[[111,8,0],[28,128,48],[0,21,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.5910,0.5176,"{""healthy"":0.6863468634686347,""degradation"":0.6402439024390244,""failure"":0.22608695652173913}","[[93,3,23],[54,105,45],[5,16,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.7339,0.5149,"{""healthy"":0.7880794701986755,""degradation"":0.7566137566137566,""failure"":0.0}","[[119,0,0],[61,143,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.7115,0.6144,"{""healthy"":0.8248175182481752,""degradation"":0.7146814404432132,""failure"":0.3037974683544304}","[[113,6,0],[42,129,33],[0,22,12]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.7367,0.6426,"{""healthy"":0.8805970149253731,""degradation"":0.7359550561797753,""failure"":0.3111111111111111}","[[118,1,0],[31,131,42],[0,20,14]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.7451,0.6647,"{""healthy"":0.714859437751004,""degradation"":0.7904761904761904,""failure"":0.4888888888888889}","[[89,30,0],[38,166,0],[3,20,11]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.6975,0.5980,"{""healthy"":0.7867647058823529,""degradation"":0.7344632768361582,""failure"":0.2727272727272727}","[[107,1,11],[43,130,31],[3,19,12]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.7703,0.6990,"{""healthy"":0.7887323943661971,""degradation"":0.7864583333333334,""failure"":0.5217391304347826}","[[112,7,0],[53,151,0],[0,22,12]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.8151,0.7137,"{""healthy"":0.888030888030888,""degradation"":0.8350515463917526,""failure"":0.417910447761194}","[[115,2,2],[25,162,17],[0,20,14]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,10,5,"{""0"":10,""1"":10,""2"":10}",60,0.7367,0.6354,"{""healthy"":0.7955390334572491,""degradation"":0.7814207650273224,""failure"":0.3291139240506329}","[[107,1,11],[40,143,21],[3,18,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,10,6,"{""0"":10,""1"":10,""2"":10}",60,0.7451,0.5926,"{""healthy"":0.8571428571428571,""degradation"":0.7736842105263158,""failure"":0.14705882352941177}","[[114,0,5],[33,147,24],[0,29,5]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,10,7,"{""0"":10,""1"":10,""2"":10}",60,0.6190,0.5516,"{""healthy"":0.8085106382978723,""degradation"":0.6348314606741573,""failure"":0.21138211382113822}","[[95,18,6],[21,113,70],[0,21,13]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,10,8,"{""0"":10,""1"":10,""2"":10}",60,0.7423,0.5195,"{""healthy"":0.7781818181818182,""degradation"":0.7802469135802469,""failure"":0.0}","[[107,12,0],[46,158,0],[3,31,0]]","[""healthy"",""degradation"",""failure""]"
Berkeley_milling_v2,inner_val_literature_0p2_0p7,custom_pool,10,9,"{""0"":10,""1"":10,""2"":10}",60,0.6275,0.4779,"{""healthy"":0.5925925925925926,""degradation"":0.7772277227722773,""failure"":0.06382978723404255}","[[64,12,43],[33,157,14],[0,31,3]]","[""healthy"",""degradation"",""failure""]"
