n_syn,method,n_real,class,mean_f1,std_f1
10,llm,2,degraded,0.670696,0.059322
10,llm,2,healthy,0.651024,0.034385
10,llm,5,degraded,0.704866,0.072397
10,llm,5,healthy,0.654326,0.031564
10,llm,10,degraded,0.704419,0.043276
10,llm,10,healthy,0.660914,0.029113
10,noise_aug,2,degraded,0.645808,0.096819
10,noise_aug,2,healthy,0.604599,0.059859
10,noise_aug,5,degraded,0.69957,0.107742
10,noise_aug,5,healthy,0.606053,0.094574
10,noise_aug,10,degraded,0.688205,0.030334
10,noise_aug,10,healthy,0.64976,0.023743
10,random_open_loop,2,degraded,0.596974,0.285679
10,random_open_loop,2,healthy,0.388826,0.222194
10,random_open_loop,5,degraded,0.787466,0.048598
10,random_open_loop,5,healthy,0.428168,0.233797
10,random_open_loop,10,degraded,0.797659,0.039052
10,random_open_loop,10,healthy,0.61555,0.110027
10,rule,2,degraded,0.650168,0.083871
10,rule,2,healthy,0.644073,0.038536
10,rule,5,degraded,0.686416,0.074561
10,rule,5,healthy,0.648264,0.025307
10,rule,10,degraded,0.69881,0.043655
10,rule,10,healthy,0.657917,0.029195
20,llm,2,degraded,0.674827,0.03936
20,llm,2,healthy,0.656076,0.032385
20,llm,5,degraded,0.705956,0.046624
20,llm,5,healthy,0.665413,0.017656
20,llm,10,degraded,0.700395,0.039332
20,llm,10,healthy,0.664465,0.031036
20,noise_aug,2,degraded,0.658623,0.050845
20,noise_aug,2,healthy,0.628161,0.041014
20,noise_aug,5,degraded,0.711789,0.056681
20,noise_aug,5,healthy,0.64207,0.03595
20,noise_aug,10,degraded,0.699744,0.040229
20,noise_aug,10,healthy,0.644321,0.032546
20,random_open_loop,2,degraded,0.695344,0.175428
20,random_open_loop,2,healthy,0.444171,0.201594
20,random_open_loop,5,degraded,0.78819,0.063847
20,random_open_loop,5,healthy,0.499242,0.189103
20,random_open_loop,10,degraded,0.816298,0.023037
20,random_open_loop,10,healthy,0.536323,0.229026
20,real_only,2,degraded,0.652874,0.09313
20,real_only,2,healthy,0.606515,0.067648
20,real_only,5,degraded,0.710472,0.07299
20,real_only,5,healthy,0.615062,0.09715
20,real_only,10,degraded,0.730096,0.068779
20,real_only,10,healthy,0.639697,0.051726
20,rule,2,degraded,0.667309,0.035256
20,rule,2,healthy,0.652003,0.029871
20,rule,5,degraded,0.699126,0.049585
20,rule,5,healthy,0.662205,0.017239
20,rule,10,degraded,0.696524,0.042741
20,rule,10,healthy,0.663402,0.031836
40,llm,2,degraded,0.662942,0.05331
40,llm,2,healthy,0.648918,0.032692
40,llm,5,degraded,0.712716,0.058883
40,llm,5,healthy,0.674147,0.026912
40,llm,10,degraded,0.70444,0.050918
40,llm,10,healthy,0.659562,0.049282
40,noise_aug,2,degraded,0.648219,0.053467
40,noise_aug,2,healthy,0.621276,0.041407
40,noise_aug,5,degraded,0.692974,0.09235
40,noise_aug,5,healthy,0.625171,0.061045
40,noise_aug,10,degraded,0.67899,0.052079
40,noise_aug,10,healthy,0.634587,0.057926
40,random_open_loop,2,degraded,0.74185,0.0954
40,random_open_loop,2,healthy,0.219834,0.160812
40,random_open_loop,5,degraded,0.770781,0.032743
40,random_open_loop,5,healthy,0.300825,0.135822
40,random_open_loop,10,degraded,0.809804,0.034074
40,random_open_loop,10,healthy,0.478351,0.186328
40,rule,2,degraded,0.662768,0.052707
40,rule,2,healthy,0.648493,0.03219
40,rule,5,degraded,0.714423,0.054438
40,rule,5,healthy,0.673113,0.028018
40,rule,10,degraded,0.701285,0.047881
40,rule,10,healthy,0.658222,0.04846
