n_syn,method,n_real,rows,mean_acc,std_acc,mean_macro_f1,std_macro_f1
10,llm,2,10,0.66249,0.043138,0.66087,0.043047
10,noise_aug,2,10,0.6322,0.064906,0.62522,0.06384
10,random_open_loop,2,10,0.55826,0.204609,0.4929,0.197772
10,rule,2,10,0.64931,0.056532,0.64713,0.057801
10,llm,5,10,0.68488,0.05528,0.67958,0.047711
10,noise_aug,5,10,0.66752,0.094637,0.65281,0.086658
10,random_open_loop,5,10,0.70282,0.05058,0.60783,0.118153
10,rule,5,10,0.672,0.052601,0.66734,0.045582
10,llm,10,10,0.68462,0.03675,0.68267,0.0354
10,noise_aug,10,10,0.67034,0.026532,0.66898,0.026029
10,random_open_loop,10,10,0.73922,0.042942,0.70661,0.062749
10,rule,10,10,0.68014,0.036835,0.67837,0.035567
20,llm,2,10,0.66641,0.032224,0.66546,0.032316
20,noise_aug,2,10,0.64565,0.037012,0.64341,0.038047
20,random_open_loop,2,10,0.62522,0.160325,0.56977,0.158112
20,real_only,2,10,0.63753,0.063304,0.62969,0.062893
20,rule,2,10,0.66053,0.02838,0.65966,0.028445
20,llm,5,10,0.68854,0.032083,0.6857,0.028414
20,noise_aug,5,10,0.68546,0.03658,0.67694,0.027121
20,random_open_loop,5,10,0.70701,0.08803,0.6437,0.117291
20,real_only,5,10,0.67872,0.05373,0.66277,0.057742
20,rule,5,10,0.68322,0.034883,0.68067,0.031175
20,llm,10,10,0.68378,0.035008,0.68244,0.034236
20,noise_aug,10,10,0.6751,0.034747,0.67205,0.033512
20,random_open_loop,10,10,0.74482,0.051721,0.6763,0.121356
20,real_only,10,10,0.69608,0.053147,0.68489,0.046768
20,rule,10,10,0.68126,0.037142,0.67998,0.036164
40,llm,2,10,0.65716,0.039232,0.65593,0.039291
40,noise_aug,2,10,0.63669,0.041344,0.63474,0.041218
40,random_open_loop,2,10,0.62243,0.10269,0.48086,0.093736
40,rule,2,10,0.65688,0.038561,0.65564,0.03861
40,llm,5,10,0.69722,0.040045,0.69344,0.036491
40,noise_aug,5,10,0.66863,0.074867,0.65909,0.065688
40,random_open_loop,5,10,0.658,0.040225,0.53581,0.068702
40,rule,5,10,0.6975,0.037099,0.69376,0.034116
40,llm,10,10,0.68489,0.045052,0.68202,0.045174
40,noise_aug,10,10,0.66219,0.035755,0.65679,0.037068
40,random_open_loop,10,10,0.72745,0.054736,0.64408,0.100512
40,rule,10,10,0.68237,0.04279,0.67976,0.043332
