method,n_real,class,mean_f1,std_f1
llm,2,degraded,0.674827,0.03936
llm,2,healthy,0.656076,0.032385
llm,5,degraded,0.705956,0.046624
llm,5,healthy,0.665413,0.017656
llm,10,degraded,0.700395,0.039332
llm,10,healthy,0.664465,0.031036
noise_aug,2,degraded,0.658623,0.050845
noise_aug,2,healthy,0.628161,0.041014
noise_aug,5,degraded,0.711789,0.056681
noise_aug,5,healthy,0.64207,0.03595
noise_aug,10,degraded,0.699744,0.040229
noise_aug,10,healthy,0.644321,0.032546
random_open_loop,2,degraded,0.695344,0.175428
random_open_loop,2,healthy,0.444171,0.201594
random_open_loop,5,degraded,0.78819,0.063847
random_open_loop,5,healthy,0.499242,0.189103
random_open_loop,10,degraded,0.816298,0.023037
random_open_loop,10,healthy,0.536323,0.229026
real_only,2,degraded,0.652874,0.09313
real_only,2,healthy,0.606515,0.067648
real_only,5,degraded,0.710472,0.07299
real_only,5,healthy,0.615062,0.09715
real_only,10,degraded,0.730096,0.068779
real_only,10,healthy,0.639697,0.051726
rule,2,degraded,0.667309,0.035256
rule,2,healthy,0.652003,0.029871
rule,5,degraded,0.699126,0.049585
rule,5,healthy,0.662205,0.017239
rule,10,degraded,0.696524,0.042741
rule,10,healthy,0.663402,0.031836
