method,n_real,rows,mean_acc,std_acc,mean_macro_f1,std_macro_f1
llm,2,10,0.66641,0.032224,0.66546,0.032316
noise_aug,2,10,0.64565,0.037012,0.64341,0.038047
random_open_loop,2,10,0.62522,0.160325,0.56977,0.158112
real_only,2,10,0.63753,0.063304,0.62969,0.062893
rule,2,10,0.66053,0.02838,0.65966,0.028445
llm,5,10,0.68854,0.032083,0.6857,0.028414
noise_aug,5,10,0.68546,0.03658,0.67694,0.027121
random_open_loop,5,10,0.70701,0.08803,0.6437,0.117291
real_only,5,10,0.67872,0.05373,0.66277,0.057742
rule,5,10,0.68322,0.034883,0.68067,0.031175
llm,10,10,0.68378,0.035008,0.68244,0.034236
noise_aug,10,10,0.6751,0.034747,0.67205,0.033512
random_open_loop,10,10,0.74482,0.051721,0.6763,0.121356
real_only,10,10,0.69608,0.053147,0.68489,0.046768
rule,10,10,0.68126,0.037142,0.67998,0.036164
