dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,0,"{""0"":2,""1"":2}",20,0.6667,0.5596,"{""healthy"":0.3425414364640884,""degraded"":0.776735459662289}","[[31,88],[31,207]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,1,"{""0"":2,""1"":2}",20,0.3333,0.2500,"{""healthy"":0.5,""degraded"":0.0}","[[119,0],[238,0]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,2,"{""0"":2,""1"":2}",20,0.2605,0.2486,"{""healthy"":0.15384615384615385,""degraded"":0.34328358208955223}","[[24,95],[169,69]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,3,"{""0"":2,""1"":2}",20,0.6695,0.4090,"{""healthy"":0.016666666666666666,""degraded"":0.8013468013468014}","[[1,118],[0,238]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,4,"{""0"":2,""1"":2}",20,0.7367,0.6715,"{""healthy"":0.5252525252525253,""degraded"":0.8178294573643411}","[[52,67],[27,211]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,5,"{""0"":2,""1"":2}",20,0.7003,0.6790,"{""healthy"":0.5962264150943396,""degraded"":0.7616926503340757}","[[79,40],[67,171]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,6,"{""0"":2,""1"":2}",20,0.6947,0.6334,"{""healthy"":0.4834123222748815,""degraded"":0.7833001988071571}","[[51,68],[41,197]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,7,"{""0"":2,""1"":2}",20,0.3501,0.3218,"{""healthy"":0.18309859154929578,""degraded"":0.4604651162790698}","[[26,93],[139,99]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,8,"{""0"":2,""1"":2}",20,0.8067,0.7923,"{""healthy"":0.7376425855513308,""degraded"":0.8470066518847007}","[[97,22],[47,191]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,9,"{""0"":2,""1"":2}",20,0.3641,0.3638,"{""healthy"":0.3495702005730659,""degraded"":0.3780821917808219}","[[61,58],[169,69]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,0,"{""0"":5,""1"":5}",20,0.6667,0.6667,"{""healthy"":0.6666666666666666,""degraded"":0.6666666666666666}","[[119,0],[119,119]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,1,"{""0"":5,""1"":5}",20,0.6695,0.4090,"{""healthy"":0.016666666666666666,""degraded"":0.8013468013468014}","[[1,118],[0,238]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,2,"{""0"":5,""1"":5}",20,0.7395,0.7210,"{""healthy"":0.6490566037735849,""degraded"":0.7928730512249443}","[[86,33],[60,178]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,3,"{""0"":5,""1"":5}",20,0.6443,0.5334,"{""healthy"":0.30601092896174864,""degraded"":0.7608286252354048}","[[28,91],[36,202]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,4,"{""0"":5,""1"":5}",20,0.7843,0.7659,"{""healthy"":0.7003891050583657,""degraded"":0.8315098468271335}","[[90,29],[48,190]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,5,"{""0"":5,""1"":5}",20,0.7115,0.6319,"{""healthy"":0.4607329842931937,""degraded"":0.8030592734225621}","[[44,75],[28,210]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,6,"{""0"":5,""1"":5}",20,0.7003,0.5710,"{""healthy"":0.33540372670807456,""degraded"":0.8065099457504521}","[[27,92],[15,223]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,7,"{""0"":5,""1"":5}",20,0.6331,0.4499,"{""healthy"":0.13245033112582782,""degraded"":0.7673179396092362}","[[10,109],[22,216]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,8,"{""0"":5,""1"":5}",20,0.7115,0.6102,"{""healthy"":0.4114285714285714,""degraded"":0.8089053803339518}","[[36,83],[20,218]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,9,"{""0"":5,""1"":5}",20,0.7675,0.7193,"{""healthy"":0.6028708133971292,""degraded"":0.8356435643564356}","[[63,56],[27,211]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,0,"{""0"":10,""1"":10}",20,0.7703,0.7634,"{""healthy"":0.722972972972973,""degraded"":0.8038277511961722}","[[107,12],[70,168]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,1,"{""0"":10,""1"":10}",20,0.7759,0.7547,"{""healthy"":0.6825396825396826,""degraded"":0.8268398268398268}","[[86,33],[47,191]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,2,"{""0"":10,""1"":10}",20,0.7087,0.6492,"{""healthy"":0.5047619047619047,""degraded"":0.7936507936507936}","[[53,66],[38,200]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,3,"{""0"":10,""1"":10}",20,0.7507,0.6919,"{""healthy"":0.5572139303482587,""degraded"":0.8265107212475633}","[[56,63],[26,212]]","[""healthy"",""degraded""]"
