dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,0,"{""0"":2,""1"":2}",40,0.7227,0.7216,"{""healthy"":0.7044776119402985,""degraded"":0.7387862796833773}","[[118,1],[98,140]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,1,"{""0"":2,""1"":2}",40,0.6947,0.6919,"{""healthy"":0.6625386996904025,""degraded"":0.7212276214833759}","[[107,12],[97,141]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,2,"{""0"":2,""1"":2}",40,0.6891,0.6889,"{""healthy"":0.6819484240687679,""degraded"":0.6958904109589041}","[[119,0],[111,127]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,3,"{""0"":2,""1"":2}",40,0.6218,0.6188,"{""healthy"":0.5846153846153846,""degraded"":0.6529562982005142}","[[95,24],[111,127]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,4,"{""0"":2,""1"":2}",40,0.6891,0.6886,"{""healthy"":0.6763848396501457,""degraded"":0.7008086253369272}","[[116,3],[108,130]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,5,"{""0"":2,""1"":2}",40,0.6527,0.6517,"{""healthy"":0.6331360946745562,""degraded"":0.6702127659574468}","[[107,12],[112,126]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,6,"{""0"":2,""1"":2}",40,0.6415,0.6412,"{""healthy"":0.6502732240437158,""degraded"":0.632183908045977}","[[119,0],[128,110]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,7,"{""0"":2,""1"":2}",40,0.6275,0.6269,"{""healthy"":0.6415094339622641,""degraded"":0.6122448979591837}","[[119,0],[133,105]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,8,"{""0"":2,""1"":2}",40,0.6611,0.6611,"{""healthy"":0.6629526462395543,""degraded"":0.6591549295774648}","[[119,0],[121,117]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,9,"{""0"":2,""1"":2}",40,0.6639,0.6639,"{""healthy"":0.6629213483146067,""degraded"":0.664804469273743}","[[118,1],[119,119]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,0,"{""0"":5,""1"":5}",40,0.7031,0.7027,"{""healthy"":0.6918604651162791,""degraded"":0.7135135135135136}","[[119,0],[106,132]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,1,"{""0"":5,""1"":5}",40,0.6695,0.6681,"{""healthy"":0.6467065868263473,""degraded"":0.6894736842105263}","[[108,11],[107,131]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,2,"{""0"":5,""1"":5}",40,0.6667,0.6662,"{""healthy"":0.6530612244897959,""degraded"":0.6792452830188679}","[[112,7],[112,126]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,3,"{""0"":5,""1"":5}",40,0.6443,0.6443,"{""healthy"":0.6442577030812325,""degraded"":0.6442577030812325}","[[115,4],[123,115]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,4,"{""0"":5,""1"":5}",40,0.7395,0.7343,"{""healthy"":0.6970684039087948,""degraded"":0.7714987714987716}","[[107,12],[81,157]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,5,"{""0"":5,""1"":5}",40,0.6919,0.6906,"{""healthy"":0.6706586826347305,""degraded"":0.7105263157894737}","[[112,7],[103,135]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,6,"{""0"":5,""1"":5}",40,0.6639,0.6639,"{""healthy"":0.664804469273743,""degraded"":0.6629213483146067}","[[119,0],[120,118]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,7,"{""0"":5,""1"":5}",40,0.7395,0.7226,"{""healthy"":0.654275092936803,""degraded"":0.7910112359550562}","[[88,31],[62,176]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,8,"{""0"":5,""1"":5}",40,0.6975,0.6949,"{""healthy"":0.6666666666666666,""degraded"":0.7230769230769231}","[[108,11],[97,141]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,9,"{""0"":5,""1"":5}",40,0.6695,0.6694,"{""healthy"":0.6647727272727273,""degraded"":0.6740331491712708}","[[117,2],[116,122]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,0,"{""0"":10,""1"":10}",40,0.7283,0.7273,"{""healthy"":0.7104477611940299,""degraded"":0.7440633245382586}","[[119,0],[97,141]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,1,"{""0"":10,""1"":10}",40,0.6583,0.6571,"{""healthy"":0.6369047619047619,""degraded"":0.6772486772486772}","[[107,12],[110,128]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,2,"{""0"":10,""1"":10}",40,0.7339,0.7290,"{""healthy"":0.6925566343042071,""degraded"":0.7654320987654321}","[[107,12],[83,155]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,3,"{""0"":10,""1"":10}",40,0.7171,0.7158,"{""healthy"":0.6966966966966966,""degraded"":0.7349081364829396}","[[116,3],[98,140]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,4,"{""0"":10,""1"":10}",40,0.7003,0.6999,"{""healthy"":0.6898550724637681,""degraded"":0.7100271002710027}","[[119,0],[107,131]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,5,"{""0"":10,""1"":10}",40,0.6835,0.6812,"{""healthy"":0.654434250764526,""degraded"":0.7080103359173127}","[[107,12],[101,137]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,6,"{""0"":10,""1"":10}",40,0.6583,0.6578,"{""healthy"":0.6453488372093024,""degraded"":0.6702702702702703}","[[111,8],[114,124]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,7,"{""0"":10,""1"":10}",40,0.6639,0.6625,"{""healthy"":0.6407185628742516,""degraded"":0.6842105263157895}","[[107,12],[108,130]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,8,"{""0"":10,""1"":10}",40,0.6275,0.6272,"{""healthy"":0.6167146974063401,""degraded"":0.6376021798365122}","[[107,12],[121,117]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,9,"{""0"":10,""1"":10}",40,0.6667,0.6666,"{""healthy"":0.6609686609686609,""degraded"":0.6721763085399449}","[[116,3],[116,122]]","[""healthy"",""degraded""]"
