dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,2,0,"{""0"":2,""1"":2}",40,0.6583,0.6580,"{""healthy"":0.6494252873563219,""degraded"":0.6666666666666666}","[[113,6],[116,122]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,2,1,"{""0"":2,""1"":2}",40,0.6779,0.6759,"{""healthy"":0.6504559270516718,""degraded"":0.7012987012987013}","[[107,12],[103,135]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,2,2,"{""0"":2,""1"":2}",40,0.6218,0.6109,"{""healthy"":0.5454545454545454,""degraded"":0.6762589928057554}","[[81,38],[97,141]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,2,3,"{""0"":2,""1"":2}",40,0.6190,0.6162,"{""healthy"":0.5828220858895705,""degraded"":0.6494845360824743}","[[95,24],[112,126]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,2,4,"{""0"":2,""1"":2}",40,0.6218,0.6217,"{""healthy"":0.6131805157593123,""degraded"":0.6301369863013698}","[[107,12],[123,115]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,2,5,"{""0"":2,""1"":2}",40,0.6723,0.6723,"{""healthy"":0.6704225352112676,""degraded"":0.6740947075208914}","[[119,0],[117,121]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,2,6,"{""0"":2,""1"":2}",40,0.6891,0.6866,"{""healthy"":0.6584615384615384,""degraded"":0.7146529562982005}","[[107,12],[99,139]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,2,7,"{""0"":2,""1"":2}",40,0.6218,0.6218,"{""healthy"":0.6218487394957983,""degraded"":0.6218487394957983}","[[111,8],[127,111]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,2,8,"{""0"":2,""1"":2}",40,0.6919,0.6910,"{""healthy"":0.6745562130177515,""degraded"":0.7074468085106383}","[[114,5],[105,133]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,2,9,"{""0"":2,""1"":2}",40,0.5826,0.5797,"{""healthy"":0.6149870801033591,""degraded"":0.5443425076452599}","[[119,0],[149,89]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,5,0,"{""0"":5,""1"":5}",40,0.6779,0.6778,"{""healthy"":0.6723646723646723,""degraded"":0.6831955922865014}","[[118,1],[114,124]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,5,1,"{""0"":5,""1"":5}",40,0.6947,0.6941,"{""healthy"":0.6803519061583577,""degraded"":0.707774798927614}","[[116,3],[106,132]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,5,2,"{""0"":5,""1"":5}",40,0.6527,0.6512,"{""healthy"":0.6287425149700598,""degraded"":0.6736842105263158}","[[105,14],[110,128]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,5,3,"{""0"":5,""1"":5}",40,0.6443,0.6441,"{""healthy"":0.6520547945205479,""degraded"":0.6361031518624641}","[[119,0],[127,111]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,5,4,"{""0"":5,""1"":5}",40,0.7115,0.6928,"{""healthy"":0.6171003717472119,""degraded"":0.7685393258426966}","[[83,36],[67,171]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,5,5,"{""0"":5,""1"":5}",40,0.6667,0.6667,"{""healthy"":0.6666666666666666,""degraded"":0.6666666666666666}","[[119,0],[119,119]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,5,6,"{""0"":5,""1"":5}",40,0.7283,0.7245,"{""healthy"":0.692063492063492,""degraded"":0.7568922305764411}","[[109,10],[87,151]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,5,7,"{""0"":5,""1"":5}",40,0.7563,0.7074,"{""healthy"":0.5876777251184834,""degraded"":0.827037773359841}","[[62,57],[30,208]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,5,8,"{""0"":5,""1"":5}",40,0.6667,0.6628,"{""healthy"":0.6269592476489029,""degraded"":0.6987341772151898}","[[100,19],[100,138]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,5,9,"{""0"":5,""1"":5}",40,0.6555,0.6480,"{""healthy"":0.5967213114754099,""degraded"":0.6992665036674817}","[[91,28],[95,143]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,10,0,"{""0"":10,""1"":10}",40,0.6835,0.6827,"{""healthy"":0.6666666666666666,""degraded"":0.6986666666666667}","[[113,6],[107,131]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,10,1,"{""0"":10,""1"":10}",40,0.6555,0.6544,"{""healthy"":0.6350148367952523,""degraded"":0.6737400530503979}","[[107,12],[111,127]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,10,2,"{""0"":10,""1"":10}",40,0.7423,0.7335,"{""healthy"":0.684931506849315,""degraded"":0.7819905213270142}","[[100,19],[73,165]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,10,3,"{""0"":10,""1"":10}",40,0.6359,0.6283,"{""healthy"":0.5751633986928104,""degraded"":0.6813725490196079}","[[88,31],[99,139]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,10,4,"{""0"":10,""1"":10}",40,0.6723,0.6718,"{""healthy"":0.6588921282798834,""degraded"":0.6846361185983828}","[[113,6],[111,127]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,10,5,"{""0"":10,""1"":10}",40,0.6919,0.6895,"{""healthy"":0.6625766871165644,""degraded"":0.7164948453608248}","[[108,11],[99,139]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,10,6,"{""0"":10,""1"":10}",40,0.6611,0.6598,"{""healthy"":0.6388059701492538,""degraded"":0.6807387862796834}","[[107,12],[109,129]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,10,7,"{""0"":10,""1"":10}",40,0.7143,0.7101,"{""healthy"":0.6751592356687898,""degraded"":0.745}","[[106,13],[89,149]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,noise_aug,10,8,"{""0"":10,""1"":10}",40,0.6275,0.6272,"{""healthy"":0.6167146974063401,""degraded"":0.6376021798365122}","[[107,12],[121,117]]","[""healthy"",""degraded""]"
