dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,0,"{""0"":2,""1"":2}",40,0.7227,0.7216,"{""healthy"":0.7044776119402985,""degraded"":0.7387862796833773}","[[118,1],[98,140]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,1,"{""0"":2,""1"":2}",40,0.6807,0.6786,"{""healthy"":0.6524390243902439,""degraded"":0.7046632124352331}","[[107,12],[102,136]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,2,"{""0"":2,""1"":2}",40,0.6499,0.6498,"{""healthy"":0.6556473829201102,""degraded"":0.6438746438746439}","[[119,0],[125,113]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,3,"{""0"":2,""1"":2}",40,0.6218,0.6188,"{""healthy"":0.5846153846153846,""degraded"":0.6529562982005142}","[[95,24],[111,127]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,4,"{""0"":2,""1"":2}",40,0.6835,0.6830,"{""healthy"":0.6705539358600583,""degraded"":0.6954177897574124}","[[115,4],[109,129]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,5,"{""0"":2,""1"":2}",40,0.6555,0.6544,"{""healthy"":0.6350148367952523,""degraded"":0.6737400530503979}","[[107,12],[111,127]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,6,"{""0"":2,""1"":2}",40,0.6471,0.6469,"{""healthy"":0.6538461538461539,""degraded"":0.64}","[[119,0],[126,112]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,7,"{""0"":2,""1"":2}",40,0.6415,0.6412,"{""healthy"":0.6502732240437158,""degraded"":0.632183908045977}","[[119,0],[128,110]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,8,"{""0"":2,""1"":2}",40,0.6583,0.6582,"{""healthy"":0.6611111111111111,""degraded"":0.655367231638418}","[[119,0],[122,116]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,2,9,"{""0"":2,""1"":2}",40,0.6443,0.6441,"{""healthy"":0.6520547945205479,""degraded"":0.6361031518624641}","[[119,0],[127,111]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,0,"{""0"":5,""1"":5}",40,0.6863,0.6862,"{""healthy"":0.68,""degraded"":0.6923076923076923}","[[119,0],[112,126]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,1,"{""0"":5,""1"":5}",40,0.6639,0.6625,"{""healthy"":0.6407185628742516,""degraded"":0.6842105263157895}","[[107,12],[108,130]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,2,"{""0"":5,""1"":5}",40,0.6611,0.6607,"{""healthy"":0.6492753623188405,""degraded"":0.6720867208672087}","[[112,7],[114,124]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,3,"{""0"":5,""1"":5}",40,0.6331,0.6330,"{""healthy"":0.6350974930362117,""degraded"":0.6309859154929578}","[[114,5],[126,112]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,4,"{""0"":5,""1"":5}",40,0.7311,0.7263,"{""healthy"":0.6903225806451613,""degraded"":0.7623762376237624}","[[107,12],[84,154]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,5,"{""0"":5,""1"":5}",40,0.6919,0.6898,"{""healthy"":0.6646341463414634,""degraded"":0.7150259067357513}","[[109,10],[100,138]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,6,"{""0"":5,""1"":5}",40,0.6667,0.6667,"{""healthy"":0.6666666666666666,""degraded"":0.6666666666666666}","[[119,0],[119,119]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,7,"{""0"":5,""1"":5}",40,0.7507,0.7361,"{""healthy"":0.673992673992674,""degraded"":0.7981859410430839}","[[92,27],[62,176]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,8,"{""0"":5,""1"":5}",40,0.6835,0.6815,"{""healthy"":0.6565349544072948,""degraded"":0.7064935064935065}","[[108,11],[102,136]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,5,9,"{""0"":5,""1"":5}",40,0.6639,0.6639,"{""healthy"":0.664804469273743,""degraded"":0.6629213483146067}","[[119,0],[120,118]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,0,"{""0"":10,""1"":10}",40,0.7311,0.7300,"{""healthy"":0.7125748502994012,""degraded"":0.7473684210526316}","[[119,0],[96,142]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,1,"{""0"":10,""1"":10}",40,0.6527,0.6517,"{""healthy"":0.6331360946745562,""degraded"":0.6702127659574468}","[[107,12],[112,126]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,2,"{""0"":10,""1"":10}",40,0.7423,0.7369,"{""healthy"":0.6993464052287581,""degraded"":0.7745098039215687}","[[107,12],[80,158]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,3,"{""0"":10,""1"":10}",40,0.7087,0.7079,"{""healthy"":0.6923076923076923,""degraded"":0.723404255319149}","[[117,2],[102,136]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,4,"{""0"":10,""1"":10}",40,0.6919,0.6917,"{""healthy"":0.6839080459770115,""degraded"":0.6994535519125683}","[[119,0],[110,128]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,5,"{""0"":10,""1"":10}",40,0.6835,0.6812,"{""healthy"":0.654434250764526,""degraded"":0.7080103359173127}","[[107,12],[101,137]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,6,"{""0"":10,""1"":10}",40,0.6527,0.6522,"{""healthy"":0.6395348837209303,""degraded"":0.6648648648648648}","[[110,9],[115,123]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,7,"{""0"":10,""1"":10}",40,0.6611,0.6598,"{""healthy"":0.6388059701492538,""degraded"":0.6807387862796834}","[[107,12],[109,129]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,8,"{""0"":10,""1"":10}",40,0.6275,0.6273,"{""healthy"":0.6189111747851003,""degraded"":0.6356164383561644}","[[108,11],[122,116]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,inner_val_healthy_vs_degraded,custom_pool,10,9,"{""0"":10,""1"":10}",40,0.6611,0.6611,"{""healthy"":0.6610644257703081,""degraded"":0.6610644257703081}","[[118,1],[120,118]]","[""healthy"",""degraded""]"
