VB,case,dataset,label,label_scheme,run,samples,split,windows
0.0,1,Berkeley_NASA_milling,healthy,binary_healthy_degraded,1,9000,train,17
0.11,1,Berkeley_NASA_milling,healthy,binary_healthy_degraded,4,9000,train,17
0.2,1,Berkeley_NASA_milling,degraded,binary_healthy_degraded,6,9000,train,17
0.24,1,Berkeley_NASA_milling,degraded,binary_healthy_degraded,7,9000,train,17
0.29,1,Berkeley_NASA_milling,degraded,binary_healthy_degraded,8,9000,train,17
0.28,1,Berkeley_NASA_milling,degraded,binary_healthy_degraded,9,9000,train,17
0.29,1,Berkeley_NASA_milling,degraded,binary_healthy_degraded,10,9000,train,17
0.38,1,Berkeley_NASA_milling,degraded,binary_healthy_degraded,11,9000,train,17
0.4,1,Berkeley_NASA_milling,degraded,binary_healthy_degraded,12,9000,train,17
0.43,1,Berkeley_NASA_milling,degraded,binary_healthy_degraded,13,9000,train,17
0.45,1,Berkeley_NASA_milling,degraded,binary_healthy_degraded,14,9000,train,17
0.5,1,Berkeley_NASA_milling,degraded,binary_healthy_degraded,15,9000,train,17
0.44,1,Berkeley_NASA_milling,degraded,binary_healthy_degraded,17,9000,train,17
0.08,2,Berkeley_NASA_milling,healthy,binary_healthy_degraded,1,9000,test,17
0.14,2,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,test,17
0.14,2,Berkeley_NASA_milling,healthy,binary_healthy_degraded,3,9000,test,17
0.14,2,Berkeley_NASA_milling,healthy,binary_healthy_degraded,4,9000,test,17
0.15,2,Berkeley_NASA_milling,healthy,binary_healthy_degraded,5,9000,test,17
0.18,2,Berkeley_NASA_milling,healthy,binary_healthy_degraded,7,9000,test,17
0.22,2,Berkeley_NASA_milling,degraded,binary_healthy_degraded,8,9000,test,17
0.26,2,Berkeley_NASA_milling,degraded,binary_healthy_degraded,9,9000,test,17
0.31,2,Berkeley_NASA_milling,degraded,binary_healthy_degraded,10,9000,test,17
0.38,2,Berkeley_NASA_milling,degraded,binary_healthy_degraded,11,9000,test,17
0.43,2,Berkeley_NASA_milling,degraded,binary_healthy_degraded,12,9000,test,17
0.48,2,Berkeley_NASA_milling,degraded,binary_healthy_degraded,13,9000,test,17
0.55,2,Berkeley_NASA_milling,degraded,binary_healthy_degraded,14,9000,test,17
0.0,3,Berkeley_NASA_milling,healthy,binary_healthy_degraded,1,9000,train,17
0.13,3,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,train,17
0.13,3,Berkeley_NASA_milling,healthy,binary_healthy_degraded,3,9000,train,17
0.17,3,Berkeley_NASA_milling,healthy,binary_healthy_degraded,5,9000,train,17
0.19,3,Berkeley_NASA_milling,healthy,binary_healthy_degraded,6,9000,train,17
0.2,3,Berkeley_NASA_milling,degraded,binary_healthy_degraded,7,9000,train,17
0.23,3,Berkeley_NASA_milling,degraded,binary_healthy_degraded,8,9000,train,17
0.23,3,Berkeley_NASA_milling,degraded,binary_healthy_degraded,9,9000,train,17
0.26,3,Berkeley_NASA_milling,degraded,binary_healthy_degraded,10,9000,train,17
0.28,3,Berkeley_NASA_milling,degraded,binary_healthy_degraded,11,9000,train,17
0.33,3,Berkeley_NASA_milling,degraded,binary_healthy_degraded,12,9000,train,17
0.36,3,Berkeley_NASA_milling,degraded,binary_healthy_degraded,14,9000,train,17
0.44,3,Berkeley_NASA_milling,degraded,binary_healthy_degraded,15,9000,train,17
0.55,3,Berkeley_NASA_milling,degraded,binary_healthy_degraded,16,9000,train,17
0.08,4,Berkeley_NASA_milling,healthy,binary_healthy_degraded,1,9000,test,17
0.13,4,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,test,17
0.2,4,Berkeley_NASA_milling,degraded,binary_healthy_degraded,3,9000,test,17
0.31,4,Berkeley_NASA_milling,degraded,binary_healthy_degraded,4,9000,test,17
0.35,4,Berkeley_NASA_milling,degraded,binary_healthy_degraded,5,9000,test,17
0.4,4,Berkeley_NASA_milling,degraded,binary_healthy_degraded,6,9000,test,17
0.49,4,Berkeley_NASA_milling,degraded,binary_healthy_degraded,7,9000,test,17
0.0,9,Berkeley_NASA_milling,healthy,binary_healthy_degraded,1,9000,train,17
0.1,9,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,train,17
0.14,9,Berkeley_NASA_milling,healthy,binary_healthy_degraded,3,9000,train,17
0.19,9,Berkeley_NASA_milling,healthy,binary_healthy_degraded,4,9000,train,17
0.27,9,Berkeley_NASA_milling,degraded,binary_healthy_degraded,5,9000,train,17
0.38,9,Berkeley_NASA_milling,degraded,binary_healthy_degraded,6,9000,train,17
0.47,9,Berkeley_NASA_milling,degraded,binary_healthy_degraded,7,9000,train,17
0.64,9,Berkeley_NASA_milling,degraded,binary_healthy_degraded,8,9000,train,17
0.81,9,Berkeley_NASA_milling,degraded,binary_healthy_degraded,9,9000,train,17
0.0,10,Berkeley_NASA_milling,healthy,binary_healthy_degraded,1,9000,train,17
0.04,10,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,train,17
0.08,10,Berkeley_NASA_milling,healthy,binary_healthy_degraded,3,9000,train,17
0.16,10,Berkeley_NASA_milling,healthy,binary_healthy_degraded,4,9000,train,17
0.25,10,Berkeley_NASA_milling,degraded,binary_healthy_degraded,5,9000,train,17
0.36,10,Berkeley_NASA_milling,degraded,binary_healthy_degraded,6,9000,train,17
0.43,10,Berkeley_NASA_milling,degraded,binary_healthy_degraded,7,9000,train,17
0.47,10,Berkeley_NASA_milling,degraded,binary_healthy_degraded,8,9000,train,17
0.53,10,Berkeley_NASA_milling,degraded,binary_healthy_degraded,9,9000,train,17
0.7,10,Berkeley_NASA_milling,degraded,binary_healthy_degraded,10,9000,train,17
0.0,11,Berkeley_NASA_milling,healthy,binary_healthy_degraded,1,9000,train,17
0.04,11,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,train,17
0.07,11,Berkeley_NASA_milling,healthy,binary_healthy_degraded,3,9000,train,17
0.07,11,Berkeley_NASA_milling,healthy,binary_healthy_degraded,4,9000,train,17
0.08,11,Berkeley_NASA_milling,healthy,binary_healthy_degraded,5,9000,train,17
0.09,11,Berkeley_NASA_milling,healthy,binary_healthy_degraded,6,9000,train,17
0.12,11,Berkeley_NASA_milling,healthy,binary_healthy_degraded,8,9000,train,17
0.16,11,Berkeley_NASA_milling,healthy,binary_healthy_degraded,9,9000,train,17
0.18,11,Berkeley_NASA_milling,healthy,binary_healthy_degraded,10,9000,train,17
0.2,11,Berkeley_NASA_milling,degraded,binary_healthy_degraded,11,9000,train,17
0.23,11,Berkeley_NASA_milling,degraded,binary_healthy_degraded,12,9000,train,17
0.26,11,Berkeley_NASA_milling,degraded,binary_healthy_degraded,13,9000,train,17
0.31,11,Berkeley_NASA_milling,degraded,binary_healthy_degraded,15,9000,train,17
0.37,11,Berkeley_NASA_milling,degraded,binary_healthy_degraded,16,9000,train,17
0.42,11,Berkeley_NASA_milling,degraded,binary_healthy_degraded,18,9000,train,17
0.47,11,Berkeley_NASA_milling,degraded,binary_healthy_degraded,19,9000,train,17
0.57,11,Berkeley_NASA_milling,degraded,binary_healthy_degraded,20,9000,train,17
0.65,11,Berkeley_NASA_milling,degraded,binary_healthy_degraded,21,9000,train,17
0.68,11,Berkeley_NASA_milling,degraded,binary_healthy_degraded,22,9000,train,17
0.76,11,Berkeley_NASA_milling,degraded,binary_healthy_degraded,23,9000,train,17
0.05,12,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,train,17
0.08,12,Berkeley_NASA_milling,healthy,binary_healthy_degraded,3,9000,train,17
0.12,12,Berkeley_NASA_milling,healthy,binary_healthy_degraded,5,9000,train,17
0.17,12,Berkeley_NASA_milling,healthy,binary_healthy_degraded,6,9000,train,17
0.2,12,Berkeley_NASA_milling,degraded,binary_healthy_degraded,7,9000,train,17
0.24,12,Berkeley_NASA_milling,degraded,binary_healthy_degraded,8,9000,train,17
0.32,12,Berkeley_NASA_milling,degraded,binary_healthy_degraded,9,9000,train,17
0.4,12,Berkeley_NASA_milling,degraded,binary_healthy_degraded,11,9000,train,17
0.45,12,Berkeley_NASA_milling,degraded,binary_healthy_degraded,12,9000,train,17
0.49,12,Berkeley_NASA_milling,degraded,binary_healthy_degraded,13,9000,train,17
0.58,12,Berkeley_NASA_milling,degraded,binary_healthy_degraded,14,9000,train,17
0.65,12,Berkeley_NASA_milling,degraded,binary_healthy_degraded,15,9000,train,17
0.0,5,Berkeley_NASA_milling,healthy,binary_healthy_degraded,1,9000,train,17
0.16,5,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,train,17
0.29,5,Berkeley_NASA_milling,degraded,binary_healthy_degraded,3,9000,train,17
0.44,5,Berkeley_NASA_milling,degraded,binary_healthy_degraded,4,9000,train,17
0.53,5,Berkeley_NASA_milling,degraded,binary_healthy_degraded,5,9000,train,17
0.74,5,Berkeley_NASA_milling,degraded,binary_healthy_degraded,6,9000,train,17
0.0,6,Berkeley_NASA_milling,healthy,binary_healthy_degraded,1,9000,train,17
0.0,7,Berkeley_NASA_milling,healthy,binary_healthy_degraded,1,9000,train,17
0.09,7,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,train,17
0.13,7,Berkeley_NASA_milling,healthy,binary_healthy_degraded,3,9000,train,17
0.22,7,Berkeley_NASA_milling,degraded,binary_healthy_degraded,4,9000,train,17
0.24,7,Berkeley_NASA_milling,degraded,binary_healthy_degraded,5,9000,train,17
0.34,7,Berkeley_NASA_milling,degraded,binary_healthy_degraded,6,9000,train,17
0.46,7,Berkeley_NASA_milling,degraded,binary_healthy_degraded,7,9000,train,17
0.0,8,Berkeley_NASA_milling,healthy,binary_healthy_degraded,1,9000,test,17
0.18,8,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,test,17
0.3,8,Berkeley_NASA_milling,degraded,binary_healthy_degraded,3,9000,test,17
0.44,8,Berkeley_NASA_milling,degraded,binary_healthy_degraded,5,9000,test,17
0.62,8,Berkeley_NASA_milling,degraded,binary_healthy_degraded,6,9000,test,17
0.1,13,Berkeley_NASA_milling,healthy,binary_healthy_degraded,3,9000,train,17
0.13,13,Berkeley_NASA_milling,healthy,binary_healthy_degraded,4,9000,train,17
0.17,13,Berkeley_NASA_milling,healthy,binary_healthy_degraded,5,9000,train,17
0.32,13,Berkeley_NASA_milling,degraded,binary_healthy_degraded,6,9000,train,17
0.38,13,Berkeley_NASA_milling,degraded,binary_healthy_degraded,7,9000,train,17
0.49,13,Berkeley_NASA_milling,degraded,binary_healthy_degraded,8,9000,train,17
0.56,13,Berkeley_NASA_milling,degraded,binary_healthy_degraded,9,9000,train,17
0.68,13,Berkeley_NASA_milling,degraded,binary_healthy_degraded,10,9000,train,17
0.83,13,Berkeley_NASA_milling,degraded,binary_healthy_degraded,11,9000,train,17
0.92,13,Berkeley_NASA_milling,degraded,binary_healthy_degraded,12,9000,train,17
1.07,13,Berkeley_NASA_milling,degraded,binary_healthy_degraded,13,9000,train,17
1.3,13,Berkeley_NASA_milling,degraded,binary_healthy_degraded,14,9000,train,17
1.53,13,Berkeley_NASA_milling,degraded,binary_healthy_degraded,15,9000,train,17
0.09,14,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,test,17
0.17,14,Berkeley_NASA_milling,healthy,binary_healthy_degraded,3,9000,test,17
0.24,14,Berkeley_NASA_milling,degraded,binary_healthy_degraded,4,9000,test,17
0.35,14,Berkeley_NASA_milling,degraded,binary_healthy_degraded,6,9000,test,17
0.6,14,Berkeley_NASA_milling,degraded,binary_healthy_degraded,8,9000,test,17
0.81,14,Berkeley_NASA_milling,degraded,binary_healthy_degraded,9,9000,test,17
1.14,14,Berkeley_NASA_milling,degraded,binary_healthy_degraded,10,9000,test,17
0.15,15,Berkeley_NASA_milling,healthy,binary_healthy_degraded,2,9000,test,17
0.28,15,Berkeley_NASA_milling,degraded,binary_healthy_degraded,3,9000,test,17
0.37,15,Berkeley_NASA_milling,degraded,binary_healthy_degraded,4,9000,test,17
0.48,15,Berkeley_NASA_milling,degraded,binary_healthy_degraded,5,9000,test,17
0.56,15,Berkeley_NASA_milling,degraded,binary_healthy_degraded,6,9000,test,17
0.7,15,Berkeley_NASA_milling,degraded,binary_healthy_degraded,7,9000,test,17
0.24,16,Berkeley_NASA_milling,degraded,binary_healthy_degraded,3,9000,train,17
0.4,16,Berkeley_NASA_milling,degraded,binary_healthy_degraded,5,9000,train,17
0.62,16,Berkeley_NASA_milling,degraded,binary_healthy_degraded,6,9000,train,17
