method,n_real,class,mean_f1,std_f1
llm,2,degraded,0.818812,0.025074
llm,2,healthy,0.736737,0.016201
llm,5,degraded,0.819832,0.029841
llm,5,healthy,0.726637,0.042425
llm,10,degraded,0.82215,0.02766
llm,10,healthy,0.731015,0.027368
noise_aug,2,degraded,0.733566,0.128915
noise_aug,2,healthy,0.616457,0.127274
noise_aug,5,degraded,0.762829,0.072904
noise_aug,5,healthy,0.65578,0.089234
noise_aug,10,degraded,0.791641,0.047521
noise_aug,10,healthy,0.67661,0.081334
random_open_loop,2,degraded,0.61753,0.172064
random_open_loop,2,healthy,0.283209,0.167386
random_open_loop,5,degraded,0.723536,0.099075
random_open_loop,5,healthy,0.304023,0.170374
random_open_loop,10,degraded,0.752186,0.067364
random_open_loop,10,healthy,0.391748,0.141401
real_only,2,degraded,0.729329,0.120349
real_only,2,healthy,0.55343,0.1495
real_only,5,degraded,0.77803,0.068177
real_only,5,healthy,0.617485,0.130612
real_only,10,degraded,0.792893,0.049001
real_only,10,healthy,0.650815,0.11809
rule,2,degraded,0.81507,0.026512
rule,2,healthy,0.736357,0.016894
rule,5,degraded,0.814375,0.032308
rule,5,healthy,0.723932,0.04214
rule,10,degraded,0.820955,0.027524
rule,10,healthy,0.731806,0.02606
