dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
MillingUMich,experiment_split,real_only,2,0,"{""0"":2,""1"":2}",0,0.5517,0.5469,"{""unworn"":0.5,""worn"":0.59375}","[[13,18],[8,19]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,2,1,"{""0"":2,""1"":2}",0,0.5000,0.4999,"{""unworn"":0.49122807017543857,""worn"":0.5084745762711864}","[[14,17],[12,15]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,2,2,"{""0"":2,""1"":2}",0,0.4828,0.4727,"{""unworn"":0.5454545454545454,""worn"":0.4}","[[18,13],[17,10]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,2,3,"{""0"":2,""1"":2}",0,0.3966,0.3920,"{""unworn"":0.4444444444444444,""worn"":0.33962264150943394}","[[14,17],[18,9]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,2,4,"{""0"":2,""1"":2}",0,0.5172,0.4775,"{""unworn"":0.3333333333333333,""worn"":0.6216216216216216}","[[7,24],[4,23]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,5,0,"{""0"":5,""1"":5}",0,0.4310,0.4268,"{""unworn"":0.47619047619047616,""worn"":0.37735849056603776}","[[15,16],[17,10]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,5,1,"{""0"":5,""1"":5}",0,0.5172,0.5149,"{""unworn"":0.48148148148148145,""worn"":0.5483870967741935}","[[13,18],[10,17]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,5,2,"{""0"":5,""1"":5}",0,0.4828,0.3256,"{""unworn"":0.6511627906976745,""worn"":0.0}","[[28,3],[27,0]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,5,3,"{""0"":5,""1"":5}",0,0.2931,0.2424,"{""unworn"":0.4383561643835616,""worn"":0.046511627906976744}","[[16,15],[26,1]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,5,4,"{""0"":5,""1"":5}",0,0.5172,0.4175,"{""unworn"":0.17647058823529413,""worn"":0.6585365853658537}","[[3,28],[0,27]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,10,0,"{""0"":10,""1"":10}",0,0.7759,0.7742,"{""unworn"":0.7547169811320755,""worn"":0.7936507936507936}","[[20,11],[2,25]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,10,1,"{""0"":10,""1"":10}",0,0.4655,0.4654,"{""unworn"":0.45614035087719296,""worn"":0.4745762711864407}","[[13,18],[13,14]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,10,2,"{""0"":10,""1"":10}",0,0.4138,0.2927,"{""unworn"":0.5853658536585366,""worn"":0.0}","[[24,7],[27,0]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,10,3,"{""0"":10,""1"":10}",0,0.4310,0.4098,"{""unworn"":0.5217391304347826,""worn"":0.2978723404255319}","[[18,13],[20,7]]","[""unworn"",""worn""]"
MillingUMich,experiment_split,real_only,10,4,"{""0"":10,""1"":10}",0,0.4828,0.4803,"{""unworn"":0.5161290322580645,""worn"":0.4444444444444444}","[[16,15],[15,12]]","[""unworn"",""worn""]"
