dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_experiment_split,real_only,2,0,"{""0"":2,""1"":2}",0,0.4634,0.3520,"{""unworn"":0.08333333333333333,""worn"":0.6206896551724138}","[[1,16],[6,18]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,2,1,"{""0"":2,""1"":2}",0,0.5854,0.5306,"{""unworn"":0.37037037037037035,""worn"":0.6909090909090909}","[[5,12],[5,19]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,2,2,"{""0"":2,""1"":2}",0,0.4634,0.3805,"{""unworn"":0.6071428571428571,""worn"":0.15384615384615385}","[[17,0],[22,2]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,2,3,"{""0"":2,""1"":2}",0,0.3902,0.3517,"{""unworn"":0.5098039215686274,""worn"":0.1935483870967742}","[[13,4],[21,3]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,2,4,"{""0"":2,""1"":2}",0,0.4634,0.4631,"{""unworn"":0.47619047619047616,""worn"":0.45}","[[10,7],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,2,5,"{""0"":2,""1"":2}",0,0.2927,0.2859,"{""unworn"":0.21621621621621623,""worn"":0.35555555555555557}","[[4,13],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,2,6,"{""0"":2,""1"":2}",0,0.4878,0.4554,"{""unworn"":0.3225806451612903,""worn"":0.5882352941176471}","[[5,12],[9,15]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,2,7,"{""0"":2,""1"":2}",0,0.3415,0.3399,"{""unworn"":0.3076923076923077,""worn"":0.37209302325581395}","[[6,11],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,2,8,"{""0"":2,""1"":2}",0,0.5854,0.5306,"{""unworn"":0.37037037037037035,""worn"":0.6909090909090909}","[[5,12],[5,19]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,2,9,"{""0"":2,""1"":2}",0,0.4146,0.3971,"{""unworn"":0.5,""worn"":0.29411764705882354}","[[12,5],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,5,0,"{""0"":5,""1"":5}",0,0.5122,0.5096,"{""unworn"":0.47368421052631576,""worn"":0.5454545454545454}","[[9,8],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,5,1,"{""0"":5,""1"":5}",0,0.5122,0.3788,"{""unworn"":0.09090909090909091,""worn"":0.6666666666666666}","[[1,16],[4,20]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,5,2,"{""0"":5,""1"":5}",0,0.4390,0.4168,"{""unworn"":0.30303030303030304,""worn"":0.5306122448979592}","[[5,12],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,5,3,"{""0"":5,""1"":5}",0,0.4390,0.3382,"{""unworn"":0.08,""worn"":0.5964912280701754}","[[1,16],[7,17]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,5,4,"{""0"":5,""1"":5}",0,0.4878,0.4766,"{""unworn"":0.4,""worn"":0.5531914893617021}","[[7,10],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,5,5,"{""0"":5,""1"":5}",0,0.3659,0.2679,"{""unworn"":0.5357142857142857,""worn"":0.0}","[[15,2],[24,0]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,5,6,"{""0"":5,""1"":5}",0,0.5122,0.3788,"{""unworn"":0.09090909090909091,""worn"":0.6666666666666666}","[[1,16],[4,20]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,5,7,"{""0"":5,""1"":5}",0,0.4146,0.3850,"{""unworn"":0.25,""worn"":0.52}","[[4,13],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,5,8,"{""0"":5,""1"":5}",0,0.5854,0.3692,"{""unworn"":0.0,""worn"":0.7384615384615385}","[[0,17],[0,24]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,5,9,"{""0"":5,""1"":5}",0,0.4146,0.3850,"{""unworn"":0.52,""worn"":0.25}","[[13,4],[20,4]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,10,0,"{""0"":10,""1"":10}",0,0.4634,0.3520,"{""unworn"":0.08333333333333333,""worn"":0.6206896551724138}","[[1,16],[6,18]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,10,1,"{""0"":10,""1"":10}",0,0.5122,0.4109,"{""unworn"":0.16666666666666666,""worn"":0.6551724137931034}","[[2,15],[5,19]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,10,2,"{""0"":10,""1"":10}",0,0.4878,0.4829,"{""unworn"":0.5333333333333333,""worn"":0.43243243243243246}","[[12,5],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,10,3,"{""0"":10,""1"":10}",0,0.3171,0.2966,"{""unworn"":0.4166666666666667,""worn"":0.17647058823529413}","[[10,7],[21,3]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,10,4,"{""0"":10,""1"":10}",0,0.4878,0.4202,"{""unworn"":0.2222222222222222,""worn"":0.6181818181818182}","[[3,14],[7,17]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,10,5,"{""0"":10,""1"":10}",0,0.5366,0.3492,"{""unworn"":0.0,""worn"":0.6984126984126984}","[[0,17],[2,22]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,10,6,"{""0"":10,""1"":10}",0,0.5610,0.3594,"{""unworn"":0.0,""worn"":0.71875}","[[0,17],[1,23]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,10,7,"{""0"":10,""1"":10}",0,0.4634,0.4473,"{""unworn"":0.35294117647058826,""worn"":0.5416666666666666}","[[6,11],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,10,8,"{""0"":10,""1"":10}",0,0.5854,0.4864,"{""unworn"":0.2608695652173913,""worn"":0.711864406779661}","[[3,14],[3,21]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_experiment_split,real_only,10,9,"{""0"":10,""1"":10}",0,0.5366,0.5366,"{""unworn"":0.5365853658536586,""worn"":0.5365853658536586}","[[11,6],[13,11]]","[""unworn"",""worn""]"
