dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,2,0,"{""0"":2,""1"":2}",40,0.3415,0.3351,"{""unworn"":0.2702702702702703,""worn"":0.4}","[[5,12],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,2,1,"{""0"":2,""1"":2}",40,0.4390,0.4390,"{""unworn"":0.43902439024390244,""worn"":0.43902439024390244}","[[9,8],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,2,2,"{""0"":2,""1"":2}",40,0.3659,0.2950,"{""unworn"":0.07142857142857142,""worn"":0.5185185185185185}","[[1,16],[10,14]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,2,3,"{""0"":2,""1"":2}",40,0.3171,0.2641,"{""unworn"":0.06666666666666667,""worn"":0.46153846153846156}","[[1,16],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,2,4,"{""0"":2,""1"":2}",40,0.3659,0.3624,"{""unworn"":0.3157894736842105,""worn"":0.4090909090909091}","[[6,11],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,2,5,"{""0"":2,""1"":2}",40,0.3171,0.3134,"{""unworn"":0.2631578947368421,""worn"":0.36363636363636365}","[[5,12],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,2,6,"{""0"":2,""1"":2}",40,0.2927,0.2772,"{""unworn"":0.17142857142857143,""worn"":0.3829787234042553}","[[3,14],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,2,7,"{""0"":2,""1"":2}",40,0.3171,0.2641,"{""unworn"":0.06666666666666667,""worn"":0.46153846153846156}","[[1,16],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,2,8,"{""0"":2,""1"":2}",40,0.3171,0.3068,"{""unworn"":0.2222222222222222,""worn"":0.391304347826087}","[[4,13],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,2,9,"{""0"":2,""1"":2}",40,0.2927,0.2647,"{""unworn"":0.12121212121212122,""worn"":0.40816326530612246}","[[2,15],[14,10]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,5,0,"{""0"":5,""1"":5}",40,0.2927,0.2859,"{""unworn"":0.21621621621621623,""worn"":0.35555555555555557}","[[4,13],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,5,1,"{""0"":5,""1"":5}",40,0.3171,0.3134,"{""unworn"":0.2631578947368421,""worn"":0.36363636363636365}","[[5,12],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,5,2,"{""0"":5,""1"":5}",40,0.4390,0.4390,"{""unworn"":0.43902439024390244,""worn"":0.43902439024390244}","[[9,8],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,5,3,"{""0"":5,""1"":5}",40,0.3415,0.2798,"{""unworn"":0.06896551724137931,""worn"":0.49056603773584906}","[[1,16],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,5,4,"{""0"":5,""1"":5}",40,0.3659,0.3563,"{""unworn"":0.2777777777777778,""worn"":0.43478260869565216}","[[5,12],[14,10]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,5,5,"{""0"":5,""1"":5}",40,0.3415,0.3351,"{""unworn"":0.2702702702702703,""worn"":0.4}","[[5,12],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,5,6,"{""0"":5,""1"":5}",40,0.3171,0.2825,"{""unworn"":0.125,""worn"":0.44}","[[2,15],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,5,7,"{""0"":5,""1"":5}",40,0.3415,0.2798,"{""unworn"":0.06896551724137931,""worn"":0.49056603773584906}","[[1,16],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,5,8,"{""0"":5,""1"":5}",40,0.2927,0.2479,"{""unworn"":0.06451612903225806,""worn"":0.43137254901960786}","[[1,16],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,5,9,"{""0"":5,""1"":5}",40,0.3171,0.2641,"{""unworn"":0.06666666666666667,""worn"":0.46153846153846156}","[[1,16],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,10,0,"{""0"":10,""1"":10}",40,0.3171,0.2641,"{""unworn"":0.06666666666666667,""worn"":0.46153846153846156}","[[1,16],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_smoke,custom_pool,10,1,"{""0"":10,""1"":10}",40,0.3171,0.3134,"{""unworn"":0.2631578947368421,""worn"":0.36363636363636365}","[[5,12],[16,8]]","[""unworn"",""worn""]"
