dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,2,0,"{""0"":2,""1"":2}",80,0.2927,0.2479,"{""unworn"":0.06451612903225806,""worn"":0.43137254901960786}","[[1,16],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,2,1,"{""0"":2,""1"":2}",80,0.3902,0.3888,"{""unworn"":0.4186046511627907,""worn"":0.358974358974359}","[[9,8],[17,7]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,2,2,"{""0"":2,""1"":2}",80,0.3415,0.3154,"{""unworn"":0.18181818181818182,""worn"":0.4489795918367347}","[[3,14],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,2,3,"{""0"":2,""1"":2}",80,0.2927,0.2647,"{""unworn"":0.12121212121212122,""worn"":0.40816326530612246}","[[2,15],[14,10]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,2,4,"{""0"":2,""1"":2}",80,0.3171,0.3068,"{""unworn"":0.2222222222222222,""worn"":0.391304347826087}","[[4,13],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,2,5,"{""0"":2,""1"":2}",80,0.3415,0.3271,"{""unworn"":0.22857142857142856,""worn"":0.425531914893617}","[[4,13],[14,10]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,2,6,"{""0"":2,""1"":2}",80,0.2683,0.2572,"{""unworn"":0.16666666666666666,""worn"":0.34782608695652173}","[[3,14],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,2,7,"{""0"":2,""1"":2}",80,0.3659,0.3624,"{""unworn"":0.3157894736842105,""worn"":0.4090909090909091}","[[6,11],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,2,8,"{""0"":2,""1"":2}",80,0.2683,0.2463,"{""unworn"":0.11764705882352941,""worn"":0.375}","[[2,15],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,2,9,"{""0"":2,""1"":2}",80,0.3171,0.3068,"{""unworn"":0.2222222222222222,""worn"":0.391304347826087}","[[4,13],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,5,0,"{""0"":5,""1"":5}",80,0.3171,0.3134,"{""unworn"":0.2631578947368421,""worn"":0.36363636363636365}","[[5,12],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,5,1,"{""0"":5,""1"":5}",80,0.3415,0.3399,"{""unworn"":0.3076923076923077,""worn"":0.37209302325581395}","[[6,11],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,5,2,"{""0"":5,""1"":5}",80,0.3902,0.3888,"{""unworn"":0.4186046511627907,""worn"":0.358974358974359}","[[9,8],[17,7]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,5,3,"{""0"":5,""1"":5}",80,0.2927,0.2772,"{""unworn"":0.17142857142857143,""worn"":0.3829787234042553}","[[3,14],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,5,4,"{""0"":5,""1"":5}",80,0.3415,0.3399,"{""unworn"":0.3076923076923077,""worn"":0.37209302325581395}","[[6,11],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_surrogate_nsyn40,custom_pool,5,5,"{""0"":5,""1"":5}",80,0.3902,0.3902,"{""unworn"":0.3902439024390244,""worn"":0.3902439024390244}","[[8,9],[16,8]]","[""unworn"",""worn""]"
