dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,2,0,"{""0"":2,""1"":2}",20,0.4146,0.3242,"{""unworn"":0.07692307692307693,""worn"":0.5714285714285714}","[[1,16],[8,16]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,2,1,"{""0"":2,""1"":2}",20,0.5610,0.3594,"{""unworn"":0.0,""worn"":0.71875}","[[0,17],[1,23]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,2,2,"{""0"":2,""1"":2}",20,0.5854,0.3692,"{""unworn"":0.0,""worn"":0.7384615384615385}","[[0,17],[0,24]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,2,3,"{""0"":2,""1"":2}",20,0.5854,0.3692,"{""unworn"":0.0,""worn"":0.7384615384615385}","[[0,17],[0,24]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,2,4,"{""0"":2,""1"":2}",20,0.3902,0.3098,"{""unworn"":0.07407407407407407,""worn"":0.5454545454545454}","[[1,16],[9,15]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,2,5,"{""0"":2,""1"":2}",20,0.3902,0.3098,"{""unworn"":0.07407407407407407,""worn"":0.5454545454545454}","[[1,16],[9,15]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,2,6,"{""0"":2,""1"":2}",20,0.4878,0.3655,"{""unworn"":0.08695652173913043,""worn"":0.6440677966101694}","[[1,16],[5,19]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,2,7,"{""0"":2,""1"":2}",20,0.4634,0.3520,"{""unworn"":0.08333333333333333,""worn"":0.6206896551724138}","[[1,16],[6,18]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,2,8,"{""0"":2,""1"":2}",20,0.3415,0.2545,"{""unworn"":0.0,""worn"":0.509090909090909}","[[0,17],[10,14]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,2,9,"{""0"":2,""1"":2}",20,0.5854,0.4177,"{""unworn"":0.10526315789473684,""worn"":0.7301587301587301}","[[1,16],[1,23]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,5,0,"{""0"":5,""1"":5}",20,0.5610,0.3594,"{""unworn"":0.0,""worn"":0.71875}","[[0,17],[1,23]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,5,1,"{""0"":5,""1"":5}",20,0.4390,0.3865,"{""unworn"":0.20689655172413793,""worn"":0.5660377358490566}","[[3,14],[9,15]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,5,2,"{""0"":5,""1"":5}",20,0.4878,0.3958,"{""unworn"":0.16,""worn"":0.631578947368421}","[[2,15],[6,18]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,5,3,"{""0"":5,""1"":5}",20,0.4878,0.3655,"{""unworn"":0.08695652173913043,""worn"":0.6440677966101694}","[[1,16],[5,19]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,5,4,"{""0"":5,""1"":5}",20,0.5854,0.3692,"{""unworn"":0.0,""worn"":0.7384615384615385}","[[0,17],[0,24]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,5,5,"{""0"":5,""1"":5}",20,0.3659,0.3337,"{""unworn"":0.1875,""worn"":0.48}","[[3,14],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,5,6,"{""0"":5,""1"":5}",20,0.4390,0.3382,"{""unworn"":0.08,""worn"":0.5964912280701754}","[[1,16],[7,17]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,5,7,"{""0"":5,""1"":5}",20,0.5854,0.3692,"{""unworn"":0.0,""worn"":0.7384615384615385}","[[0,17],[0,24]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,5,8,"{""0"":5,""1"":5}",20,0.4878,0.3279,"{""unworn"":0.0,""worn"":0.6557377049180327}","[[0,17],[4,20]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,5,9,"{""0"":5,""1"":5}",20,0.5854,0.3692,"{""unworn"":0.0,""worn"":0.7384615384615385}","[[0,17],[0,24]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,10,0,"{""0"":10,""1"":10}",20,0.3171,0.2407,"{""unworn"":0.0,""worn"":0.48148148148148145}","[[0,17],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,10,1,"{""0"":10,""1"":10}",20,0.3659,0.3468,"{""unworn"":0.23529411764705882,""worn"":0.4583333333333333}","[[4,13],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,10,2,"{""0"":10,""1"":10}",20,0.3659,0.3167,"{""unworn"":0.13333333333333333,""worn"":0.5}","[[2,15],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,10,3,"{""0"":10,""1"":10}",20,0.4390,0.3650,"{""unworn"":0.14814814814814814,""worn"":0.5818181818181818}","[[2,15],[8,16]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,10,4,"{""0"":10,""1"":10}",20,0.3171,0.2825,"{""unworn"":0.125,""worn"":0.44}","[[2,15],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,10,5,"{""0"":10,""1"":10}",20,0.3415,0.2798,"{""unworn"":0.06896551724137931,""worn"":0.49056603773584906}","[[1,16],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,10,6,"{""0"":10,""1"":10}",20,0.3415,0.2998,"{""unworn"":0.12903225806451613,""worn"":0.47058823529411764}","[[2,15],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,10,7,"{""0"":10,""1"":10}",20,0.5610,0.3594,"{""unworn"":0.0,""worn"":0.71875}","[[0,17],[1,23]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,10,8,"{""0"":10,""1"":10}",20,0.5610,0.3594,"{""unworn"":0.0,""worn"":0.71875}","[[0,17],[1,23]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_llm_v2_nsyn10,custom_pool,10,9,"{""0"":10,""1"":10}",20,0.5122,0.3788,"{""unworn"":0.09090909090909091,""worn"":0.6666666666666666}","[[1,16],[4,20]]","[""unworn"",""worn""]"
