dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,2,0,"{""0"":2,""1"":2}",20,0.3415,0.3399,"{""unworn"":0.3076923076923077,""worn"":0.37209302325581395}","[[6,11],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,2,1,"{""0"":2,""1"":2}",20,0.3902,0.3769,"{""unworn"":0.46808510638297873,""worn"":0.2857142857142857}","[[11,6],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,2,2,"{""0"":2,""1"":2}",20,0.3415,0.3399,"{""unworn"":0.37209302325581395,""worn"":0.3076923076923077}","[[8,9],[18,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,2,3,"{""0"":2,""1"":2}",20,0.5122,0.4577,"{""unworn"":0.2857142857142857,""worn"":0.6296296296296297}","[[4,13],[7,17]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,2,4,"{""0"":2,""1"":2}",20,0.4146,0.3971,"{""unworn"":0.29411764705882354,""worn"":0.5}","[[5,12],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,2,5,"{""0"":2,""1"":2}",20,0.5366,0.3919,"{""unworn"":0.09523809523809523,""worn"":0.6885245901639344}","[[1,16],[3,21]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,2,6,"{""0"":2,""1"":2}",20,0.2927,0.2859,"{""unworn"":0.21621621621621623,""worn"":0.35555555555555557}","[[4,13],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,2,7,"{""0"":2,""1"":2}",20,0.3659,0.2679,"{""unworn"":0.0,""worn"":0.5357142857142857}","[[0,17],[9,15]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,2,8,"{""0"":2,""1"":2}",20,0.3659,0.3167,"{""unworn"":0.13333333333333333,""worn"":0.5}","[[2,15],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,2,9,"{""0"":2,""1"":2}",20,0.4878,0.3958,"{""unworn"":0.16,""worn"":0.631578947368421}","[[2,15],[6,18]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,5,0,"{""0"":5,""1"":5}",20,0.4146,0.3850,"{""unworn"":0.25,""worn"":0.52}","[[4,13],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,5,1,"{""0"":5,""1"":5}",20,0.4878,0.4675,"{""unworn"":0.36363636363636365,""worn"":0.5714285714285714}","[[6,11],[10,14]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,5,2,"{""0"":5,""1"":5}",20,0.4878,0.4675,"{""unworn"":0.36363636363636365,""worn"":0.5714285714285714}","[[6,11],[10,14]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,5,3,"{""0"":5,""1"":5}",20,0.5366,0.3492,"{""unworn"":0.0,""worn"":0.6984126984126984}","[[0,17],[2,22]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,5,4,"{""0"":5,""1"":5}",20,0.4390,0.3051,"{""unworn"":0.0,""worn"":0.6101694915254238}","[[0,17],[6,18]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,5,5,"{""0"":5,""1"":5}",20,0.3659,0.3468,"{""unworn"":0.23529411764705882,""worn"":0.4583333333333333}","[[4,13],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,5,6,"{""0"":5,""1"":5}",20,0.2927,0.2479,"{""unworn"":0.06451612903225806,""worn"":0.43137254901960786}","[[1,16],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,5,7,"{""0"":5,""1"":5}",20,0.4390,0.3650,"{""unworn"":0.14814814814814814,""worn"":0.5818181818181818}","[[2,15],[8,16]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,5,8,"{""0"":5,""1"":5}",20,0.3415,0.3154,"{""unworn"":0.18181818181818182,""worn"":0.4489795918367347}","[[3,14],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,5,9,"{""0"":5,""1"":5}",20,0.5122,0.4368,"{""unworn"":0.23076923076923078,""worn"":0.6428571428571429}","[[3,14],[6,18]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,10,0,"{""0"":10,""1"":10}",20,0.2683,0.2313,"{""unworn"":0.0625,""worn"":0.4}","[[1,16],[14,10]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,10,1,"{""0"":10,""1"":10}",20,0.3415,0.3399,"{""unworn"":0.3076923076923077,""worn"":0.37209302325581395}","[[6,11],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,10,2,"{""0"":10,""1"":10}",20,0.4146,0.4143,"{""unworn"":0.4,""worn"":0.42857142857142855}","[[8,9],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,10,3,"{""0"":10,""1"":10}",20,0.3659,0.3563,"{""unworn"":0.2777777777777778,""worn"":0.43478260869565216}","[[5,12],[14,10]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,10,4,"{""0"":10,""1"":10}",20,0.3415,0.3154,"{""unworn"":0.18181818181818182,""worn"":0.4489795918367347}","[[3,14],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,10,5,"{""0"":10,""1"":10}",20,0.2927,0.2772,"{""unworn"":0.17142857142857143,""worn"":0.3829787234042553}","[[3,14],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,10,6,"{""0"":10,""1"":10}",20,0.2927,0.2479,"{""unworn"":0.06451612903225806,""worn"":0.43137254901960786}","[[1,16],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,10,7,"{""0"":10,""1"":10}",20,0.5122,0.4109,"{""unworn"":0.16666666666666666,""worn"":0.6551724137931034}","[[2,15],[5,19]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,10,8,"{""0"":10,""1"":10}",20,0.4634,0.3805,"{""unworn"":0.15384615384615385,""worn"":0.6071428571428571}","[[2,15],[7,17]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn10,custom_pool,10,9,"{""0"":10,""1"":10}",20,0.3902,0.3517,"{""unworn"":0.1935483870967742,""worn"":0.5098039215686274}","[[3,14],[11,13]]","[""unworn"",""worn""]"
