dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,2,0,"{""0"":2,""1"":2}",80,0.5122,0.5096,"{""unworn"":0.5454545454545454,""worn"":0.47368421052631576}","[[12,5],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,2,1,"{""0"":2,""1"":2}",80,0.5366,0.5355,"{""unworn"":0.5128205128205128,""worn"":0.5581395348837209}","[[10,7],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,2,2,"{""0"":2,""1"":2}",80,0.4634,0.4605,"{""unworn"":0.5,""worn"":0.42105263157894735}","[[11,6],[16,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,2,3,"{""0"":2,""1"":2}",80,0.3902,0.3888,"{""unworn"":0.4186046511627907,""worn"":0.358974358974359}","[[9,8],[17,7]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,2,4,"{""0"":2,""1"":2}",80,0.4634,0.4473,"{""unworn"":0.35294117647058826,""worn"":0.5416666666666666}","[[6,11],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,2,5,"{""0"":2,""1"":2}",80,0.4390,0.3650,"{""unworn"":0.5818181818181818,""worn"":0.14814814814814814}","[[16,1],[22,2]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,2,6,"{""0"":2,""1"":2}",80,0.5610,0.5543,"{""unworn"":0.5,""worn"":0.6086956521739131}","[[9,8],[10,14]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,2,7,"{""0"":2,""1"":2}",80,0.5122,0.5096,"{""unworn"":0.47368421052631576,""worn"":0.5454545454545454}","[[9,8],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,2,8,"{""0"":2,""1"":2}",80,0.4634,0.4605,"{""unworn"":0.42105263157894735,""worn"":0.5}","[[8,9],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,2,9,"{""0"":2,""1"":2}",80,0.4634,0.4473,"{""unworn"":0.5416666666666666,""worn"":0.35294117647058826}","[[13,4],[18,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,5,0,"{""0"":5,""1"":5}",80,0.3415,0.3351,"{""unworn"":0.4,""worn"":0.2702702702702703}","[[9,8],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,5,1,"{""0"":5,""1"":5}",80,0.5610,0.5607,"{""unworn"":0.55,""worn"":0.5714285714285714}","[[11,6],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,5,2,"{""0"":5,""1"":5}",80,0.5122,0.4875,"{""unworn"":0.6,""worn"":0.375}","[[15,2],[18,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,5,3,"{""0"":5,""1"":5}",80,0.3415,0.3154,"{""unworn"":0.18181818181818182,""worn"":0.4489795918367347}","[[3,14],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,5,4,"{""0"":5,""1"":5}",80,0.5366,0.3919,"{""unworn"":0.09523809523809523,""worn"":0.6885245901639344}","[[1,16],[3,21]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,5,5,"{""0"":5,""1"":5}",80,0.4146,0.3242,"{""unworn"":0.5714285714285714,""worn"":0.07692307692307693}","[[16,1],[23,1]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,5,6,"{""0"":5,""1"":5}",80,0.4878,0.4554,"{""unworn"":0.3225806451612903,""worn"":0.5882352941176471}","[[5,12],[9,15]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,5,7,"{""0"":5,""1"":5}",80,0.5610,0.5478,"{""unworn"":0.47058823529411764,""worn"":0.625}","[[8,9],[9,15]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,5,8,"{""0"":5,""1"":5}",80,0.4146,0.3971,"{""unworn"":0.29411764705882354,""worn"":0.5}","[[5,12],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,5,9,"{""0"":5,""1"":5}",80,0.5366,0.4932,"{""unworn"":0.3448275862068966,""worn"":0.6415094339622641}","[[5,12],[7,17]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v2_scan_nsyn40,custom_pool,10,0,"{""0"":10,""1"":10}",80,0.4146,0.3492,"{""unworn"":0.5555555555555556,""worn"":0.14285714285714285}","[[15,2],[22,2]]","[""unworn"",""worn""]"
