active_rows,clamp_pressure,dataset,experiment,feedrate,label,split,windows
991,4.0,UMich_CNC,1,6,unworn,test,15
1069,4.0,UMich_CNC,2,20,unworn,test,16
1072,3.0,UMich_CNC,3,6,unworn,train,16
387,2.5,UMich_CNC,4,6,unworn,train,6
72,3.0,UMich_CNC,5,20,unworn,train,1
1036,4.0,UMich_CNC,6,6,worn,test,16
327,4.0,UMich_CNC,7,20,worn,test,5
412,4.0,UMich_CNC,8,20,worn,test,6
625,4.0,UMich_CNC,9,15,worn,train,9
994,4.0,UMich_CNC,10,12,worn,train,15
1609,4.0,UMich_CNC,11,3,unworn,train,25
1514,3.0,UMich_CNC,12,3,unworn,train,23
1566,4.0,UMich_CNC,13,3,worn,train,24
1843,3.0,UMich_CNC,14,3,worn,train,28
769,3.0,UMich_CNC,15,6,worn,train,12
213,3.0,UMich_CNC,16,20,worn,train,3
1328,2.5,UMich_CNC,17,3,unworn,train,20
1693,2.5,UMich_CNC,18,3,worn,train,26
