method,n_real,acc_mean,f1_mean,acc_std,f1_std,rows
noise_aug,2,0.46097,0.43838999999999995,0.0731329390752059,0.071407429585443,10
random_open_loop,2,0.43901,0.40077999999999997,0.08211953956140877,0.10033745063534352,10
real_only,2,0.5,0.46905,0.0692528378881007,0.07913719802413471,10
rule,2,0.34148999999999996,0.31106,0.07966285137307656,0.058175256290320235,10
noise_aug,5,0.4658399999999999,0.44436,0.061351432112235364,0.07038986985197357,10
random_open_loop,5,0.49512999999999996,0.43743999999999994,0.09416137507256124,0.0926888606515847,10
real_only,5,0.47072,0.42368000000000006,0.05277273706922712,0.05813841338659932,10
rule,5,0.34147,0.29802999999999996,0.05747364710118117,0.041503414852809936,10
noise_aug,10,0.43414,0.41795,0.10894010790847927,0.1063071989827385,10
random_open_loop,10,0.40244,0.37026,0.08544920778515804,0.08396930920812014,10
real_only,10,0.45365,0.38193,0.10797421760154907,0.10761900957647874,10
rule,10,0.34392,0.31212,0.053237179990429,0.03900466638749779,10
