variant,n_syn_per_class,n_real,metric,llm,noise_aug,rule,random_open_loop,ge_noise_aug,ge_rule,ge_random_open_loop,pass_all_controls
llm_v2_repair,10,2,acc,0.48049,0.4683,0.40488999999999997,0.47316,True,True,True,True
llm_v2_repair,10,2,macro_f1,0.34313000000000005,0.41097,0.35696999999999995,0.42889,False,False,False,False
llm_v2_repair,10,5,acc,0.50245,0.49512999999999996,0.43171,0.4731599999999999,True,True,True,True
llm_v2_repair,10,5,macro_f1,0.36146,0.43925000000000003,0.36862,0.4139900000000001,False,False,False,False
llm_v2_repair,10,10,acc,0.41222000000000003,0.44634999999999997,0.36829999999999996,0.44878,False,True,False,False
llm_v2_repair,10,10,macro_f1,0.32289,0.40308,0.33254,0.3971,False,False,False,False
llm_v2_repair,20,2,acc,0.34149,0.46097,0.34148999999999996,0.43901,False,True,False,False
llm_v2_repair,20,2,macro_f1,0.29399999999999993,0.43838999999999995,0.31106,0.40077999999999997,False,False,False,False
llm_v2_repair,20,5,acc,0.36831,0.4658399999999999,0.34147,0.49512999999999996,False,True,False,False
llm_v2_repair,20,5,macro_f1,0.31706,0.44436,0.29802999999999996,0.43743999999999994,False,True,False,False
llm_v2_repair,20,10,acc,0.37074,0.43414,0.34392,0.40244,False,True,False,False
llm_v2_repair,20,10,macro_f1,0.32055,0.41795,0.31212,0.37026,False,True,False,False
llm_v2_repair,40,2,acc,0.31466000000000005,0.44392,0.30978,0.48048,False,True,False,False
llm_v2_repair,40,2,macro_f1,0.28473,0.43704,0.28054999999999997,0.46784,False,True,False,False
llm_v2_repair,40,5,acc,0.35368,0.46829,0.2927,0.47074,False,True,False,False
llm_v2_repair,40,5,macro_f1,0.33536,0.45958000000000004,0.26765,0.43083,False,True,False,False
llm_v2_repair,40,10,acc,0.3488,0.41952,0.33417,0.46340000000000003,False,True,False,False
llm_v2_repair,40,10,macro_f1,0.33185,0.41253,0.30778,0.44184999999999997,False,True,False,False
original_llm,20,2,acc,0.33661,0.46097,0.34148999999999996,0.43901,False,False,False,False
original_llm,20,2,macro_f1,0.31218,0.43838999999999995,0.31106,0.40077999999999997,False,True,False,False
original_llm,20,5,acc,0.33660999999999996,0.4658399999999999,0.34147,0.49512999999999996,False,False,False,False
original_llm,20,5,macro_f1,0.30838,0.44436,0.29802999999999996,0.43743999999999994,False,True,False,False
original_llm,20,10,acc,0.33661,0.43414,0.34392,0.40244,False,False,False,False
original_llm,20,10,macro_f1,0.30624,0.41795,0.31212,0.37026,False,False,False,False
surrogate_rerender,10,2,acc,0.45124,0.4683,0.40488999999999997,0.47316,False,True,False,False
surrogate_rerender,10,2,macro_f1,0.34961000000000003,0.41097,0.35696999999999995,0.42889,False,False,False,False
surrogate_rerender,10,5,acc,0.47074999999999995,0.49512999999999996,0.43171,0.4731599999999999,False,True,False,False
surrogate_rerender,10,5,macro_f1,0.33997,0.43925000000000003,0.36862,0.4139900000000001,False,False,False,False
surrogate_rerender,10,10,acc,0.4146500000000001,0.44634999999999997,0.36829999999999996,0.44878,False,True,False,False
surrogate_rerender,10,10,macro_f1,0.32913,0.40308,0.33254,0.3971,False,False,False,False
surrogate_rerender,20,2,acc,0.33905,0.46097,0.34148999999999996,0.43901,False,False,False,False
surrogate_rerender,20,2,macro_f1,0.31577999999999995,0.43838999999999995,0.31106,0.40077999999999997,False,True,False,False
surrogate_rerender,20,5,acc,0.34636,0.4658399999999999,0.34147,0.49512999999999996,False,True,False,False
surrogate_rerender,20,5,macro_f1,0.32319,0.44436,0.29802999999999996,0.43743999999999994,False,True,False,False
surrogate_rerender,20,10,acc,0.34391,0.43414,0.34392,0.40244,False,False,False,False
surrogate_rerender,20,10,macro_f1,0.3179,0.41795,0.31212,0.37026,False,True,False,False
surrogate_rerender,40,2,acc,0.31953000000000004,0.44392,0.30978,0.48048,False,True,False,False
surrogate_rerender,40,2,macro_f1,0.30234,0.43704,0.28054999999999997,0.46784,False,True,False,False
surrogate_rerender,40,5,acc,0.34147,0.46829,0.2927,0.47074,False,True,False,False
surrogate_rerender,40,5,macro_f1,0.33152,0.45958000000000004,0.26765,0.43083,False,True,False,False
surrogate_rerender,40,10,acc,0.34635999999999995,0.41952,0.33417,0.46340000000000003,False,True,False,False
surrogate_rerender,40,10,macro_f1,0.33604,0.41253,0.30778,0.44184999999999997,False,True,False,False
