variant,n_syn_per_class,method,n_real,acc_mean,acc_std,macro_f1_mean,macro_f1_std,seeds,rows,csv,f1_unworn_mean,f1_worn_mean
controls,20,noise_aug,2,0.46097,0.0731329390752059,0.43838999999999995,0.071407429585443,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_noise_aug_nsyn20.csv,0.41114862489691484,0.4656289977183111
controls,20,random_open_loop,2,0.43901,0.08211953956140877,0.40077999999999997,0.10033745063534352,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_random_open_loop_nsyn20.csv,0.43469239735923304,0.36687071016036443
controls,20,rule,2,0.34148999999999996,0.07966285137307656,0.31106,0.058175256290320235,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_rule_nsyn20.csv,0.188619812193981,0.4334868230626096
controls,20,noise_aug,5,0.4658399999999999,0.061351432112235364,0.44436,0.07038986985197357,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_noise_aug_nsyn20.csv,0.4023351621157144,0.4864006555235327
controls,20,random_open_loop,5,0.49512999999999996,0.09416137507256124,0.43743999999999994,0.0926888606515847,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_random_open_loop_nsyn20.csv,0.3776597693708556,0.497248295564085
controls,20,rule,5,0.34147,0.05747364710118117,0.29802999999999996,0.041503414852809936,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_rule_nsyn20.csv,0.138022782176008,0.4580246983552202
controls,20,noise_aug,10,0.43414,0.10894010790847927,0.41795,0.1063071989827385,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_noise_aug_nsyn20.csv,0.34603293257705026,0.4898794465306093
controls,20,random_open_loop,10,0.40244,0.08544920778515804,0.37026,0.08396930920812014,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_random_open_loop_nsyn20.csv,0.3017430890536042,0.4387595811767426
controls,20,rule,10,0.34392,0.053237179990429,0.31212,0.03900466638749779,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_controls_nsyn20_10seed/umich_v2_rule_nsyn20.csv,0.17409607277254335,0.45013362641841564
controls_and_original_llm,10,llm,2,0.4366,0.1043946145907707,0.32694,0.05145218276332999,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn10_10seed/umich_v2_llm_nsyn10.csv,0.07067156897741605,0.5831874311211258
