n_syn_per_class,method,n_real,class,f1_mean,f1_min,f1_max
10,llm,2,unworn,0.07067156897741605,0.0,0.2222222222222222
10,llm,2,worn,0.5831874311211258,0.391304347826087,0.71875
10,noise_aug,2,unworn,0.3288047430937923,0.0,0.6296296296296297
10,noise_aug,2,worn,0.4931405854171606,0.2,0.7384615384615385
10,random_open_loop,2,unworn,0.44275560055400137,0.17391304347826086,0.6363636363636364
10,random_open_loop,2,worn,0.4150096009813072,0.0,0.7368421052631579
10,rule,2,unworn,0.23324900148918543,0.0,0.46808510638297873
10,rule,2,worn,0.48065026250942333,0.2857142857142857,0.6885245901639344
10,llm,5,unworn,0.09287814743654565,0.0,0.25
10,llm,5,worn,0.5705948656671631,0.4489795918367347,0.7384615384615385
10,noise_aug,5,unworn,0.32796544891916557,0.07407407407407407,0.5333333333333333
10,noise_aug,5,worn,0.5505398193206081,0.35,0.7213114754098361
10,random_open_loop,5,unworn,0.41465924760671946,0.1,0.6071428571428571
10,random_open_loop,5,worn,0.41334928740526466,0.0,0.72
10,rule,5,unworn,0.18378185346876047,0.0,0.36363636363636365
10,rule,5,worn,0.5534800131660266,0.43137254901960786,0.6984126984126984
10,llm,10,unworn,0.15380716597507182,0.0,0.3333333333333333
10,llm,10,worn,0.5354206523598519,0.36363636363636365,0.75
10,noise_aug,10,unworn,0.291394370879665,0.0,0.47619047619047616
10,noise_aug,10,worn,0.5147745726340351,0.3157894736842105,0.7272727272727273
10,random_open_loop,10,unworn,0.2862592635689292,0.0,0.5333333333333333
10,random_open_loop,10,worn,0.5079197901160465,0.32558139534883723,0.75
10,rule,10,unworn,0.19797941753586917,0.0625,0.4
10,rule,10,worn,0.4670897117288081,0.37209302325581395,0.6551724137931034
20,llm,2,unworn,0.20078668485600448,0.06666666666666667,0.43902439024390244
20,llm,2,worn,0.4235793441103081,0.36363636363636365,0.5185185185185185
20,noise_aug,2,unworn,0.41114862489691484,0.09523809523809523,0.5714285714285714
20,noise_aug,2,worn,0.4656289977183111,0.2631578947368421,0.6885245901639344
20,random_open_loop,2,unworn,0.43469239735923304,0.0625,0.6
20,random_open_loop,2,worn,0.36687071016036443,0.0,0.6382978723404256
20,rule,2,unworn,0.188619812193981,0.07142857142857142,0.35
20,rule,2,worn,0.4334868230626096,0.3111111111111111,0.6779661016949152
20,llm,5,unworn,0.18605603794266923,0.06451612903225806,0.43902439024390244
20,llm,5,worn,0.4307042004161241,0.35555555555555557,0.49056603773584906
20,noise_aug,5,unworn,0.4023351621157144,0.13793103448275862,0.5306122448979592
20,noise_aug,5,worn,0.4864006555235327,0.30303030303030304,0.64
20,random_open_loop,5,unworn,0.3776597693708556,0.0,0.5964912280701754
20,random_open_loop,5,worn,0.497248295564085,0.08,0.7384615384615385
20,rule,5,unworn,0.138022782176008,0.06451612903225806,0.3
20,rule,5,worn,0.4580246983552202,0.3333333333333333,0.5714285714285714
20,llm,10,unworn,0.1757836463680117,0.06666666666666667,0.35
20,llm,10,worn,0.43669297369297366,0.36363636363636365,0.5454545454545454
20,noise_aug,10,unworn,0.34603293257705026,0.1875,0.5333333333333333
20,noise_aug,10,worn,0.4898794465306093,0.32558139534883723,0.7307692307692307
20,random_open_loop,10,unworn,0.3017430890536042,0.06666666666666667,0.5416666666666666
20,random_open_loop,10,worn,0.4387595811767426,0.2777777777777778,0.6440677966101694
20,rule,10,unworn,0.17409607277254335,0.07142857142857142,0.2777777777777778
20,rule,10,worn,0.45013362641841564,0.34782608695652173,0.5818181818181818
40,llm,2,unworn,0.2001206142382613,0.11764705882352941,0.3076923076923077
40,llm,2,worn,0.3874693024094879,0.35555555555555557,0.425531914893617
40,noise_aug,2,unworn,0.4304757704368898,0.1875,0.6046511627906976
40,noise_aug,2,worn,0.44360356096620535,0.22857142857142856,0.5641025641025641
40,random_open_loop,2,unworn,0.4848042576498549,0.35294117647058826,0.5818181818181818
40,random_open_loop,2,worn,0.4508756924877204,0.14814814814814814,0.6086956521739131
40,rule,2,unworn,0.13781855557472256,0.0625,0.22857142857142856
40,rule,2,worn,0.4232752334976544,0.3829787234042553,0.48
40,llm,5,unworn,0.20636709478465196,0.06451612903225806,0.35
40,llm,5,worn,0.3958231939338604,0.3404255319148936,0.43137254901960786
40,noise_aug,5,unworn,0.44465416563063254,0.22857142857142856,0.6046511627906976
40,noise_aug,5,worn,0.4744905303719215,0.35294117647058826,0.5882352941176471
40,random_open_loop,5,unworn,0.38305989622059766,0.09523809523809523,0.6
40,random_open_loop,5,worn,0.47858708287024987,0.07692307692307693,0.6885245901639344
40,rule,5,unworn,0.135176377491368,0.06451612903225806,0.2222222222222222
40,rule,5,worn,0.4001263224993975,0.3404255319148936,0.4489795918367347
40,llm,10,unworn,0.19547890891581593,0.058823529411764705,0.4
40,llm,10,worn,0.39780402015878813,0.3333333333333333,0.4489795918367347
40,noise_aug,10,unworn,0.3592999760288139,0.22857142857142856,0.5945945945945946
40,noise_aug,10,worn,0.4657522383453264,0.34146341463414637,0.6666666666666666
40,random_open_loop,10,unworn,0.453632500465688,0.2,0.5555555555555556
40,random_open_loop,10,worn,0.43007561203154837,0.14285714285714285,0.6666666666666666
40,rule,10,unworn,0.17922779608263478,0.06451612903225806,0.2857142857142857
40,rule,10,worn,0.43635098180736753,0.4,0.47058823529411764
