dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,0,"{""0"":2,""1"":2}",40,0.2683,0.2679,"{""unworn"":0.25,""worn"":0.2857142857142857}","[[5,12],[18,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,1,"{""0"":2,""1"":2}",40,0.4390,0.3865,"{""unworn"":0.5660377358490566,""worn"":0.20689655172413793}","[[15,2],[21,3]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,2,"{""0"":2,""1"":2}",40,0.3659,0.3337,"{""unworn"":0.1875,""worn"":0.48}","[[3,14],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,3,"{""0"":2,""1"":2}",40,0.3659,0.3563,"{""unworn"":0.43478260869565216,""worn"":0.2777777777777778}","[[10,7],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,4,"{""0"":2,""1"":2}",40,0.3902,0.3098,"{""unworn"":0.5454545454545454,""worn"":0.07407407407407407}","[[15,2],[23,1]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,5,"{""0"":2,""1"":2}",40,0.3171,0.2407,"{""unworn"":0.0,""worn"":0.48148148148148145}","[[0,17],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,6,"{""0"":2,""1"":2}",40,0.3171,0.3134,"{""unworn"":0.36363636363636365,""worn"":0.2631578947368421}","[[8,9],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,7,"{""0"":2,""1"":2}",40,0.4390,0.4336,"{""unworn"":0.3783783783783784,""worn"":0.4888888888888889}","[[7,10],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,8,"{""0"":2,""1"":2}",40,0.4146,0.2931,"{""unworn"":0.5862068965517241,""worn"":0.0}","[[17,0],[24,0]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,9,"{""0"":2,""1"":2}",40,0.3659,0.3468,"{""unworn"":0.4583333333333333,""worn"":0.23529411764705882}","[[11,6],[20,4]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,0,"{""0"":5,""1"":5}",40,0.2927,0.2772,"{""unworn"":0.3829787234042553,""worn"":0.17142857142857143}","[[9,8],[21,3]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,1,"{""0"":5,""1"":5}",40,0.3902,0.3098,"{""unworn"":0.5454545454545454,""worn"":0.07407407407407407}","[[15,2],[23,1]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,2,"{""0"":5,""1"":5}",40,0.3415,0.3154,"{""unworn"":0.18181818181818182,""worn"":0.4489795918367347}","[[3,14],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,3,"{""0"":5,""1"":5}",40,0.4878,0.4829,"{""unworn"":0.43243243243243246,""worn"":0.5333333333333333}","[[8,9],[12,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,4,"{""0"":5,""1"":5}",40,0.3415,0.3271,"{""unworn"":0.22857142857142856,""worn"":0.425531914893617}","[[4,13],[14,10]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,5,"{""0"":5,""1"":5}",40,0.3659,0.2679,"{""unworn"":0.0,""worn"":0.5357142857142857}","[[0,17],[9,15]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,6,"{""0"":5,""1"":5}",40,0.4878,0.3279,"{""unworn"":0.0,""worn"":0.6557377049180327}","[[0,17],[4,20]]","[""unworn"",""worn""]"
