dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,0,"{""0"":2,""1"":2}",40,0.3415,0.3399,"{""unworn"":0.37209302325581395,""worn"":0.3076923076923077}","[[8,9],[18,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,1,"{""0"":2,""1"":2}",40,0.3659,0.3468,"{""unworn"":0.4583333333333333,""worn"":0.23529411764705882}","[[11,6],[20,4]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,2,"{""0"":2,""1"":2}",40,0.2683,0.2644,"{""unworn"":0.21052631578947367,""worn"":0.3181818181818182}","[[4,13],[17,7]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,3,"{""0"":2,""1"":2}",40,0.2927,0.2479,"{""unworn"":0.06451612903225806,""worn"":0.43137254901960786}","[[1,16],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,4,"{""0"":2,""1"":2}",40,0.2683,0.2679,"{""unworn"":0.2857142857142857,""worn"":0.25}","[[6,11],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,5,"{""0"":2,""1"":2}",40,0.2927,0.2772,"{""unworn"":0.17142857142857143,""worn"":0.3829787234042553}","[[3,14],[15,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,6,"{""0"":2,""1"":2}",40,0.2927,0.2910,"{""unworn"":0.32558139534883723,""worn"":0.2564102564102564}","[[7,10],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,7,"{""0"":2,""1"":2}",40,0.3171,0.3068,"{""unworn"":0.391304347826087,""worn"":0.2222222222222222}","[[9,8],[20,4]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,8,"{""0"":2,""1"":2}",40,0.2927,0.2927,"{""unworn"":0.2926829268292683,""worn"":0.2926829268292683}","[[6,11],[18,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,2,9,"{""0"":2,""1"":2}",40,0.3415,0.3399,"{""unworn"":0.37209302325581395,""worn"":0.3076923076923077}","[[8,9],[18,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,0,"{""0"":5,""1"":5}",40,0.3415,0.3351,"{""unworn"":0.4,""worn"":0.2702702702702703}","[[9,8],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,1,"{""0"":5,""1"":5}",40,0.2927,0.2772,"{""unworn"":0.3829787234042553,""worn"":0.17142857142857143}","[[9,8],[21,3]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,2,"{""0"":5,""1"":5}",40,0.2683,0.2644,"{""unworn"":0.21052631578947367,""worn"":0.3181818181818182}","[[4,13],[17,7]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,3,"{""0"":5,""1"":5}",40,0.3415,0.3154,"{""unworn"":0.18181818181818182,""worn"":0.4489795918367347}","[[3,14],[13,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,4,"{""0"":5,""1"":5}",40,0.2927,0.2927,"{""unworn"":0.2926829268292683,""worn"":0.2926829268292683}","[[6,11],[18,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,5,"{""0"":5,""1"":5}",40,0.2927,0.2647,"{""unworn"":0.12121212121212122,""worn"":0.40816326530612246}","[[2,15],[14,10]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,6,"{""0"":5,""1"":5}",40,0.2927,0.2910,"{""unworn"":0.32558139534883723,""worn"":0.2564102564102564}","[[7,10],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,7,"{""0"":5,""1"":5}",40,0.3171,0.3134,"{""unworn"":0.36363636363636365,""worn"":0.2631578947368421}","[[8,9],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,8,"{""0"":5,""1"":5}",40,0.2439,0.2439,"{""unworn"":0.24390243902439024,""worn"":0.24390243902439024}","[[5,12],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,5,9,"{""0"":5,""1"":5}",40,0.2927,0.2927,"{""unworn"":0.2926829268292683,""worn"":0.2926829268292683}","[[6,11],[18,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,10,0,"{""0"":10,""1"":10}",40,0.2927,0.2927,"{""unworn"":0.2926829268292683,""worn"":0.2926829268292683}","[[6,11],[18,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,10,1,"{""0"":10,""1"":10}",40,0.3659,0.3655,"{""unworn"":0.38095238095238093,""worn"":0.35}","[[8,9],[17,7]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_controls_nsyn20,custom_pool,10,2,"{""0"":10,""1"":10}",40,0.3171,0.3167,"{""unworn"":0.3333333333333333,""worn"":0.3}","[[7,10],[18,6]]","[""unworn"",""worn""]"
