dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,2,0,"{""0"":2,""1"":2}",20,0.4878,0.3279,"{""unworn"":0.0,""worn"":0.6557377049180327}","[[0,17],[4,20]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,2,1,"{""0"":2,""1"":2}",20,0.5122,0.3387,"{""unworn"":0.0,""worn"":0.6774193548387096}","[[0,17],[3,21]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,2,2,"{""0"":2,""1"":2}",20,0.5122,0.3387,"{""unworn"":0.0,""worn"":0.6774193548387096}","[[0,17],[3,21]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,2,3,"{""0"":2,""1"":2}",20,0.5854,0.3692,"{""unworn"":0.0,""worn"":0.7384615384615385}","[[0,17],[0,24]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,2,4,"{""0"":2,""1"":2}",20,0.5366,0.3492,"{""unworn"":0.0,""worn"":0.6984126984126984}","[[0,17],[2,22]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,2,5,"{""0"":2,""1"":2}",20,0.5854,0.3692,"{""unworn"":0.0,""worn"":0.7384615384615385}","[[0,17],[0,24]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,2,6,"{""0"":2,""1"":2}",20,0.2439,0.1961,"{""unworn"":0.0,""worn"":0.39215686274509803}","[[0,17],[14,10]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,2,7,"{""0"":2,""1"":2}",20,0.2927,0.2910,"{""unworn"":0.32558139534883723,""worn"":0.2564102564102564}","[[7,10],[19,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,2,8,"{""0"":2,""1"":2}",20,0.3171,0.2407,"{""unworn"":0.0,""worn"":0.48148148148148145}","[[0,17],[11,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,2,9,"{""0"":2,""1"":2}",20,0.5122,0.3788,"{""unworn"":0.09090909090909091,""worn"":0.6666666666666666}","[[1,16],[4,20]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,5,0,"{""0"":5,""1"":5}",20,0.4634,0.3167,"{""unworn"":0.0,""worn"":0.6333333333333333}","[[0,17],[5,19]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,5,1,"{""0"":5,""1"":5}",20,0.5854,0.3692,"{""unworn"":0.0,""worn"":0.7384615384615385}","[[0,17],[0,24]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,5,2,"{""0"":5,""1"":5}",20,0.5854,0.4177,"{""unworn"":0.10526315789473684,""worn"":0.7301587301587301}","[[1,16],[1,23]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v3_llm_realbg_rescue_nsyn10,custom_pool,5,3,"{""0"":5,""1"":5}",20,0.5854,0.3692,"{""unworn"":0.0,""worn"":0.7384615384615385}","[[0,17],[0,24]]","[""unworn"",""worn""]"
