n_syn_per_class,method,n_real,acc_mean,macro_f1_mean,acc_std,macro_f1_std,rows,csv
10,noise_aug,2,0.4683,0.41097,0.08354916051177427,0.07464775132432176,10,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_noise_aug_nsyn10.csv
10,random_open_loop,2,0.4366,0.39651,0.09649992515828991,0.09330939514444525,10,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_random_open_loop_nsyn10.csv
10,rule,2,0.40488999999999997,0.34665,0.10231872262689755,0.059245914064459615,10,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_rule_nsyn10.csv
10,noise_aug,5,0.49512999999999996,0.43925000000000003,0.07887931780750757,0.061423127204299474,10,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_noise_aug_nsyn10.csv
10,random_open_loop,5,0.43658,0.37838000000000005,0.11231805830863628,0.0810181570870245,10,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_random_open_loop_nsyn10.csv
10,rule,5,0.40732,0.32405999999999996,0.11326604669243708,0.05122734079028936,10,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_rule_nsyn10.csv
10,noise_aug,10,0.44634999999999997,0.40308,0.11839177195509266,0.10384459328995205,10,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_noise_aug_nsyn10.csv
10,random_open_loop,10,0.41219,0.36985999999999997,0.09012817354560486,0.06414884081398337,10,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_random_open_loop_nsyn10.csv
10,rule,10,0.29025999999999996,0.26557000000000003,0.04804866052012042,0.037418802463170545,10,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_rule_nsyn10.csv
20,noise_aug,2,0.46097,0.43838999999999995,0.0731329390752059,0.071407429585443,10,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn20_10seed/umich_v3_noise_aug_nsyn20.csv
