variant,n_syn_per_class,method,n_real,acc_mean,macro_f1_mean,f1_unworn,f1_worn,csv
control,10,noise_aug,2,0.4683,0.41097,0.3288047430937923,0.4931405854171606,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_noise_aug_nsyn10.csv
control,10,random_open_loop,2,0.4366,0.39651,0.3459220317262607,0.4470792511581985,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_random_open_loop_nsyn10.csv
control,10,rule,2,0.40488999999999997,0.34665,0.18743387752462162,0.5058466641721263,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_rule_nsyn10.csv
llm_realbg_rescue,10,llm,2,0.45854999999999996,0.31995,0.041649048625792814,0.598262745723473,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_llm_realbg_rescue_nsyn10_10seed/umich_v3_realbg_llm_nsyn10.csv
control,10,noise_aug,5,0.49512999999999996,0.43925000000000003,0.32796544891916557,0.5505398193206081,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_noise_aug_nsyn10.csv
control,10,random_open_loop,5,0.43658,0.37838000000000005,0.3537637488022597,0.4030328966291128,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_random_open_loop_nsyn10.csv
control,10,rule,5,0.40732,0.32405999999999996,0.15171878894704982,0.49638804598355685,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_rule_nsyn10.csv
llm_realbg_rescue,10,llm,5,0.5073399999999999,0.34864999999999996,0.05112427015611413,0.6461969052786843,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_llm_realbg_rescue_nsyn10_10seed/umich_v3_realbg_llm_nsyn10.csv
control,10,noise_aug,10,0.44634999999999997,0.40308,0.291394370879665,0.5147745726340351,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_noise_aug_nsyn10.csv
control,10,random_open_loop,10,0.41219,0.36985999999999997,0.24743459238310495,0.4923006629826906,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_random_open_loop_nsyn10.csv
control,10,rule,10,0.29025999999999996,0.26557000000000003,0.17504304433097,0.3560855807207869,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_controls_nsyn10_10seed/umich_v3_rule_nsyn10.csv
llm_realbg_rescue,10,llm,10,0.30975,0.26587,0.1395153112900971,0.3922256561172817,breeze/results/milling_umich_v3_puremeta_2026-07-09/downstream_llm_realbg_rescue_nsyn10_10seed/umich_v3_realbg_llm_nsyn10.csv
