dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,2,0,"{""0"":2,""1"":2}",40,0.8000,0.7333,"{""unworn"":0.8666666666666667,""worn"":0.6}","[[13,1],[3,3]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,2,1,"{""0"":2,""1"":2}",40,0.8500,0.7849,"{""unworn"":0.9032258064516129,""worn"":0.6666666666666666}","[[14,0],[3,3]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,2,2,"{""0"":2,""1"":2}",40,0.7000,0.6703,"{""unworn"":0.7692307692307693,""worn"":0.5714285714285714}","[[10,4],[2,4]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,2,3,"{""0"":2,""1"":2}",40,0.7000,0.6703,"{""unworn"":0.7692307692307693,""worn"":0.5714285714285714}","[[10,4],[2,4]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,2,4,"{""0"":2,""1"":2}",40,0.8000,0.7619,"{""unworn"":0.8571428571428571,""worn"":0.6666666666666666}","[[12,2],[2,4]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,2,5,"{""0"":2,""1"":2}",40,0.6500,0.6419,"{""unworn"":0.6956521739130435,""worn"":0.5882352941176471}","[[8,6],[1,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,2,6,"{""0"":2,""1"":2}",40,0.4000,0.3750,"{""unworn"":0.25,""worn"":0.5}","[[2,12],[0,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,2,7,"{""0"":2,""1"":2}",40,0.4500,0.4486,"{""unworn"":0.42105263157894735,""worn"":0.47619047619047616}","[[4,10],[1,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,2,8,"{""0"":2,""1"":2}",40,0.6000,0.5960,"{""unworn"":0.6363636363636364,""worn"":0.5555555555555556}","[[7,7],[1,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,2,9,"{""0"":2,""1"":2}",40,0.8000,0.7333,"{""unworn"":0.8666666666666667,""worn"":0.6}","[[13,1],[3,3]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,5,0,"{""0"":5,""1"":5}",40,0.8500,0.8400,"{""unworn"":0.88,""worn"":0.8}","[[11,3],[0,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,5,1,"{""0"":5,""1"":5}",40,0.9000,0.8901,"{""unworn"":0.9230769230769231,""worn"":0.8571428571428571}","[[12,2],[0,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,5,2,"{""0"":5,""1"":5}",40,0.8500,0.8400,"{""unworn"":0.88,""worn"":0.8}","[[11,3],[0,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,5,3,"{""0"":5,""1"":5}",40,0.9000,0.8901,"{""unworn"":0.9230769230769231,""worn"":0.8571428571428571}","[[12,2],[0,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_clean_multi_stagez_meta,noise_aug,5,4,"{""0"":5,""1"":5}",40,0.9500,0.9373,"{""unworn"":0.9655172413793104,""worn"":0.9090909090909091}","[[14,0],[1,5]]","[""unworn"",""worn""]"
