dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_umich_v4_multi_raw,real_only,2,0,"{""0"":2,""1"":2}",0,0.6667,0.6667,"{""unworn"":0.6666666666666666,""worn"":0.6666666666666666}","[[13,4],[9,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_raw,real_only,2,1,"{""0"":2,""1"":2}",0,0.4872,0.4701,"{""unworn"":0.5652173913043478,""worn"":0.375}","[[13,4],[16,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_raw,real_only,2,2,"{""0"":2,""1"":2}",0,0.5385,0.5125,"{""unworn"":0.625,""worn"":0.4}","[[15,2],[16,6]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_raw,real_only,2,3,"{""0"":2,""1"":2}",0,0.4359,0.4355,"{""unworn"":0.42105263157894735,""worn"":0.45}","[[8,9],[13,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_raw,real_only,2,4,"{""0"":2,""1"":2}",0,0.5641,0.5450,"{""unworn"":0.45161290322580644,""worn"":0.6382978723404256}","[[7,10],[7,15]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_raw,real_only,2,5,"{""0"":2,""1"":2}",0,0.4872,0.4868,"{""unworn"":0.5,""worn"":0.47368421052631576}","[[10,7],[13,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_raw,real_only,2,6,"{""0"":2,""1"":2}",0,0.6410,0.5568,"{""unworn"":0.36363636363636365,""worn"":0.75}","[[4,13],[1,21]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_raw,real_only,2,7,"{""0"":2,""1"":2}",0,0.5128,0.3390,"{""unworn"":0.0,""worn"":0.6779661016949152}","[[0,17],[2,20]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_raw,real_only,2,8,"{""0"":2,""1"":2}",0,0.4359,0.3871,"{""unworn"":0.56,""worn"":0.21428571428571427}","[[14,3],[19,3]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_raw,real_only,2,9,"{""0"":2,""1"":2}",0,0.5128,0.5010,"{""unworn"":0.5777777777777777,""worn"":0.42424242424242425}","[[13,4],[15,7]]","[""unworn"",""worn""]"
