dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,2,0,"{""0"":2,""1"":2}",0,0.6667,0.6631,"{""unworn"":0.6285714285714286,""worn"":0.6976744186046512}","[[11,6],[7,15]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,2,1,"{""0"":2,""1"":2}",0,0.5128,0.5076,"{""unworn"":0.5581395348837209,""worn"":0.45714285714285713}","[[12,5],[14,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,2,2,"{""0"":2,""1"":2}",0,0.4872,0.4583,"{""unworn"":0.5833333333333334,""worn"":0.3333333333333333}","[[14,3],[17,5]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,2,3,"{""0"":2,""1"":2}",0,0.3846,0.3810,"{""unworn"":0.3333333333333333,""worn"":0.42857142857142855}","[[6,11],[13,9]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,2,4,"{""0"":2,""1"":2}",0,0.6154,0.6061,"{""unworn"":0.5454545454545454,""worn"":0.6666666666666666}","[[9,8],[7,15]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,2,5,"{""0"":2,""1"":2}",0,0.5385,0.5382,"{""unworn"":0.5263157894736842,""worn"":0.55}","[[10,7],[11,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,2,6,"{""0"":2,""1"":2}",0,0.6154,0.5883,"{""unworn"":0.4827586206896552,""worn"":0.6938775510204082}","[[7,10],[5,17]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,2,7,"{""0"":2,""1"":2}",0,0.5641,0.3607,"{""unworn"":0.0,""worn"":0.7213114754098361}","[[0,17],[0,22]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,2,8,"{""0"":2,""1"":2}",0,0.4359,0.3871,"{""unworn"":0.56,""worn"":0.21428571428571427}","[[14,3],[19,3]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,2,9,"{""0"":2,""1"":2}",0,0.4359,0.4042,"{""unworn"":0.5416666666666666,""worn"":0.26666666666666666}","[[13,4],[18,4]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,5,0,"{""0"":5,""1"":5}",0,0.6410,0.6408,"{""unworn"":0.631578947368421,""worn"":0.65}","[[12,5],[9,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,5,1,"{""0"":5,""1"":5}",0,0.6154,0.6144,"{""unworn"":0.6341463414634146,""worn"":0.5945945945945946}","[[13,4],[11,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,5,2,"{""0"":5,""1"":5}",0,0.5128,0.5010,"{""unworn"":0.42424242424242425,""worn"":0.5777777777777777}","[[7,10],[9,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,5,3,"{""0"":5,""1"":5}",0,0.3846,0.3842,"{""unworn"":0.4,""worn"":0.3684210526315789}","[[8,9],[15,7]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,5,4,"{""0"":5,""1"":5}",0,0.5897,0.4935,"{""unworn"":0.2727272727272727,""worn"":0.7142857142857143}","[[3,14],[2,20]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,5,5,"{""0"":5,""1"":5}",0,0.4872,0.4231,"{""unworn"":0.6153846153846154,""worn"":0.23076923076923078}","[[16,1],[19,3]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,5,6,"{""0"":5,""1"":5}",0,0.4359,0.4042,"{""unworn"":0.26666666666666666,""worn"":0.5416666666666666}","[[4,13],[9,13]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,5,7,"{""0"":5,""1"":5}",0,0.4103,0.4040,"{""unworn"":0.34285714285714286,""worn"":0.46511627906976744}","[[6,11],[12,10]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,5,8,"{""0"":5,""1"":5}",0,0.5128,0.5076,"{""unworn"":0.45714285714285713,""worn"":0.5581395348837209}","[[8,9],[10,12]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,5,9,"{""0"":5,""1"":5}",0,0.5641,0.5535,"{""unworn"":0.6222222222222222,""worn"":0.48484848484848486}","[[14,3],[14,8]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,10,0,"{""0"":10,""1"":10}",0,0.6667,0.6658,"{""unworn"":0.6486486486486487,""worn"":0.6829268292682927}","[[12,5],[8,14]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,10,1,"{""0"":10,""1"":10}",0,0.5385,0.5382,"{""unworn"":0.5263157894736842,""worn"":0.55}","[[10,7],[11,11]]","[""unworn"",""worn""]"
UMich_CNC,inner_val_umich_v4_multi_stagez,real_only,10,2,"{""0"":10,""1"":10}",0,0.4615,0.4379,"{""unworn"":0.5531914893617021,""worn"":0.3225806451612903}","[[13,4],[17,5]]","[""unworn"",""worn""]"
