experiment,quadrant,tool_condition,passed_visual_inspection,machining_finalized,feedrate,clamp_pressure,all_stage_windows,active_stage_windows,active_clean_supervised_windows
3,clean_unworn,unworn,yes,yes,6.0,3.0,19,14,14
4,ambiguous_unworn_missing_visual,unworn,,no,6.0,2.5,7,6,0
5,ambiguous_unworn_missing_visual,unworn,,no,20.0,3.0,6,1,0
9,clean_worn,worn,no,yes,15.0,4.0,6,6,6
10,clean_worn,worn,no,yes,12.0,4.0,15,13,13
11,clean_unworn,unworn,yes,yes,3.0,4.0,31,22,22
12,clean_unworn,unworn,yes,yes,3.0,3.0,30,20,20
13,ambiguous_worn_pass,worn,yes,yes,3.0,4.0,30,22,0
14,ambiguous_worn_pass,worn,yes,yes,3.0,3.0,32,26,0
15,ambiguous_worn_pass,worn,yes,yes,6.0,3.0,17,10,0
16,ambiguous_worn_missing_visual,worn,,no,20.0,3.0,8,3,0
17,clean_unworn,unworn,yes,yes,3.0,2.5,28,17,17
18,ambiguous_worn_pass,worn,yes,yes,3.0,2.5,31,24,0
