experiment,stage,active_stage,quadrant,tool_condition,passed_visual_inspection,feedrate,clamp_pressure,windows
3,Prep,False,clean_unworn,unworn,yes,6.0,3.0,1
3,Layer 1 Up,True,clean_unworn,unworn,yes,6.0,3.0,3
3,Layer 1 Down,True,clean_unworn,unworn,yes,6.0,3.0,2
3,Repositioning,False,clean_unworn,unworn,yes,6.0,3.0,2
3,Layer 2 Up,True,clean_unworn,unworn,yes,6.0,3.0,2
3,Layer 2 Down,True,clean_unworn,unworn,yes,6.0,3.0,3
3,Repositioning,False,clean_unworn,unworn,yes,6.0,3.0,1
3,Layer 3 Up,True,clean_unworn,unworn,yes,6.0,3.0,3
3,Layer 3 Down,True,clean_unworn,unworn,yes,6.0,3.0,1
3,End,False,clean_unworn,unworn,yes,6.0,3.0,1
4,Prep,False,ambiguous_unworn_missing_visual,unworn,,6.0,2.5,1
4,Layer 1 Up,True,ambiguous_unworn_missing_visual,unworn,,6.0,2.5,6
5,Layer 1 Up,True,ambiguous_unworn_missing_visual,unworn,,20.0,3.0,1
5,End,False,ambiguous_unworn_missing_visual,unworn,,20.0,3.0,5
9,Layer 1 Up,True,clean_worn,worn,no,15.0,4.0,1
9,Layer 1 Down,True,clean_worn,worn,no,15.0,4.0,1
9,Layer 2 Up,True,clean_worn,worn,no,15.0,4.0,1
9,Layer 2 Down,True,clean_worn,worn,no,15.0,4.0,1
9,Layer 3 Up,True,clean_worn,worn,no,15.0,4.0,1
9,Layer 3 Down,True,clean_worn,worn,no,15.0,4.0,1
10,Layer 1 Up,True,clean_worn,worn,no,12.0,4.0,2
10,Layer 1 Down,True,clean_worn,worn,no,12.0,4.0,2
10,Layer 2 Up,True,clean_worn,worn,no,12.0,4.0,3
10,Layer 2 Down,True,clean_worn,worn,no,12.0,4.0,2
10,Layer 3 Up,True,clean_worn,worn,no,12.0,4.0,2
10,Layer 3 Down,True,clean_worn,worn,no,12.0,4.0,2
10,End,False,clean_worn,worn,no,12.0,4.0,2
11,Prep,False,clean_unworn,unworn,yes,3.0,4.0,1
11,Layer 1 Up,True,clean_unworn,unworn,yes,3.0,4.0,6
11,Layer 1 Down,True,clean_unworn,unworn,yes,3.0,4.0,2
