experiment,split,tool_condition,stage,raw_rows,windows
1,test,unworn,Layer 1 Up,172,2
1,test,unworn,Layer 1 Down,148,0
1,test,unworn,Layer 2 Up,203,0
1,test,unworn,Layer 2 Down,132,0
1,test,unworn,Layer 3 Up,194,0
1,test,unworn,Layer 3 Down,142,0
2,test,unworn,Layer 1 Up,212,3
2,test,unworn,Layer 1 Down,232,0
2,test,unworn,Layer 2 Up,143,0
2,test,unworn,Layer 2 Down,204,0
2,test,unworn,Layer 3 Up,144,0
2,test,unworn,Layer 3 Down,134,0
3,train,unworn,Layer 1 Up,230,3
3,train,unworn,Layer 1 Down,167,0
3,train,unworn,Layer 2 Up,131,0
3,train,unworn,Layer 2 Down,236,0
3,train,unworn,Layer 3 Up,210,0
3,train,unworn,Layer 3 Down,98,0
4,train,unworn,Layer 1 Up,387,6
4,train,unworn,Layer 1 Down,0,0
4,train,unworn,Layer 2 Up,0,0
4,train,unworn,Layer 2 Down,0,0
4,train,unworn,Layer 3 Up,0,0
4,train,unworn,Layer 3 Down,0,0
5,train,unworn,Layer 1 Up,72,1
5,train,unworn,Layer 1 Down,0,0
5,train,unworn,Layer 2 Up,0,0
5,train,unworn,Layer 2 Down,0,0
5,train,unworn,Layer 3 Up,0,0
5,train,unworn,Layer 3 Down,0,0
6,test,worn,Layer 1 Up,224,3
6,test,worn,Layer 1 Down,161,0
6,test,worn,Layer 2 Up,229,0
6,test,worn,Layer 2 Down,118,0
6,test,worn,Layer 3 Up,126,0
6,test,worn,Layer 3 Down,178,0
7,test,worn,Layer 1 Up,195,3
7,test,worn,Layer 1 Down,93,0
7,test,worn,Layer 2 Up,39,0
7,test,worn,Layer 2 Down,0,0
7,test,worn,Layer 3 Up,0,0
7,test,worn,Layer 3 Down,0,0
8,test,worn,Layer 1 Up,27,0
8,test,worn,Layer 1 Down,34,0
8,test,worn,Layer 2 Up,173,0
8,test,worn,Layer 2 Down,74,0
8,test,worn,Layer 3 Up,55,0
8,test,worn,Layer 3 Down,49,0
9,train,worn,Layer 1 Up,105,1
9,train,worn,Layer 1 Down,109,0
9,train,worn,Layer 2 Up,98,0
9,train,worn,Layer 2 Down,103,0
9,train,worn,Layer 3 Up,89,0
9,train,worn,Layer 3 Down,121,0
10,train,worn,Layer 1 Up,181,2
10,train,worn,Layer 1 Down,132,0
10,train,worn,Layer 2 Up,233,0
10,train,worn,Layer 2 Down,167,0
10,train,worn,Layer 3 Up,151,0
10,train,worn,Layer 3 Down,130,0
11,train,unworn,Layer 1 Up,405,6
11,train,unworn,Layer 1 Down,156,0
11,train,unworn,Layer 2 Up,499,0
11,train,unworn,Layer 2 Down,179,0
11,train,unworn,Layer 3 Up,213,0
11,train,unworn,Layer 3 Down,157,0
12,train,unworn,Layer 1 Up,346,5
12,train,unworn,Layer 1 Down,245,0
12,train,unworn,Layer 2 Up,213,0
12,train,unworn,Layer 2 Down,236,0
12,train,unworn,Layer 3 Up,223,0
12,train,unworn,Layer 3 Down,251,0
13,train,worn,Layer 1 Up,342,5
13,train,worn,Layer 1 Down,272,0
13,train,worn,Layer 2 Up,197,0
13,train,worn,Layer 2 Down,253,0
13,train,worn,Layer 3 Up,274,0
13,train,worn,Layer 3 Down,228,0
14,train,worn,Layer 1 Up,363,5
14,train,worn,Layer 1 Down,348,0
14,train,worn,Layer 2 Up,316,0
14,train,worn,Layer 2 Down,206,0
14,train,worn,Layer 3 Up,342,0
14,train,worn,Layer 3 Down,268,0
15,train,worn,Layer 1 Up,138,2
15,train,worn,Layer 1 Down,53,0
15,train,worn,Layer 2 Up,70,0
15,train,worn,Layer 2 Down,171,0
15,train,worn,Layer 3 Up,267,0
15,train,worn,Layer 3 Down,70,0
16,train,worn,Layer 1 Up,69,1
16,train,worn,Layer 1 Down,144,0
16,train,worn,Layer 2 Up,0,0
16,train,worn,Layer 2 Down,0,0
16,train,worn,Layer 3 Up,0,0
16,train,worn,Layer 3 Down,0,0
17,train,unworn,Layer 1 Up,244,3
17,train,unworn,Layer 1 Down,201,0
17,train,unworn,Layer 2 Up,259,0
17,train,unworn,Layer 2 Down,253,0
17,train,unworn,Layer 3 Up,182,0
17,train,unworn,Layer 3 Down,189,0
18,train,worn,Layer 1 Up,373,5
18,train,worn,Layer 1 Down,160,0
18,train,worn,Layer 2 Up,301,0
18,train,worn,Layer 2 Down,196,0
18,train,worn,Layer 3 Up,324,0
18,train,worn,Layer 3 Down,339,0
