experiment,split,tool_condition,stage,raw_rows,windows
1,test,unworn,Layer 1 Up,172,2
1,test,unworn,Layer 1 Down,148,2
1,test,unworn,Layer 2 Up,203,3
1,test,unworn,Layer 2 Down,132,2
1,test,unworn,Layer 3 Up,194,3
1,test,unworn,Layer 3 Down,142,2
2,test,unworn,Layer 1 Up,212,3
2,test,unworn,Layer 1 Down,232,3
2,test,unworn,Layer 2 Up,143,2
2,test,unworn,Layer 2 Down,204,3
2,test,unworn,Layer 3 Up,144,2
2,test,unworn,Layer 3 Down,134,2
3,train,unworn,Layer 1 Up,230,3
3,train,unworn,Layer 1 Down,167,2
3,train,unworn,Layer 2 Up,131,2
3,train,unworn,Layer 2 Down,236,3
3,train,unworn,Layer 3 Up,210,3
3,train,unworn,Layer 3 Down,98,1
4,train,unworn,Layer 1 Up,387,6
4,train,unworn,Layer 1 Down,0,0
4,train,unworn,Layer 2 Up,0,0
4,train,unworn,Layer 2 Down,0,0
4,train,unworn,Layer 3 Up,0,0
4,train,unworn,Layer 3 Down,0,0
5,train,unworn,Layer 1 Up,72,1
5,train,unworn,Layer 1 Down,0,0
5,train,unworn,Layer 2 Up,0,0
5,train,unworn,Layer 2 Down,0,0
5,train,unworn,Layer 3 Up,0,0
5,train,unworn,Layer 3 Down,0,0
6,test,worn,Layer 1 Up,224,3
6,test,worn,Layer 1 Down,161,2
6,test,worn,Layer 2 Up,229,3
6,test,worn,Layer 2 Down,118,1
6,test,worn,Layer 3 Up,126,1
6,test,worn,Layer 3 Down,178,2
7,test,worn,Layer 1 Up,195,3
7,test,worn,Layer 1 Down,93,1
7,test,worn,Layer 2 Up,39,0
7,test,worn,Layer 2 Down,0,0
7,test,worn,Layer 3 Up,0,0
7,test,worn,Layer 3 Down,0,0
8,test,worn,Layer 1 Up,27,0
8,test,worn,Layer 1 Down,34,0
8,test,worn,Layer 2 Up,173,2
8,test,worn,Layer 2 Down,74,1
8,test,worn,Layer 3 Up,55,0
8,test,worn,Layer 3 Down,49,0
9,train,worn,Layer 1 Up,105,1
9,train,worn,Layer 1 Down,109,1
9,train,worn,Layer 2 Up,98,1
9,train,worn,Layer 2 Down,103,1
9,train,worn,Layer 3 Up,89,1
9,train,worn,Layer 3 Down,121,1
10,train,worn,Layer 1 Up,181,2
10,train,worn,Layer 1 Down,132,2
10,train,worn,Layer 2 Up,233,3
10,train,worn,Layer 2 Down,167,2
10,train,worn,Layer 3 Up,151,2
10,train,worn,Layer 3 Down,130,2
11,train,unworn,Layer 1 Up,405,6
11,train,unworn,Layer 1 Down,156,2
11,train,unworn,Layer 2 Up,499,7
11,train,unworn,Layer 2 Down,179,2
11,train,unworn,Layer 3 Up,213,3
11,train,unworn,Layer 3 Down,157,2
12,train,unworn,Layer 1 Up,346,5
12,train,unworn,Layer 1 Down,245,3
12,train,unworn,Layer 2 Up,213,3
12,train,unworn,Layer 2 Down,236,3
12,train,unworn,Layer 3 Up,223,3
12,train,unworn,Layer 3 Down,251,3
13,train,worn,Layer 1 Up,342,5
13,train,worn,Layer 1 Down,272,4
13,train,worn,Layer 2 Up,197,3
13,train,worn,Layer 2 Down,253,3
13,train,worn,Layer 3 Up,274,4
13,train,worn,Layer 3 Down,228,3
14,train,worn,Layer 1 Up,363,5
14,train,worn,Layer 1 Down,348,5
14,train,worn,Layer 2 Up,316,4
14,train,worn,Layer 2 Down,206,3
14,train,worn,Layer 3 Up,342,5
14,train,worn,Layer 3 Down,268,4
15,train,worn,Layer 1 Up,138,2
15,train,worn,Layer 1 Down,53,0
15,train,worn,Layer 2 Up,70,1
15,train,worn,Layer 2 Down,171,2
15,train,worn,Layer 3 Up,267,4
15,train,worn,Layer 3 Down,70,1
16,train,worn,Layer 1 Up,69,1
16,train,worn,Layer 1 Down,144,2
16,train,worn,Layer 2 Up,0,0
16,train,worn,Layer 2 Down,0,0
16,train,worn,Layer 3 Up,0,0
16,train,worn,Layer 3 Down,0,0
17,train,unworn,Layer 1 Up,244,3
17,train,unworn,Layer 1 Down,201,3
17,train,unworn,Layer 2 Up,259,4
17,train,unworn,Layer 2 Down,253,3
17,train,unworn,Layer 3 Up,182,2
17,train,unworn,Layer 3 Down,189,2
18,train,worn,Layer 1 Up,373,5
18,train,worn,Layer 1 Down,160,2
18,train,worn,Layer 2 Up,301,4
18,train,worn,Layer 2 Down,196,3
18,train,worn,Layer 3 Up,324,5
18,train,worn,Layer 3 Down,339,5
