request_index,slot,target_class,round_id,model,prompt_hash,response_hash,http_status,parse_status,timestamp,accepted,rejection_reasons
1,0,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,c72131202505293626ccf42f87375cf028a28e3dc2bf165d7f69a2c47cc40502,200,error:JSONDecodeError,2026-07-14T01:38:28+00:00,False,api_or_json
2,0,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,5f4d788c9dd9e1aa6a3694f1dbf5ba1663e403e2408896e2076edbfabb9e44e4,200,error:JSONDecodeError,2026-07-14T01:38:38+00:00,False,api_or_json
3,0,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,e130406b5984c5a30965ce86be834b019965b38bbd1195d2dfd35f7c22746609,200,error:JSONDecodeError,2026-07-14T01:38:47+00:00,False,api_or_json
4,0,base_imbalance,1,mimo-v2.5,993eebd14a62b5cf6c00d810aa08fbc7fd9a8db38ccba4cab66f84ab61e5f047,1c80a5671ff42d4375c51606eac504728b5c9aa3e67f20fb47e1fe2fd52bbb97,200,json_object_ok,2026-07-14T01:46:30Z,True,
5,0,lead_screw_anomaly,1,mimo-v2.5,4cb0a52d6fa894bd6f453b75581571d87c725e61c6750e002520a075b20a7ccc,a9f7134eaf218a572a5c56eeaf91ffa6337d17924ca053404651a31431548e4e,200,json_object_ok,2026-07-14T01:46:41Z,True,
6,0,normal_machining,1,mimo-v2.5,4e762bedc885e0604ef2e0b6f1c72a9400d5e6fef57adc55fc32e73618a271fe,638eb206d8c554170ff8310a0fff28dc174c37352858a5ed861300138852ac93,200,json_object_ok,2026-07-14T01:46:50Z,False,psd_w1
7,0,normal_machining,2,mimo-v2.5,6b0c0c8c5e57f87e0e0c5fa1044ed2bf557d1fc3c10e5ec36dd52003881646ba,a500a822cbf10325b9c1bd8814f59d4f605aa81f4f6012e0143dad6ad6e2af3d,200,json_object_ok,2026-07-14T01:55:05Z,True,
8,1,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,033cc33a40957517c0f727617c2c6e5e97a769684ddbaa16f637810de0814226,200,json_object_ok,2026-07-14T02:14:54Z,True,
9,1,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,6f20b5d0035be118d09956dbfc05e822a5b14a7cce7b8b0b8ff8ccf759cb6dcd,200,json_object_ok,2026-07-14T02:15:05Z,True,
10,1,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,06650c74ac0ceacd195b33e934faa1d390ffdeb1fd51c4f428cb919097a69cc0,200,json_object_ok,2026-07-14T02:15:19Z,False,recipe_schema
11,1,normal_machining,1,mimo-v2.5,3b51ba257ca9fdeb77745e11e6c263e186fdcab62c4a6c1e91dd15038e40d5f5,10f657bb4aeafd085c34efab89c287d5fc00581c5aaaf79a95b56298dbd1e746,200,json_object_ok,2026-07-14T02:15:28Z,True,
12,2,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,c2c2f9991eaead5a05c0593a8a85f0c06a86a2969383ff88cc835de286b95b7f,200,json_object_ok,2026-07-14T02:15:38Z,False,recipe_schema
13,2,base_imbalance,1,mimo-v2.5,6946f85b032b426b3ec2c1c2e4ccfdf2076475b7e9a59c5c263b59e1f1d42d0b,29c18eb320184918ad35223a561875e4d3b6e4b16d099413e62ae3f6edac4d85,200,json_object_ok,2026-07-14T02:15:47Z,False,recipe_schema
14,2,base_imbalance,2,mimo-v2.5,1bd09c2ddf15f7991f2fd57c16c63ea7ff185e73af889b4f1166fabd9246e9c3,595da329353200fa2562ed98d484865814c92e76306f3cdf196d81ca072573c8,200,json_object_ok,2026-07-14T02:15:56Z,False,psd_w1
15,2,base_imbalance,3,mimo-v2.5,9daa49324c167a31d6b38c6ff38226bcce64f6c5ca3615f68ffd6a05406917ea,0534117f5e9a8009edc48b4e57db7600c264e06b8421604fc64d1dd04907d90c,200,json_object_ok,2026-07-14T02:16:04Z,True,
16,2,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,fb52394ef26a5e219f9c8206a3aefc304b8def25c0bd89a4b12e6ddf239d5ab8,200,json_object_ok,2026-07-14T02:16:13Z,True,
17,2,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,814e183dc1fa6c44595dc6388f1a1ed22db794daef2641b6ee6e0b3d0a586efb,200,json_object_ok,2026-07-14T02:16:22Z,True,
18,3,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,a53283a8890175ee612ad90aa65761611d583af6daa3da486ba011fada273ad1,200,json_object_ok,2026-07-14T02:16:33Z,True,
19,3,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,295fb57ce86509b8cb12dd9143ce56d48487ab12a4f2dc1e02efbaf269845fca,200,json_object_ok,2026-07-14T02:16:42Z,True,
20,3,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,067bd4479950df0208b3cd1e8805d41b8d33aaa475f495746fe9003ae1329611,200,json_object_ok,2026-07-14T02:16:52Z,True,
21,4,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,2808fea0896b47a3c2e288c1b3f0c6050b84ea15978c4e5420eb98ee40676753,200,json_object_ok,2026-07-14T02:17:09Z,False,psd_w1
22,4,base_imbalance,1,mimo-v2.5,de2a6b67d87fdb15b6c732c0eb394ce9095b647f513ef7cce6de8afbeea245c3,b718439f757ec94522600ed1e9da92cbcd3ac3b48d8e6e014606e46f0c1f26d4,200,json_object_ok,2026-07-14T02:17:18Z,True,
23,4,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,52fb317286e13e89d6234fbc70b5fcc566a0721d0763ae59da0b5ab347b3cd07,200,json_object_ok,2026-07-14T02:17:28Z,True,
