method,n_real,n_syn,seed,train_sample_count,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
real_only,10,0,0,30,0.35390946502057613,0.34987979552586296,0.4101123595505618,0.3625,0.27702702702702703,"[[73,41,52],[59,58,49],[58,55,41]]"
noise_aug,10,10,0,60,0.41358024691358025,0.41014473859932316,0.4594594594594595,0.4013377926421405,0.3696369636963696,"[[85,28,53],[66,60,40],[53,45,56]]"
s_c_llm,10,10,0,60,0.4567901234567901,0.4474275685520142,0.44171779141104295,0.5087281795511222,0.39183673469387753,"[[72,74,20],[41,102,23],[47,59,48]]"
real_only,10,0,1,30,0.3868312757201646,0.37945229373800804,0.4512820512820513,0.3333333333333333,0.35374149659863946,"[[88,46,32],[62,48,56],[74,28,52]]"
noise_aug,10,10,1,60,0.46296296296296297,0.4600485933819267,0.5257142857142857,0.4369230769230769,0.4175084175084175,"[[92,45,29],[43,71,52],[49,43,62]]"
s_c_llm,10,10,1,60,0.4691358024691358,0.4622657843099534,0.4620253164556962,0.5319148936170213,0.39285714285714285,"[[73,55,38],[33,100,33],[44,55,55]]"
real_only,10,0,2,30,0.3374485596707819,0.3340607675802678,0.3237410071942446,0.36923076923076925,0.3092105263157895,"[[45,87,34],[25,72,69],[42,65,47]]"
noise_aug,10,10,2,60,0.345679012345679,0.33107860860934557,0.3,0.4302600472813239,0.2629757785467128,"[[39,90,37],[15,91,60],[40,76,38]]"
s_c_llm,10,10,2,60,0.4094650205761317,0.4060339417893113,0.5134328358208955,0.37714285714285717,0.32752613240418116,"[[86,52,28],[42,66,58],[41,66,47]]"
real_only,10,0,3,30,0.4588477366255144,0.44739821568616267,0.4807121661721068,0.5268817204301075,0.33460076045627374,"[[81,57,28],[31,98,37],[59,51,44]]"
noise_aug,10,10,3,60,0.5329218106995884,0.5259657898115003,0.6062322946175638,0.5272206303724928,0.4444444444444444,"[[107,44,15],[33,92,41],[47,47,60]]"
