_file_name;RPM_avg;e1_end;e1_freq_peaks;e1_peak_distance;e1_peak_first;e1_peak_height;e1_peak_last;e1_peak_qty;e1_peaks_value_avg;e1_peaks_value_max;e1_peaks_value_min;e1_sec_search;e1_signal;e1_start;e2_end;e2_freq_peaks;e2_peak_distance;e2_peak_first;e2_peak_height;e2_peak_last;e2_peak_qty;e2_peaks_value_avg;e2_peaks_value_max;e2_peaks_value_min;e2_sec_search;e2_signal;e2_start;i_end;i_freq_peaks;i_peak_distance;i_peak_first;i_peak_height;i_peak_last;i_peak_qty;i_peaks_value_avg;i_peaks_value_max;i_peaks_value_min;i_signal;i_start
Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat;397.8648211;465933;51231;301313;90511;100;391824;40;146.5300245;290.1846147;100.0004824;3;Fz;42187;10000000;1000576;5884788;2667743;0.05;8552531;40;0.063384302;0.144599584;0.050165908;3;AE_F;1723938;2332;282;1659;266;-396.5;1925;40;-375.625026;-374.078125;-379.5427083;SREAL;0
Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat;398.0545003;427959;51187;308626;66058;140;374684;41;222.8353523;471.8138529;140.0298012;2;Fz;39298;9211166;999688;6027449;2143196;0.04;8170645;41;0.058834075;0.215748244;0.040140415;3;AE_F;1620553;2164;285;1720;149;-396.5;1869;41;-363.364253;-360.0739583;-376.725;SREAL;0
Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat;795.6757849;401632;51207;305051;41227;140;346278;80;176.3180221;283.148283;140.0004533;3;Fz;33049;8595372;1000034;5957405;1556938;0.15;7514343;80;0.16992241;0.31988401;0.150097435;3;AE_F;1397211;2073;288;1716;46;-794.5;1762;80;-779.6788151;-775.7666667;-784.5927083;SREAL;0
Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat;397.8026831;470270;51136;300800;79572;100;380372;40;163.9063644;304.2384653;100.0542868;3;Fz;64988;10000000;999255;5877933;2365319;0.025;8243252;40;0.033490772;0.092208298;0.025263877;3;AE_F;2080321;2250;284;1674;81;-396.5;1755;40;-375.0175305;-372.8197917;-388.984375;SREAL;0
Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat;397.951358;428040;51211;301129;67968;150;369097;40;227.047704;402.2933459;150.031393;2;Fz;58045;9176304;1000402;5882482;2142336;0.025;8024818;40;0.036403067;0.128429434;0.025263877;3;AE_F;1948487;2088;289;1702;56;-396.5;1758;40;-364.5407774;-360.175;-395.7645833;SREAL;0
Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat;795.7477974;403113;51154;304710;43247;180;347957;80;194.4391584;263.7361949;180.0098306;2;Fz;34304;8703281;999942;5956320;1668724;0.15;7625044;80;0.171323471;0.287220307;0.150097435;2;AE_F;1493909;2062;286;1709;50;-794.5;1759;80;-779.9037891;-777.196875;-784.6072917;SREAL;0
Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep2.mat;795.7427307;405392;51206;305020;44235;150;349255;80;174.3755455;268.7565561;150.0009164;2;Fz;35008;8738336;999825;5955662;1686567;0.17;7642229;80;0.194129959;0.318913801;0.170148421;2;AE_F;1506387;2047;283;1686;51;-794.5;1737;80;-780.5847737;-777.3822917;-793.0322917;SREAL;0
Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep1.mat;795.7937864;334490;51216;266445;39096;200;305541;70;227.8516463;365.4937941;200.0017266;2;Fz;30260;7378048;1000049;5202609;1610160;0.15;6812769;70;0.183431618;0.434692075;0.150097435;2;AE_F;1437617;1687;284;1479;49;-794.5;1528;70;-772.4224851;-765.5239583;-779.15625;SREAL;0
Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep2.mat;795.6269691;364960;51197;266404;69430;200;335834;70;230.4178448;362.7960508;200.058541;2;Fz;60780;7938162;999886;5202853;2166407;0.2;7369260;70;0.231336636;0.398794342;0.2002249;3;AE_F;1997461;1723;290;1511;49;-794.5;1560;70;-772.8280655;-767.040625;-779.5;SREAL;0
Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep1.mat;397.8993783;750000;51241;463608;133576;200;597184;61;254.4830489;308.1116271;200.0062416;3;Fz;50020;14623434;999189;9040183;2605314;0.025;11645497;61;0.033688948;0.079272178;0.025263877;3;AE_F;975975;3920;287;2599;468;-396.5;3067;61;-378.7442204;-376.9395833;-390.3010417;SREAL;0
