material,Vc,fz,ap,ae,rounded_VB_level,Repetition,n_experiments,VB_values,experiment_ids
CastIron.GG30,100.0,0.1,1.5,58.4,0.0,1,1,0,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1
CastIron.GG30,100.0,0.1,1.5,58.4,0.0,2,1,0,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2
CastIron.GG30,100.0,0.1,1.5,58.4,0.1,1,1,0.12,Insert2Edge1_Vc100.0_fz0.1_ap1.5_VB0.12_Rep1
CastIron.GG30,100.0,0.1,1.5,58.4,0.1,2,1,0.12,Insert2Edge1_Vc100.0_fz0.1_ap1.5_VB0.12_Rep2
CastIron.GG30,100.0,0.1,1.5,58.4,0.2,1,1,0.201,Insert4Edge1_Vc100.0_fz0.1_ap1.5_VB0.201_Rep1
CastIron.GG30,100.0,0.1,1.5,58.4,0.2,2,1,0.201,Insert4Edge1_Vc100.0_fz0.1_ap1.5_VB0.201_Rep2
CastIron.GG30,100.0,0.1,1.5,58.4,0.3,1,1,0.276,Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.276_Rep1
CastIron.GG30,100.0,0.1,1.5,58.4,0.3,2,1,0.276,Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.276_Rep2
CastIron.GG30,100.0,0.2,1.5,58.4,0.0,1,1,0,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1
CastIron.GG30,100.0,0.2,1.5,58.4,0.0,2,1,0,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2
CastIron.GG30,100.0,0.2,1.5,58.4,0.1,1,1,0.123,Insert2Edge1_Vc100.0_fz0.2_ap1.5_VB0.123_Rep1
CastIron.GG30,100.0,0.2,1.5,58.4,0.1,2,1,0.123,Insert2Edge1_Vc100.0_fz0.2_ap1.5_VB0.123_Rep2
CastIron.GG30,100.0,0.2,1.5,58.4,0.2,1,1,0.202,Insert4Edge1_Vc100.0_fz0.2_ap1.5_VB0.202_Rep1
