scheme,definition,n_valid,healthy,worn,unlabeled,balance_ratio_min_over_max,supports_experiment_level_split,supports_leave_one_condition_out,condition_groups,condition_groups_with_both_labels,condition_groups_total,insert_edge_groups,supports_groupkfold_by_insert_edge,supports_n_real_2,supports_n_real_5,supports_n_real_10,group_type,group_value
A,"healthy rounded_VB in {0.0,0.1}; worn rounded_VB in {0.2,0.3}",67,33,34,0,0.9705882352941176,True,True,8,8,8,9,True,True,True,True,,
A,per-material,34,17,17,0,,,,,,,,,,,,material,CastIron.GG30
A,per-material,33,16,17,0,,,,,,,,,,,,material,StainlessSteel.316L
A,per-condition,8,4,4,0,,,,,,,,,,,,condition,CastIron.GG30|100.0|0.1|1.5|58.4
A,per-condition,8,4,4,0,,,,,,,,,,,,condition,CastIron.GG30|100.0|0.2|1.5|58.4
A,per-condition,10,5,5,0,,,,,,,,,,,,condition,CastIron.GG30|200.0|0.1|1.5|58.4
A,per-condition,8,4,4,0,,,,,,,,,,,,condition,CastIron.GG30|200.0|0.2|1.5|58.4
A,per-condition,8,4,4,0,,,,,,,,,,,,condition,StainlessSteel.316L|100.0|0.05|1.5|58.4
A,per-condition,8,4,4,0,,,,,,,,,,,,condition,StainlessSteel.316L|100.0|0.1|1.5|58.4
A,per-condition,9,4,5,0,,,,,,,,,,,,condition,StainlessSteel.316L|50.0|0.05|1.5|58.4
A,per-condition,8,4,4,0,,,,,,,,,,,,condition,StainlessSteel.316L|50.0|0.1|1.5|58.4
A,per-repetition,33,17,16,0,,,,,,,,,,,,repetition,1
A,per-repetition,32,16,16,0,,,,,,,,,,,,repetition,2
A,per-repetition,2,0,2,0,,,,,,,,,,,,repetition,3
A,per-insert_edge,3,3,0,0,,,,,,,,,,,,insert_edge,Insert0_Edge2
A,per-insert_edge,6,6,0,0,,,,,,,,,,,,insert_edge,Insert0_Edge3
A,per-insert_edge,8,8,0,0,,,,,,,,,,,,insert_edge,Insert1_Edge1
A,per-insert_edge,8,8,0,0,,,,,,,,,,,,insert_edge,Insert2_Edge1
A,per-insert_edge,9,0,9,0,,,,,,,,,,,,insert_edge,Insert3_Edge1
A,per-insert_edge,8,0,8,0,,,,,,,,,,,,insert_edge,Insert4_Edge1
A,per-insert_edge,17,0,17,0,,,,,,,,,,,,insert_edge,Insert6_Edge1
A,per-insert_edge,4,4,0,0,,,,,,,,,,,,insert_edge,Insert9_Edge1
A,per-insert_edge,4,4,0,0,,,,,,,,,,,,insert_edge,Insert9_Edge2
B,healthy rounded_VB == 0.0; worn rounded_VB >= 0.2; drop rounded_VB == 0.1,51,17,34,16,0.5,True,True,8,8,8,7,True,True,True,True,,
B,per-material,26,9,17,0,,,,,,,,,,,,material,CastIron.GG30
B,per-material,25,8,17,0,,,,,,,,,,,,material,StainlessSteel.316L
B,per-condition,6,2,4,0,,,,,,,,,,,,condition,CastIron.GG30|100.0|0.1|1.5|58.4
B,per-condition,6,2,4,0,,,,,,,,,,,,condition,CastIron.GG30|100.0|0.2|1.5|58.4
B,per-condition,8,3,5,0,,,,,,,,,,,,condition,CastIron.GG30|200.0|0.1|1.5|58.4
B,per-condition,6,2,4,0,,,,,,,,,,,,condition,CastIron.GG30|200.0|0.2|1.5|58.4
B,per-condition,6,2,4,0,,,,,,,,,,,,condition,StainlessSteel.316L|100.0|0.05|1.5|58.4
B,per-condition,6,2,4,0,,,,,,,,,,,,condition,StainlessSteel.316L|100.0|0.1|1.5|58.4
B,per-condition,7,2,5,0,,,,,,,,,,,,condition,StainlessSteel.316L|50.0|0.05|1.5|58.4
B,per-condition,6,2,4,0,,,,,,,,,,,,condition,StainlessSteel.316L|50.0|0.1|1.5|58.4
B,per-repetition,25,9,16,0,,,,,,,,,,,,repetition,1
B,per-repetition,24,8,16,0,,,,,,,,,,,,repetition,2
B,per-repetition,2,0,2,0,,,,,,,,,,,,repetition,3
B,per-insert_edge,3,3,0,0,,,,,,,,,,,,insert_edge,Insert0_Edge2
B,per-insert_edge,6,6,0,0,,,,,,,,,,,,insert_edge,Insert0_Edge3
B,per-insert_edge,9,0,9,0,,,,,,,,,,,,insert_edge,Insert3_Edge1
B,per-insert_edge,8,0,8,0,,,,,,,,,,,,insert_edge,Insert4_Edge1
B,per-insert_edge,17,0,17,0,,,,,,,,,,,,insert_edge,Insert6_Edge1
B,per-insert_edge,4,4,0,0,,,,,,,,,,,,insert_edge,Insert9_Edge1
